action_endpoint_delta,action_max_speed,action_mean_jerk,action_mean_speed,action_p95_jerk,action_p95_speed,action_path_len,action_speed_spikiness,duration_s,eef_displacement_final,eef_displacement_max,eef_displacement_mean,eef_displacement_min,eef_displacement_range,eef_height_final,eef_height_max,eef_height_max_cm,eef_height_mean,eef_height_min,eef_height_range,eef_pos_endpoint_delta,eef_pos_max_speed,eef_pos_mean_jerk,eef_pos_mean_speed,eef_pos_p95_jerk,eef_pos_p95_speed,eef_pos_path_len,eef_pos_speed_spikiness,episode_index,num_frames,state_endpoint_delta,state_max_speed,state_mean_jerk,state_mean_speed,state_p95_jerk,state_p95_speed,state_path_len,state_speed_spikiness
4.208144143455738,257.51086569411734,316.6112489640554,52.42419441942273,1272.8025085286454,134.70813295126516,405.41387631985845,6.606596791939582,7.733333110809326,0.004979482874971086,0.12158260658514337,0.06654825346964044,0.0,0.12158260658514337,0.016350305744320878,0.06745420905474116,6.745420905474115,0.031770313765740965,-0.0012151463558114917,0.06866935541055265,0.004979482874971086,0.2158760372886916,0.306462145748975,0.0578504931715526,1.0283466968368389,0.14912846106822167,0.447377186826319,4.768541503732994,30,233,10.503944080143096,152.12403152954198,226.345652322719,40.43164121442745,728.56297970031,115.56713238490096,312.67134645353497,4.470140409158886
2.3260782413595464,282.65900964729906,307.1339451731759,50.48550821118744,1218.042897695953,129.8184064263518,385.37270185663044,6.585135867319377,7.633333206176758,0.0007550646968828099,0.11068165292724194,0.0601381768001885,0.0,0.11068165292724194,0.016267231506806812,0.06397587024411952,6.397587024411952,0.03143175154722173,0.001428545625447239,0.06254732461867228,0.0007550646968828099,0.2031270701202664,0.2883165675345514,0.05362192856451189,0.8904206360792594,0.161302174606324,0.4093140406250453,4.614159718439861,31,230,1.9513976306864613,154.39458111297364,184.2735903783279,38.095052233711115,683.5634134828102,109.6234800894491,290.7922266284235,4.970606231570237
3.2787491742733006,243.30148484543093,342.6055814473515,55.83397654898041,1166.427498612868,134.0184115072183,385.25438837486706,6.139030235706997,6.900000095367432,0.002652920137994481,0.11679024009138773,0.05859445674290268,0.0,0.11679024009138773,0.015884539914892998,0.06600957462211587,6.600957462211587,0.03160296406530091,0.0010689602512486684,0.0649406143708672,0.002652920137994481,0.25236043215763804,0.3589932111886167,0.06051822691936684,1.33747239367347,0.18146092231659303,0.4175757841805268,5.845009033458698,32,208,2.868986354262296,147.48017502291114,201.95630224077757,39.33123378403444,620.0541332547576,111.29799646091189,271.3855237674756,5.333869481869297
4.470627374630666,361.77935676115897,317.78120291999403,50.769843051923594,1002.284958424634,131.33379137786437,382.4661640355848,9.3005727991471,7.5333333015441895,0.0029403718886373206,0.11384053922393121,0.05665043611967721,0.0,0.11384053922393121,0.016370372491633672,0.062384077154253564,6.238407715425357,0.03145481425965981,0.002652630023411609,0.059731447130841955,0.0029403718886373206,0.20293762307241614,0.2888460213452061,0.0546093167820684,0.977863224232852,0.17630474521337458,0.4113901924203695,6.0559607945420355,33,227,2.098255303348825,162.31904348063267,200.2041083412117,37.305343457486806,686.6090789397538,118.131546572133,281.0336026871009,5.855983592518393
5.285310414295908,226.74811518341923,272.96783901864825,51.17754780758684,850.8758702835789,117.73947377026005,387.24343595624686,5.088400352881097,7.566666603088379,0.0018255715075890732,0.11512769344092631,0.05970234552135503,0.0,0.11512769344092631,0.01597810594919842,0.06976035589081894,6.976035589081894,0.035135975956212075,0.002621000276854288,0.06713935561396465,0.0018255715075890732,0.23813027308516643,0.3023196851135036,0.06055032546789078,1.0224402554356766,0.18629973077720022,0.45816413715878945,5.71423370576789,34,228,4.546754317265759,150.1486233906585,177.8854658202041,36.23017679125268,565.6169493613289,104.18910846943034,274.14167161100556,5.72907975113598
3.9922578756671117,262.2295552034851,282.8164045283813,51.83392790536081,1009.0026694083762,128.81733086857457,421.58255057438487,5.938842056162523,8.133333206176758,0.003472367644337565,0.12139051029119768,0.062316982547219985,0.0,0.12139051029119768,0.015979309012294343,0.07522835937788508,7.522835937788508,0.031130240753542135,-0.0008190271411569194,0.076047386519042,0.003472367644337565,0.2028340591681539,0.27029476395417124,0.05632815935445413,0.9167753330237484,0.15580059439136126,0.4581357277429849,3.9762997029578218,35,245,4.439031758057017,156.16442412563023,165.132119594476,38.38899644751152,519.9129771337892,117.52575986071727,312.2305443764699,4.69319832749782
5.2846247931473425,243.71736051979835,289.50078611968587,50.32456040478401,1011.912752640237,125.56614021083324,402.59652345144207,5.771618347745041,8.0,0.004021682355203929,0.12353497876591928,0.07076577312238087,0.0,0.12353497876591928,0.016167757366390978,0.06900097686745574,6.900097686745574,0.03259637232291283,-0.00034459992245187976,0.06934557678990762,0.004021682355203929,0.19016216858911728,0.2996445064317616,0.05506108637066028,0.973822526658215,0.1510975915481866,0.44048867707810685,4.333563055167604,36,241,3.622304671716899,151.60334100892086,196.8423552563362,39.15218955801826,617.8744203816645,112.86613651546705,313.21750920940934,4.440744099769366
4.453651151824102,239.92362618948638,309.7358671345858,53.819798407717414,1040.6064171917408,130.18113219447636,426.97036879614194,5.225525291023127,7.933333396911621,0.002150786014771527,0.13190423200859316,0.07620010131083628,0.0,0.13190423200859316,0.01637037249163366,0.06935404831952194,6.9354048319521935,0.033432032939287835,0.00170195887413227,0.06765208944538967,0.002150786014771527,0.21896064862957776,0.2860033250870502,0.06205879256438741,0.877391517786844,0.16672939839881404,0.49233309764331457,3.943035743022294,37,239,3.740361835428,140.60641636994353,168.73838114252294,42.05877375877251,490.4643790152307,113.26779421534732,333.66628038077,4.036469354481865
3.914167954978547,243.75046623566718,290.4519855550224,51.11732045890073,1058.502004313115,127.50865379677585,424.27371478778286,5.383330141970566,8.300000190734863,0.0008514273985906893,0.12424759835210343,0.07179506648867537,0.0,0.12424759835210343,0.015883657705222348,0.06918201689074982,6.918201689074982,0.03262347327428518,0.0007788273148151004,0.06840318957593472,0.0008514273985906893,0.20822046787408816,0.2835841219569177,0.05774142470873188,0.9510997537657511,0.14601328720129608,0.47925381326959327,3.6460245225419126,38,250,1.534052346467163,138.41786983236437,174.71945299036418,39.78182142919674,501.9435934242945,98.67536830304465,330.1891252251113,3.8169245429874645
7.710025373615073,258.1102081377213,292.0007652931283,55.34528255261932,963.5010170109186,132.56738429244584,457.5210154103778,5.721993168013159,8.266666412353516,0.005635457430387156,0.15178231456536959,0.08003727110203294,0.0,0.15178231456536959,0.016364208258455692,0.0811072912732631,8.11072912732631,0.03523688140129862,0.0019069094517099733,0.07920038182155313,0.005635457430387156,0.22622304546483568,0.2975727594880502,0.061980523561297136,1.0413296545956119,0.1744578841696988,0.5123723295533034,5.022623940954393,39,249,6.192548677364696,154.39562835188974,190.25502722085113,42.73814982034828,581.9613842585418,128.35864226211874,353.30202571682116,5.1021249739275065
