condition,num_episodes,mean_score,std_score,min_score,max_score,range_score,num_high_like,num_low_like,num_surprising
baseline,10,-1.5877785682678223,0.4138752818107605,-1.858017086982727,-0.3716219663619995,1.4863951206207275,1,9,0
high,10,-0.7799267768859863,0.3715224862098694,-1.2887972593307495,-0.31329086422920227,0.9755064249038696,9,1,0
low,10,-1.8648189306259155,0.0615384578704834,-1.9732482433319092,-1.7800098657608032,0.19323837757110596,0,10,0
