condition,episode,episode_idx,save_idx,raw_chunk_id,path,high_low_projection_score,dist_to_high_proto,dist_to_low_proto,dist_to_baseline_proto,prototype_label,is_lift_chunk
low,episode_000003,3,1,1,debug_runs/20260529_112911_low/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,1.0314862728118896,0.9768159985542297,0.5175517201423645,0.11128591746091843,low_like,0
low,episode_000003,3,2,2,debug_runs/20260529_112911_low/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,-1.0196208953857422,1.2807676792144775,0.1950426548719406,0.30755454301834106,low_like,1
low,episode_000003,3,3,3,debug_runs/20260529_112911_low/episode_000003/debug_chunk_rawid_3_003_observation_frame.pt,-3.013207197189331,1.7083320617675781,0.9587916135787964,0.6423013806343079,low_like,1
low,episode_000003,3,4,4,debug_runs/20260529_112911_low/episode_000003/debug_chunk_rawid_4_004_observation_frame.pt,-1.899487018585205,2.839276075363159,0.13689732551574707,0.7476130723953247,low_like,0
low,episode_000004,4,0,0,debug_runs/20260529_112911_low/episode_000004/debug_chunk_rawid_0_000_observation_frame.pt,-1.7034701108932495,0.714798629283905,0.11364782601594925,0.1767001748085022,low_like,1
low,episode_000004,4,1,1,debug_runs/20260529_112911_low/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,1.2500807046890259,0.7676578760147095,0.7420738339424133,0.32723119854927063,low_like,0
low,episode_000004,4,2,2,debug_runs/20260529_112911_low/episode_000004/debug_chunk_rawid_2_002_observation_frame.pt,-0.8682794570922852,1.1297976970672607,0.182096466422081,0.17677897214889526,low_like,1
low,episode_000004,4,3,3,debug_runs/20260529_112911_low/episode_000004/debug_chunk_rawid_3_003_observation_frame.pt,-3.0003437995910645,1.5288938283920288,0.609687089920044,0.5403159260749817,low_like,1
low,episode_000004,4,4,4,debug_runs/20260529_112911_low/episode_000004/debug_chunk_rawid_4_004_observation_frame.pt,-1.7816447019577026,2.7210824489593506,0.09379128366708755,0.624721348285675,low_like,0
low,episode_000005,5,0,0,debug_runs/20260529_112911_low/episode_000005/debug_chunk_rawid_0_000_observation_frame.pt,-1.7601624727249146,0.7693094611167908,0.07827620208263397,0.2473030686378479,low_like,1
low,episode_000005,5,1,1,debug_runs/20260529_112911_low/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,1.0581114292144775,0.9645057320594788,0.568199098110199,0.19967731833457947,low_like,0
low,episode_000005,5,2,2,debug_runs/20260529_112911_low/episode_000005/debug_chunk_rawid_2_002_observation_frame.pt,-0.8886961340904236,1.1449623107910156,0.1386316567659378,0.19564755260944366,low_like,1
low,episode_000005,5,3,3,debug_runs/20260529_112911_low/episode_000005/debug_chunk_rawid_3_003_observation_frame.pt,-2.9342305660247803,1.3500878810882568,0.1678924262523651,0.8007077574729919,low_like,1
low,episode_000005,5,4,4,debug_runs/20260529_112911_low/episode_000005/debug_chunk_rawid_4_004_observation_frame.pt,-1.7034740447998047,2.6452999114990234,0.1774163544178009,0.5457116365432739,low_like,0
low,episode_000006,6,0,0,debug_runs/20260529_112911_low/episode_000006/debug_chunk_rawid_0_000_observation_frame.pt,-1.6849234104156494,0.7021571397781372,0.1539163738489151,0.16209657490253448,low_like,1
low,episode_000006,6,1,1,debug_runs/20260529_112911_low/episode_000006/debug_chunk_rawid_1_001_observation_frame.pt,0.9503597021102905,1.0676681995391846,0.46177011728286743,0.14134380221366882,low_like,0
low,episode_000006,6,2,2,debug_runs/20260529_112911_low/episode_000006/debug_chunk_rawid_2_002_observation_frame.pt,-0.9146934151649475,1.1650453805923462,0.06273187696933746,0.22839666903018951,low_like,1
