condition,save_idx,action_dim,action_key,mean,std,min,max,count,range
baseline,0,0,action_values.0,-12.202079391479492,1.9653273891009495,-13.004373550415039,-6.620351791381836,10,6.384021759033203
baseline,0,1,action_values.1,100.75964050292968,1.0921767831234843,97.711669921875,101.48849487304688,10,3.776824951171875
baseline,0,2,action_values.2,9.680163764953614,2.8265777597490915,7.209407806396484,16.122894287109375,10,8.91348648071289
baseline,0,3,action_values.3,-87.41278533935547,1.2721233041114077,-88.65913391113281,-84.22257232666016,10,4.436561584472656
baseline,0,4,action_values.4,-8.43925986289978,1.9423041551758262,-9.23262882232666,-2.9187865257263184,10,6.313842296600342
baseline,0,5,action_values.5,48.661769485473634,0.21432100476771443,48.436519622802734,49.10148620605469,10,0.6649665832519531
baseline,1,0,action_values.0,-10.39682741165161,0.6568044767246212,-10.95578670501709,-8.629192352294922,10,2.326594352722168
baseline,1,1,action_values.1,34.90671844482422,0.7457080607716715,33.871185302734375,35.99370574951172,10,2.1225204467773438
baseline,1,2,action_values.2,-18.80511693954468,6.61394393417765,-33.207149505615234,-13.283210754394531,10,19.923938751220703
baseline,1,3,action_values.3,-78.81836395263672,7.152271870763337,-93.63407135009766,-73.09394073486328,10,20.540130615234375
baseline,1,4,action_values.4,-7.930304145812988,0.7176011998383245,-8.608471870422363,-6.011069297790527,10,2.597402572631836
baseline,1,5,action_values.5,47.65998306274414,0.31004739895708255,47.268287658691406,48.122337341308594,10,0.8540496826171875
baseline,2,0,action_values.0,-5.758663463592529,2.48747364792308,-9.344691276550293,-1.0666224956512451,10,8.278068780899048
baseline,2,1,action_values.1,44.831648635864255,1.9190113068412602,42.245216369628906,47.56660461425781,10,5.321388244628906
baseline,2,2,action_values.2,-45.77245025634765,6.512880269017681,-51.01055145263672,-28.08868408203125,10,22.92186737060547
baseline,2,3,action_values.3,-93.54720916748047,7.030020496496444,-97.3636245727539,-73.75862121582031,10,23.605003356933594
baseline,2,4,action_values.4,-5.329922389984131,1.9518651229700803,-7.7177934646606445,-1.6539256572723389,10,6.063867807388306
baseline,2,5,action_values.5,3.3922300338745117,0.1444558849706733,3.0983409881591797,3.578155517578125,10,0.4798145294189453
baseline,3,0,action_values.0,13.166261672973633,1.6342037413436359,8.788286209106445,14.521217346191406,10,5.732931137084961
baseline,3,1,action_values.1,25.77431411743164,12.012659658559716,18.816020965576172,59.33222961425781,10,40.51620864868164
baseline,3,2,action_values.2,-54.44836845397949,2.136243292170932,-59.54231262207031,-52.05943298339844,10,7.482879638671875
baseline,3,3,action_values.3,-92.96861419677734,4.978645587045717,-96.60786437988281,-79.17796325683594,10,17.429901123046875
baseline,3,4,action_values.4,12.479057693481446,2.9811319890387007,4.486793518066406,14.746068000793457,10,10.25927448272705
baseline,3,5,action_values.5,35.45184555053711,12.876523115682192,3.9139537811279297,45.858177185058594,10,41.944223403930664
baseline,4,0,action_values.0,-4.507025146484375,6.613434395571387,-7.708769798278809,14.205181121826172,10,21.91395092010498
baseline,4,1,action_values.1,93.20069122314453,23.808105825218725,25.49676513671875,101.80389404296875,10,76.30712890625
baseline,4,2,action_values.2,7.2593017578125,20.883506355588295,-50.872955322265625,17.797252655029297,10,68.67020797729492
baseline,4,3,action_values.3,-88.77526092529297,3.7757148062607993,-93.3889389038086,-84.75535583496094,10,8.633583068847656
baseline,4,4,action_values.4,-2.832409977912903,5.341180273408082,-5.494004249572754,12.26729965209961,10,17.761303901672363
baseline,4,5,action_values.5,47.56888122558594,2.157517466692795,41.55109405517578,48.8261833190918,10,7.275089263916016
baseline,5,0,action_values.0,-6.369832515716553,0.0,-6.369832515716553,-6.369832515716553,1,0.0
baseline,5,1,action_values.1,101.33595275878906,0.0,101.33595275878906,101.33595275878906,1,0.0
baseline,5,2,action_values.2,17.357349395751953,0.0,17.357349395751953,17.357349395751953,1,0.0
baseline,5,3,action_values.3,-83.74104309082031,0.0,-83.74104309082031,-83.74104309082031,1,0.0
baseline,5,4,action_values.4,-4.524238586425781,0.0,-4.524238586425781,-4.524238586425781,1,0.0
baseline,5,5,action_values.5,48.92511749267578,0.0,48.92511749267578,48.92511749267578,1,0.0
high,0,0,action_values.0,-11.146785831451416,1.616525162259444,-11.788884162902832,-6.552435874938965,10,5.236448287963867
high,0,1,action_values.1,92.2891830444336,0.47878980835208634,91.76809692382812,93.16797637939453,10,1.3998794555664062
high,0,2,action_values.2,-1.8423479080200196,0.8467230970630063,-2.9404220581054688,0.13683509826660156,10,3.0772571563720703
high,0,3,action_values.3,-89.10893173217774,0.7289488199704734,-89.9145278930664,-87.77207946777344,10,2.1424484252929688
high,0,4,action_values.4,-7.489556121826172,1.209791460909882,-8.010065078735352,-4.0547285079956055,10,3.955336570739746
high,0,5,action_values.5,47.9546516418457,0.39980100257977647,47.29104995727539,48.827354431152344,10,1.5363044738769531
high,1,0,action_values.0,-8.919814014434815,0.5122785803127339,-9.389131546020508,-7.85038948059082,10,1.5387420654296875
high,1,1,action_values.1,35.71005477905273,0.5249639454020898,35.00215148925781,36.47622299194336,10,1.4740715026855469
high,1,2,action_values.2,-14.071918773651124,0.6632614665652722,-15.253957748413086,-12.963054656982422,10,2.290903091430664
high,1,3,action_values.3,-71.18852310180664,0.4906372573197015,-71.96097564697266,-70.45699310302734,10,1.5039825439453125
high,1,4,action_values.4,-7.099371242523193,0.4819773698506691,-7.58445930480957,-6.204862594604492,10,1.3795967102050781
high,1,5,action_values.5,44.9639087677002,2.6562544880198815,40.342926025390625,47.53935241699219,10,7.1964263916015625
high,2,0,action_values.0,-2.9420602560043334,2.859640627549153,-5.940682411193848,1.5166938304901123,10,7.45737624168396
high,2,1,action_values.1,54.91989669799805,7.738694264975403,44.825599670410156,65.64212036132812,10,20.81652069091797
high,2,2,action_values.2,-53.74194564819336,2.1799187286688935,-56.29758834838867,-49.368743896484375,10,6.928844451904297
high,2,3,action_values.3,-87.9058624267578,8.11638815721727,-97.60741424560547,-78.09211730957031,10,19.515296936035156
high,2,4,action_values.4,-2.5066890597343443,1.3848090166816647,-3.745436191558838,0.2639122009277344,10,4.009348392486572
high,2,5,action_values.5,4.126431655883789,0.32363174555481583,3.7471694946289062,4.579034805297852,10,0.8318653106689453
high,3,0,action_values.0,10.206748104095459,0.5689530675346546,9.349726676940918,11.059037208557129,10,1.709310531616211
high,3,1,action_values.1,35.486320877075194,4.24180214338838,29.95075225830078,39.768035888671875,10,9.817283630371094
high,3,2,action_values.2,-53.4168197631836,1.039047927725817,-54.99565505981445,-52.419795989990234,10,2.5758590698242188
high,3,3,action_values.3,-90.3846046447754,3.674804429800056,-96.99198913574219,-85.37361907958984,10,11.618370056152344
high,3,4,action_values.4,8.083005809783936,0.8216915527639104,7.040271759033203,9.606242179870605,10,2.5659704208374023
high,3,5,action_values.5,21.157462501525877,21.70763930659012,4.071958541870117,47.33827590942383,10,43.26631736755371
high,4,0,action_values.0,3.9569120936923556,8.031976936586723,-6.986700057983398,10.029613494873047,9,17.016313552856445
high,4,1,action_values.1,57.500528971354164,29.297079945338666,36.344383239746094,96.78864288330078,9,60.44425964355469
high,4,2,action_values.2,-28.455813301934135,30.687872074060714,-51.13554763793945,13.047752380371094,9,64.18330001831055
high,4,3,action_values.3,-93.2530534532335,4.5844803434473835,-97.60057067871094,-86.50383758544922,9,11.096733093261719
high,4,4,action_values.4,3.145578808254666,6.387021004297129,-5.900275230407715,8.308435440063477,9,14.208710670471191
high,4,5,action_values.5,47.7071533203125,0.7771637655160276,46.60726547241211,48.92710494995117,9,2.3198394775390625
high,5,0,action_values.0,-7.76317024230957,0.0,-7.76317024230957,-7.76317024230957,1,0.0
high,5,1,action_values.1,98.5809326171875,0.0,98.5809326171875,98.5809326171875,1,0.0
high,5,2,action_values.2,14.643463134765625,0.0,14.643463134765625,14.643463134765625,1,0.0
high,5,3,action_values.3,-83.1762466430664,0.0,-83.1762466430664,-83.1762466430664,1,0.0
high,5,4,action_values.4,-6.377363204956055,0.0,-6.377363204956055,-6.377363204956055,1,0.0
high,5,5,action_values.5,48.306175231933594,0.0,48.306175231933594,48.306175231933594,1,0.0
low,0,0,action_values.0,-12.037712287902831,1.6361247915296773,-12.679781913757324,-7.38768196105957,10,5.292099952697754
low,0,1,action_values.1,99.49423828125,1.378859270058795,95.65654754638672,100.41184997558594,10,4.755302429199219
low,0,2,action_values.2,13.892197418212891,1.1181023857547028,12.25255012512207,15.429847717285156,10,3.177297592163086
low,0,3,action_values.3,-85.84567260742188,0.7687930617320278,-86.84224700927734,-84.18617248535156,10,2.6560745239257812
low,0,4,action_values.4,-8.659602069854737,0.7614820123687709,-9.045034408569336,-6.504555702209473,10,2.5404787063598633
low,0,5,action_values.5,48.33198204040527,0.22721430146414798,47.990875244140625,48.729827880859375,10,0.73895263671875
low,1,0,action_values.0,-10.558839130401612,0.734660126937458,-11.101821899414062,-8.581414222717285,10,2.5204076766967773
low,1,1,action_values.1,35.14385871887207,1.0913193647733084,34.188812255859375,37.27581024169922,10,3.0869979858398438
low,1,2,action_values.2,-20.31348419189453,4.183017977790867,-27.273117065429688,-15.66502571105957,10,11.608091354370117
low,1,3,action_values.3,-81.92666931152344,5.297080872021278,-91.19678497314453,-76.5405044555664,10,14.656280517578125
low,1,4,action_values.4,-8.172727012634278,0.577916808482158,-8.87924575805664,-6.756943702697754,10,2.1223020553588867
low,1,5,action_values.5,47.61616325378418,0.3115965621001183,46.95738983154297,48.06684875488281,10,1.1094589233398438
low,2,0,action_values.0,-7.706031703948975,1.0890811065145405,-9.812840461730957,-6.434087753295898,10,3.3787527084350586
low,2,1,action_values.1,45.97232894897461,1.399674298666016,43.8539924621582,48.75094985961914,10,4.8969573974609375
low,2,2,action_values.2,-42.35552406311035,1.8234978409980993,-44.13023376464844,-37.799747467041016,10,6.330486297607422
low,2,3,action_values.3,-94.10728759765625,1.056693807109907,-95.97377014160156,-92.2113265991211,10,3.7624435424804688
low,2,4,action_values.4,-6.021396827697754,0.6073117667674655,-6.9688615798950195,-5.196427345275879,10,1.7724342346191406
low,2,5,action_values.5,2.8188066482543945,0.11384538399190991,2.6677207946777344,2.972209930419922,10,0.3044891357421875
low,3,0,action_values.0,13.615733432769776,0.43078975821561943,12.886238098144531,14.297378540039062,10,1.4111404418945312
low,3,1,action_values.1,21.15770378112793,1.1252337564804202,20.070266723632812,23.414371490478516,10,3.344104766845703
low,3,2,action_values.2,-51.521208953857425,1.2618796638422016,-52.87895965576172,-49.271697998046875,10,3.6072616577148438
low,3,3,action_values.3,-95.23682022094727,1.365432346726869,-96.72354888916016,-91.89392852783203,10,4.829620361328125
low,3,4,action_values.4,15.451220893859864,0.6147924586532002,14.639939308166504,16.485824584960938,10,1.8458852767944336
low,3,5,action_values.5,25.3407995223999,10.969151988942427,14.904083251953125,43.545562744140625,10,28.6414794921875
low,4,0,action_values.0,-6.249431371688843,0.4969154702980056,-7.1506195068359375,-5.603440284729004,10,1.5471792221069336
low,4,1,action_values.1,100.52923126220703,0.4353743138383728,99.88607025146484,101.08251190185547,10,1.196441650390625
low,4,2,action_values.2,17.278444290161133,0.5811283177430808,15.96854019165039,18.074920654296875,10,2.1063804626464844
low,4,3,action_values.3,-85.75002975463867,0.9474281378605859,-86.73502349853516,-84.12173461914062,10,2.6132888793945312
low,4,4,action_values.4,-3.2807838678359986,0.6188369446563159,-4.380568504333496,-2.3133645057678223,10,2.067203998565674
low,4,5,action_values.5,49.018503189086914,0.2389020142243698,48.683563232421875,49.47618103027344,10,0.7926177978515625
