condition,episode,episode_idx,mean_height_action,sum_height_action,mean_abs_height_action,num_chunks
baseline,episode_000000,0,11.416864713033041,171.2529706954956,26.579009373982746,3
baseline,episode_000001,1,10.3133331934611,154.7000026702881,28.525514602661133,3
baseline,episode_000002,2,10.911509792009989,163.67264938354492,28.810626983642578,3
baseline,episode_000003,3,9.99466848373413,149.92002296447754,28.645209630330402,3
baseline,episode_000004,4,11.833898544311523,177.5084743499756,28.817759831746418,3
baseline,episode_000005,5,10.876448313395182,163.14672756195068,28.58435567220052,3
baseline,episode_000006,6,9.977935393651327,149.6690273284912,28.385907491048176,3
baseline,episode_000007,7,12.070969407757124,181.06453824043274,28.52337392171224,3
baseline,episode_000008,8,10.951575438181559,164.27363204956055,28.796554565429688,3
baseline,episode_000009,9,9.816922982533773,147.25384330749512,28.430138270060223,3
high,episode_000000,0,11.285726924737295,169.28590488433838,27.52519416809082,3
high,episode_000001,1,8.600711325804392,129.01066780090332,26.911427179972332,3
high,episode_000002,2,8.368620177110037,125.52930641174316,26.924311955769856,3
high,episode_000003,3,10.92981514831384,163.94722628593445,27.533111572265625,3
high,episode_000004,4,10.32711931069692,154.90679359436035,27.564791361490887,3
high,episode_000005,5,9.06615126132965,135.99226474761963,27.098403294881184,3
high,episode_000006,6,8.410029778877893,126.15044498443604,27.26130485534668,3
high,episode_000007,7,7.820956031481425,117.31434059143066,26.58147430419922,3
high,episode_000008,8,10.622849370042482,159.34273862838745,27.63635762532552,3
high,episode_000009,9,8.659685830275217,129.89529132843018,26.907128016153973,3
low,episode_000000,0,10.934933602809906,164.02400493621826,26.835433959960938,3
low,episode_000001,1,11.598596374193827,173.9789457321167,28.64638900756836,3
low,episode_000002,2,9.551891247431437,143.27837085723877,27.16081937154134,3
low,episode_000003,3,11.62259312470754,174.33889389038086,28.77735201517741,3
low,episode_000004,4,11.243860681851706,168.6579074859619,28.204997380574543,3
low,episode_000005,5,10.347142934799194,155.2071409225464,27.540960947672527,3
low,episode_000006,6,10.015533208847046,150.2329969406128,27.483580271402996,3
low,episode_000007,7,9.92589803536733,148.88846683502197,27.359378814697266,3
low,episode_000008,8,9.547826925913492,143.21739959716797,27.104267120361328,3
low,episode_000009,9,10.39408395687739,155.91125583648682,27.137810389200848,3
