time,cmd_x,act_x,cmd_y,act_y,cmd_z,act_z,cmd_ox,act_ox,cmd_oy,act_oy,cmd_oz,act_oz,cmd_ow,act_ow,cmd_gripper,act_gripper
0.6235909461975098,0.4660325050354004,0.4372919938879709,0.16441912949085236,0.17141308093046506,0.1087268814444542,0.10592888019168174,0.9393382668495178,0.9474336221435271,-0.33634451031684875,-0.31440708151698693,0.043039608746767044,0.04140291301146149,0.037550460547208786,0.04240488358226884,0.08,0.07790890336036682
0.639878511428833,0.4681594967842102,0.4372919938879709,0.15945622324943542,0.17141308093046506,0.10832571238279343,0.10592888019168174,0.9392074346542358,0.9474336221435271,-0.33580446243286133,-0.31440708151698693,0.04316865652799606,0.04140291301146149,0.036524586379528046,0.04240488358226884,0.07529543340206146,0.07790890336036682
0.6700372695922852,0.4697939157485962,0.4373427469818611,0.15409503877162933,0.17140111442862627,0.10991041362285614,0.10594196702411293,0.9392786026000977,0.9474236547368635,-0.3374032974243164,-0.3144325474766788,0.04383326321840286,0.04142219984330132,0.03533126786351204,0.04241991783324235,0.07546121627092361,0.07790890336036682
0.7120757102966309,0.47228318452835083,0.43802539108030725,0.15052415430545807,0.17110093787052472,0.11262787878513336,0.10626043643956905,0.9392197132110596,0.9472405078566156,-0.33748677372932434,-0.31489359069422024,0.04421233385801315,0.04186338545994953,0.03526362404227257,0.04265628380476639,0.07553272694349289,0.07790890336036682
0.7424190044403076,0.47364571690559387,0.43802539108030725,0.14764279127120972,0.17110093787052472,0.11326660960912704,0.10626043643956905,0.939934492111206,0.9472405078566156,-0.33871954679489136,-0.31489359069422024,0.04319504648447037,0.04186338545994953,0.03423573076725006,0.04265628380476639,0.07483512163162231,0.07790890336036682
0.7726867198944092,0.473186194896698,0.43941580348001513,0.14444340765476227,0.17027646864746254,0.11687396466732025,0.10686364099304294,0.937859296798706,0.9469608633847851,-0.34110501408576965,-0.31557785275975314,0.04267046973109245,0.04269738583474486,0.03288663551211357,0.042980547379990415,0.07519688457250595,0.07790890336036682
0.8070192337036133,0.4743872582912445,0.4440470683906013,0.13890719413757324,0.1667518691525909,0.11919602751731873,0.10874103646809916,0.9381586909294128,0.9461665205927506,-0.34273406863212585,-0.317632260230231,0.04175369068980217,0.0448672464881828,0.029972247779369354,0.04313046505529729,0.07448286563158035,0.07790890336036682
0.8388655185699463,0.4764600992202759,0.4440470683906013,0.1357298344373703,0.1667518691525909,0.12063661217689514,0.10874103646809916,0.9372117519378662,0.9461665205927506,-0.3441483676433563,-0.317632260230231,0.044404227286577225,0.0448672464881828,0.030789624899625778,0.04313046505529729,0.07406121492385864,0.07790890336036682
0.872838020324707,0.47988665103912354,0.4501439901027069,0.13257601857185364,0.16115619306582069,0.12217683345079422,0.1108332503210657,0.9357216954231262,0.9452288710112511,-0.34788498282432556,-0.3201285407212262,0.044457051903009415,0.047221033955269706,0.0292762853205204,0.042718934608487066,0.07334276288747787,0.07790890336036682
0.906487226486206,0.4801984429359436,0.45339371649238125,0.13045905530452728,0.15789774149491326,0.12339978665113449,0.11181242340751263,0.9362956285476685,0.9448345406983678,-0.34866294264793396,-0.32118048899672524,0.046087596565485,0.048313278697192125,0.03010649047791958,0.04232306455908986,0.07469961047172546,0.07790890336036682
0.9415345191955566,0.4839772880077362,0.45339371649238125,0.1308017373085022,0.15789774149491326,0.12625327706336975,0.11181242340751263,0.9348731637001038,0.9448345406983678,-0.3509122133255005,-0.32118048899672524,0.048960499465465546,0.048313278697192125,0.032555676996707916,0.04232306455908986,0.07586871087551117,0.07790890336036682
0.9765362739562988,0.4844229221343994,0.45657181273030606,0.12570610642433167,0.15441823546085537,0.12529732286930084,0.1127128964210059,0.9340788125991821,0.9443813583461299,-0.34994813799858093,-0.322422960055,0.050238460302352905,0.04931983014673581,0.03196810930967331,0.0418266044919566,0.07566161453723907,0.07790890336036682
1.0076301097869873,0.48513513803482056,0.459563044434329,0.12432253360748291,0.1510424080929023,0.12659089267253876,0.1135273804855353,0.9353336691856384,0.9439739041837645,-0.3490437865257263,-0.3235547744998254,0.05023454874753952,0.050142747618787314,0.0302859079092741,0.041302568894418544,0.07502372562885284,0.07790890336036682
1.046266794204712,0.48506295680999756,0.4652181793584645,0.12059619277715683,0.14475056411602671,0.12798941135406494,0.11541524494421915,0.9347224831581116,0.943086332304594,-0.3518713712692261,-0.32604918588226217,0.04853871464729309,0.051692959131983865,0.02889178693294525,0.04003183190278981,0.07375174015760422,0.07790890336036682
1.0743193626403809,0.48592084646224976,0.4652181793584645,0.11658520996570587,0.14475056411602671,0.12922383844852448,0.11541524494421915,0.933592677116394,0.943086332304594,-0.35541027784347534,-0.32604918588226217,0.04468154162168503,0.051692959131983865,0.026617977768182755,0.04003183190278981,0.07476934790611267,0.07790890336036682
1.1101570129394531,0.4883075952529907,0.4702972463596268,0.11430791020393372,0.13924756515899797,0.13121384382247925,0.11752646338139726,0.9315749406814575,0.9421766233739804,-0.3599848747253418,-0.3286055592944921,0.04548181593418121,0.053056667859243345,0.026086758822202682,0.03874516694574451,0.07622763514518738,0.07790890336036682
1.140291452407837,0.48899033665657043,0.4702972463596268,0.11416072398424149,0.13924756515899797,0.1329243928194046,0.11752646338139726,0.9309347867965698,0.9421766233739804,-0.36153510212898254,-0.3286055592944921,0.046556904911994934,0.053056667859243345,0.027437802404165268,0.03874516694574451,0.07647281885147095,0.07790890336036682
