trial,seq_pos,is_decision_step,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,predicted_action_eef_z
0,0,False,-11.389945983886719,87.65692138671875,3.6691226959228516,-88.3814468383789,-4.6628618240356445,58.416725158691406,0.250708172823431
0,1,True,-11.670206069946289,84.7048568725586,1.5236015319824219,-89.53833770751953,-4.724574089050293,59.86946105957031,0.25193641991110527
1,0,False,-11.389945983886719,87.65692138671875,3.6691226959228516,-88.3814468383789,-4.6628618240356445,58.416725158691406,0.250708172823431
1,1,True,-11.670206069946289,84.7048568725586,1.5236015319824219,-89.53833770751953,-4.724574089050293,59.86946105957031,0.25193641991110527
2,0,False,-11.389945983886719,87.65692138671875,3.6691226959228516,-88.3814468383789,-4.6628618240356445,58.416725158691406,0.250708172823431
2,1,True,-11.670206069946289,84.7048568725586,1.5236015319824219,-89.53833770751953,-4.724574089050293,59.86946105957031,0.25193641991110527
3,0,False,-11.389945983886719,87.65692138671875,3.6691226959228516,-88.3814468383789,-4.6628618240356445,58.416725158691406,0.250708172823431
3,1,True,-11.670206069946289,84.7048568725586,1.5236015319824219,-89.53833770751953,-4.724574089050293,59.86946105957031,0.25193641991110527
4,0,False,-11.389945983886719,87.65692138671875,3.6691226959228516,-88.3814468383789,-4.6628618240356445,58.416725158691406,0.250708172823431
4,1,True,-11.670206069946289,84.7048568725586,1.5236015319824219,-89.53833770751953,-4.724574089050293,59.86946105957031,0.25193641991110527
5,0,False,-11.389945983886719,87.65692138671875,3.6691226959228516,-88.3814468383789,-4.6628618240356445,58.416725158691406,0.250708172823431
5,1,True,-11.670206069946289,84.7048568725586,1.5236015319824219,-89.53833770751953,-4.724574089050293,59.86946105957031,0.25193641991110527
6,0,False,-11.389945983886719,87.65692138671875,3.6691226959228516,-88.3814468383789,-4.6628618240356445,58.416725158691406,0.250708172823431
6,1,True,-11.670206069946289,84.7048568725586,1.5236015319824219,-89.53833770751953,-4.724574089050293,59.86946105957031,0.25193641991110527
7,0,False,-11.389945983886719,87.65692138671875,3.6691226959228516,-88.3814468383789,-4.6628618240356445,58.416725158691406,0.250708172823431
7,1,True,-11.670206069946289,84.7048568725586,1.5236015319824219,-89.53833770751953,-4.724574089050293,59.86946105957031,0.25193641991110527
8,0,False,-11.389945983886719,87.65692138671875,3.6691226959228516,-88.3814468383789,-4.6628618240356445,58.416725158691406,0.250708172823431
8,1,True,-11.670206069946289,84.7048568725586,1.5236015319824219,-89.53833770751953,-4.724574089050293,59.86946105957031,0.25193641991110527
9,0,False,-11.389945983886719,87.65692138671875,3.6691226959228516,-88.3814468383789,-4.6628618240356445,58.416725158691406,0.250708172823431
9,1,True,-11.670206069946289,84.7048568725586,1.5236015319824219,-89.53833770751953,-4.724574089050293,59.86946105957031,0.25193641991110527
