episode,filename,save_idx,nearest_episode,nearest_filename,nearest_save_idx,obs_distance,action_distance
episode_000006,debug_chunk_rawid_3_003_observation_frame.pt,3,episode_000009,debug_chunk_rawid_3_003_observation_frame.pt,3,39.063232421875,0.4035295248031616
episode_000006,debug_chunk_rawid_4_004_observation_frame.pt,4,episode_000003,debug_chunk_rawid_4_004_observation_frame.pt,4,26.605127334594727,0.543376088142395
episode_000007,debug_chunk_rawid_0_000_observation_frame.pt,0,episode_000009,debug_chunk_rawid_0_000_observation_frame.pt,0,21.578487396240234,0.15000329911708832
episode_000007,debug_chunk_rawid_1_001_observation_frame.pt,1,episode_000004,debug_chunk_rawid_1_001_observation_frame.pt,1,30.822675704956055,0.1589578539133072
episode_000007,debug_chunk_rawid_2_002_observation_frame.pt,2,episode_000004,debug_chunk_rawid_2_002_observation_frame.pt,2,36.143802642822266,0.25686565041542053
episode_000007,debug_chunk_rawid_3_003_observation_frame.pt,3,episode_000004,debug_chunk_rawid_3_003_observation_frame.pt,3,43.66461944580078,0.20823006331920624
episode_000007,debug_chunk_rawid_4_004_observation_frame.pt,4,episode_000002,debug_chunk_rawid_4_004_observation_frame.pt,4,28.829280853271484,0.2768111228942871
episode_000008,debug_chunk_rawid_0_000_observation_frame.pt,0,episode_000005,debug_chunk_rawid_0_000_observation_frame.pt,0,8.811918258666992,0.1058613583445549
episode_000008,debug_chunk_rawid_1_001_observation_frame.pt,1,episode_000005,debug_chunk_rawid_1_001_observation_frame.pt,1,33.60044479370117,0.506920576095581
episode_000008,debug_chunk_rawid_2_002_observation_frame.pt,2,episode_000005,debug_chunk_rawid_2_002_observation_frame.pt,2,13.843079566955566,0.08750458061695099
episode_000008,debug_chunk_rawid_3_003_observation_frame.pt,3,episode_000005,debug_chunk_rawid_3_003_observation_frame.pt,3,19.46601676940918,0.08967375010251999
episode_000008,debug_chunk_rawid_4_004_observation_frame.pt,4,episode_000004,debug_chunk_rawid_4_004_observation_frame.pt,4,19.63100814819336,0.23442280292510986
episode_000009,debug_chunk_rawid_0_000_observation_frame.pt,0,episode_000006,debug_chunk_rawid_0_000_observation_frame.pt,0,15.292923927307129,0.3544612526893616
episode_000009,debug_chunk_rawid_1_001_observation_frame.pt,1,episode_000004,debug_chunk_rawid_1_001_observation_frame.pt,1,29.854948043823242,0.07905935496091843
episode_000009,debug_chunk_rawid_2_002_observation_frame.pt,2,episode_000003,debug_chunk_rawid_2_002_observation_frame.pt,2,32.991355895996094,0.1700621247291565
episode_000009,debug_chunk_rawid_3_003_observation_frame.pt,3,episode_000003,debug_chunk_rawid_3_003_observation_frame.pt,3,29.506486892700195,0.19529296457767487
episode_000009,debug_chunk_rawid_4_004_observation_frame.pt,4,episode_000003,debug_chunk_rawid_4_004_observation_frame.pt,4,37.00757598876953,0.11264172941446304
