episode,num_chunks,num_action_chunks,action_std_mean,mean_action_step_delta_norm
episode_000000,6,6,0.977247416973114,3.435359477996826
episode_000001,5,5,1.0033220052719116,3.7796549797058105
episode_000002,5,5,1.0037636756896973,3.7841644287109375
episode_000003,5,5,0.9656631350517273,3.5933339595794678
episode_000004,5,5,1.025795817375183,3.9302449226379395
episode_000005,5,5,1.0117815732955933,3.9295027256011963
episode_000006,5,5,0.9112131595611572,3.4125421047210693
episode_000007,5,5,1.0235008001327515,3.913893699645996
episode_000008,5,5,0.9840185046195984,3.7483162879943848
episode_000009,5,5,0.977245032787323,3.6846184730529785
