trial,seq_pos,is_decision_step,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,predicted_action_eef_z
0,0,False,-14.590956687927246,87.17669677734375,1.9266338348388672,-89.01970672607422,-6.794227600097656,62.80488204956055,0.25329388147614684
0,1,True,-14.875876426696777,84.41954040527344,-0.170684814453125,-90.07405090332031,-6.926968574523926,64.15425109863281,0.2546124123575156
1,0,False,-14.590956687927246,87.17669677734375,1.9266338348388672,-89.01970672607422,-6.794227600097656,62.80488204956055,0.25329388147614684
1,1,True,-14.875876426696777,84.41954040527344,-0.170684814453125,-90.07405090332031,-6.926968574523926,64.15425109863281,0.2546124123575156
2,0,False,-14.590956687927246,87.17669677734375,1.9266338348388672,-89.01970672607422,-6.794227600097656,62.80488204956055,0.25329388147614684
2,1,True,-14.875876426696777,84.41954040527344,-0.170684814453125,-90.07405090332031,-6.926968574523926,64.15425109863281,0.2546124123575156
3,0,False,-14.590956687927246,87.17669677734375,1.9266338348388672,-89.01970672607422,-6.794227600097656,62.80488204956055,0.25329388147614684
3,1,True,-14.875876426696777,84.41954040527344,-0.170684814453125,-90.07405090332031,-6.926968574523926,64.15425109863281,0.2546124123575156
4,0,False,-14.590956687927246,87.17669677734375,1.9266338348388672,-89.01970672607422,-6.794227600097656,62.80488204956055,0.25329388147614684
4,1,True,-14.875876426696777,84.41954040527344,-0.170684814453125,-90.07405090332031,-6.926968574523926,64.15425109863281,0.2546124123575156
5,0,False,-14.590956687927246,87.17669677734375,1.9266338348388672,-89.01970672607422,-6.794227600097656,62.80488204956055,0.25329388147614684
5,1,True,-14.875876426696777,84.41954040527344,-0.170684814453125,-90.07405090332031,-6.926968574523926,64.15425109863281,0.2546124123575156
6,0,False,-14.590956687927246,87.17669677734375,1.9266338348388672,-89.01970672607422,-6.794227600097656,62.80488204956055,0.25329388147614684
6,1,True,-14.875876426696777,84.41954040527344,-0.170684814453125,-90.07405090332031,-6.926968574523926,64.15425109863281,0.2546124123575156
7,0,False,-14.590956687927246,87.17669677734375,1.9266338348388672,-89.01970672607422,-6.794227600097656,62.80488204956055,0.25329388147614684
7,1,True,-14.875876426696777,84.41954040527344,-0.170684814453125,-90.07405090332031,-6.926968574523926,64.15425109863281,0.2546124123575156
8,0,False,-14.590956687927246,87.17669677734375,1.9266338348388672,-89.01970672607422,-6.794227600097656,62.80488204956055,0.25329388147614684
8,1,True,-14.875876426696777,84.41954040527344,-0.170684814453125,-90.07405090332031,-6.926968574523926,64.15425109863281,0.2546124123575156
9,0,False,-14.590956687927246,87.17669677734375,1.9266338348388672,-89.01970672607422,-6.794227600097656,62.80488204956055,0.25329388147614684
9,1,True,-14.875876426696777,84.41954040527344,-0.170684814453125,-90.07405090332031,-6.926968574523926,64.15425109863281,0.2546124123575156
