condition,phase_target,action_dim,action_key,mean,std,min,max,count,range
baseline,0.0,1,action_values.1,60.99932594299317,33.855955829683694,33.871185302734375,101.48849487304688,10,67.6173095703125
low,0.25,1,action_values.1,61.605155563354494,33.69745746405345,34.188812255859375,101.08251190185547,10,66.8936996459961
baseline,0.5,1,action_values.1,39.17363014221191,31.959043816337633,18.816020965576172,99.47425079345703,10,80.65822982788086
baseline,0.25,1,action_values.1,87.74586372375488,27.835614643976143,33.9200553894043,101.80389404296875,10,67.88383865356445
baseline,0.5,2,action_values.2,-38.52298107147217,25.551580664981373,-55.91880416870117,8.853174209594727,10,64.7719783782959
high,0.75,5,action_values.5,25.536930084228516,22.36144307859012,4.071958541870117,48.20508575439453,10,44.133127212524414
low,0.25,2,action_values.2,-6.662334632873535,20.676034749229338,-27.273117065429688,17.84354019165039,10,45.11665725708008
low,0.0,1,action_values.1,92.92700805664063,20.48889695252785,34.73954772949219,100.29719543457031,10,65.55764770507812
baseline,0.25,2,action_values.2,5.4820966720581055,17.433462268810278,-33.207149505615234,17.797252655029297,10,51.00440216064453
baseline,0.0,2,action_values.2,-4.129847431182862,14.288621451277942,-17.017498016357422,16.122894287109375,10,33.1403923034668
baseline,0.75,5,action_values.5,35.45184555053711,12.876523115682192,3.9139537811279297,45.858177185058594,10,41.944223403930664
low,0.5,5,action_values.5,28.52581672668457,12.386073192830539,14.904083251953125,47.53392028808594,10,32.62983703613281
baseline,0.75,1,action_values.1,25.77431411743164,12.012659658559716,18.816020965576172,59.33222961425781,10,40.51620864868164
low,0.75,5,action_values.5,25.3407995223999,10.969151988942427,14.904083251953125,43.545562744140625,10,28.6414794921875
baseline,0.5,0,action_values.0,7.378073883056641,10.217911558928106,-10.569910049438477,14.223358154296875,10,24.79326820373535
low,0.0,2,action_values.2,11.100439834594727,9.453119816090329,-15.66502571105957,15.429847717285156,10,31.094873428344727
baseline,0.5,4,action_values.4,7.738258028030396,9.363510398839255,-8.216813087463379,14.746068000793457,10,22.962881088256836
high,1.0,3,action_values.3,-87.9058624267578,8.11638815721727,-97.60741424560547,-78.09211730957031,10,19.515296936035156
low,0.5,2,action_values.2,-49.290095520019534,7.9072216552994306,-52.87895965576172,-26.96056365966797,10,25.91839599609375
high,0.25,2,action_values.2,3.866384506225586,7.8826708350482315,-2.9404220581054688,14.643463134765625,10,17.583885192871094
low,0.5,0,action_values.0,11.242679595947266,7.76829352431197,-10.844300270080566,14.297378540039062,10,25.14167881011963
high,1.0,1,action_values.1,54.91989669799805,7.738694264975403,44.825599670410156,65.64212036132812,10,20.81652069091797
low,0.5,4,action_values.4,13.03602352142334,7.519812517206205,-8.297896385192871,16.485824584960938,10,24.78372097015381
baseline,0.0,3,action_values.3,-79.41969299316406,6.126397056955914,-87.46772003173828,-73.09394073486328,10,14.373779296875
baseline,1.0,3,action_values.3,-94.08914337158203,5.341044235547477,-97.3636245727539,-79.17796325683594,10,18.18566131591797
baseline,0.5,5,action_values.5,43.72600784301758,5.2877190663854226,29.715862274169922,47.95574188232422,10,18.239879608154297
low,0.5,1,action_values.1,22.51828842163086,5.157629282046999,20.070266723632812,37.02021789550781,10,16.949951171875
baseline,0.75,3,action_values.3,-92.96861419677734,4.978645587045717,-96.60786437988281,-79.17796325683594,10,17.429901123046875
baseline,1.0,0,action_values.0,-3.9453657150268553,4.961646102266224,-8.292171478271484,8.788286209106445,10,17.08045768737793
baseline,1.0,1,action_values.1,46.52353172302246,4.818225490791127,42.245216369628906,59.33222961425781,10,17.087013244628906
baseline,0.25,3,action_values.3,-87.8782943725586,4.58714706416095,-93.63407135009766,-79.09614562988281,10,14.537925720214844
high,0.75,3,action_values.3,-90.91559371948242,4.28245739273921,-97.40280151367188,-85.37361907958984,10,12.029182434082031
high,0.75,1,action_values.1,35.46811866760254,4.236344377210713,29.95075225830078,39.768035888671875,10,9.817283630371094
baseline,1.0,2,action_values.2,-48.91781311035156,4.212665205683801,-59.54231262207031,-45.01698684692383,10,14.525325775146484
high,0.5,1,action_values.1,35.06599006652832,4.091072841608054,29.95075225830078,40.865020751953125,10,10.914268493652344
low,0.25,3,action_values.3,-85.25266952514649,4.0857933283886405,-91.19678497314453,-78.18070983886719,10,13.016075134277344
baseline,1.0,4,action_values.4,-4.161117362976074,3.5511025539443093,-7.7177934646606445,4.486793518066406,10,12.20458698272705
low,0.0,3,action_values.3,-84.86174392700195,3.017340625707433,-86.84224700927734,-76.5405044555664,10,10.301742553710938
baseline,0.75,4,action_values.4,12.479057693481446,2.9811319890387007,4.486793518066406,14.746068000793457,10,10.25927448272705
high,1.0,0,action_values.0,-2.9420602560043334,2.859640627549153,-5.940682411193848,1.5166938304901123,10,7.45737624168396
low,0.25,4,action_values.4,-5.930849194526672,2.7136002848908385,-8.443446159362793,-2.3133645057678223,10,6.130081653594971
high,0.0,5,action_values.5,44.9639087677002,2.6562544880198815,40.342926025390625,47.53935241699219,10,7.1964263916015625
high,0.5,2,action_values.2,-50.60641098022461,2.6382616954189193,-54.53145980834961,-46.92621612548828,10,7.605243682861328
high,0.25,1,action_values.1,94.11822967529297,2.579443051745347,91.79945373535156,98.5809326171875,10,6.7814788818359375
high,0.5,3,action_values.3,-95.12366333007813,2.439737794065731,-97.60057067871094,-90.08061981201172,10,7.519950866699219
high,0.25,0,action_values.0,-9.781511926651001,2.4256301327845087,-11.788884162902832,-6.319377422332764,10,5.469506740570068
low,0.25,0,action_values.0,-8.632319784164428,2.4172027202387656,-10.920267105102539,-5.603440284729004,10,5.316826820373535
baseline,0.25,0,action_values.0,-7.909129238128662,2.2957058013609077,-12.780380249023438,-5.74766731262207,10,7.032712936401367
high,1.0,2,action_values.2,-53.74194564819336,2.1799187286688935,-56.29758834838867,-49.368743896484375,10,6.928844451904297
baseline,0.75,2,action_values.2,-54.44836845397949,2.136243292170932,-59.54231262207031,-52.05943298339844,10,7.482879638671875
high,0.25,3,action_values.3,-88.09151077270508,2.0207605263315633,-89.9145278930664,-83.1762466430664,10,6.73828125
baseline,0.0,0,action_values.0,-10.848693561553954,1.883013097752807,-13.004373550415039,-6.620351791381836,10,6.384021759033203
baseline,0.25,4,action_values.4,-5.567259669303894,1.880300483685273,-9.060864448547363,-3.4050114154815674,10,5.655853033065796
low,0.5,3,action_values.3,-94.63348388671875,1.8738263540437339,-96.36688232421875,-90.690185546875,10,5.67669677734375
baseline,0.5,3,action_values.3,-93.61196899414062,1.8345907161038304,-96.60786437988281,-90.14871215820312,10,6.4591522216796875
baseline,0.0,4,action_values.4,-7.866564130783081,1.8237298467093375,-9.23262882232666,-2.9187865257263184,10,6.313842296600342
low,1.0,2,action_values.2,-42.35552406311035,1.8234978409980993,-44.13023376464844,-37.799747467041016,10,6.330486297607422
low,0.0,0,action_values.0,-11.830455207824707,1.6938824602574318,-12.679781913757324,-7.38768196105957,10,5.292099952697754
baseline,0.75,0,action_values.0,13.166261672973633,1.6342037413436359,8.788286209106445,14.521217346191406,10,5.732931137084961
low,1.0,1,action_values.1,45.97232894897461,1.399674298666016,43.8539924621582,48.75094985961914,10,4.8969573974609375
high,1.0,4,action_values.4,-2.5066890597343443,1.3848090166816647,-3.745436191558838,0.2639122009277344,10,4.009348392486572
low,0.75,3,action_values.3,-95.23682022094727,1.365432346726869,-96.72354888916016,-91.89392852783203,10,4.829620361328125
high,0.25,4,action_values.4,-6.949247646331787,1.2730000938737174,-8.010065078735352,-4.364536285400391,10,3.645528793334961
low,0.75,2,action_values.2,-51.521208953857425,1.2618796638422016,-52.87895965576172,-49.271697998046875,10,3.6072616577148438
low,0.75,1,action_values.1,21.15770378112793,1.1252337564804202,20.070266723632812,23.414371490478516,10,3.344104766845703
high,0.75,2,action_values.2,-53.030809020996095,1.1024227889158416,-54.99126052856445,-51.13554763793945,10,3.855712890625
low,1.0,0,action_values.0,-7.706031703948975,1.0890811065145405,-9.812840461730957,-6.434087753295898,10,3.3787527084350586
low,1.0,3,action_values.3,-94.10728759765625,1.056693807109907,-95.97377014160156,-92.2113265991211,10,3.7624435424804688
high,0.5,5,action_values.5,46.920389556884764,0.9936687792738247,44.406150817871094,48.20508575439453,10,3.7989349365234375
high,0.5,4,action_values.4,7.94962739944458,0.9378049227784153,6.419034004211426,9.606242179870605,10,3.1872081756591797
low,0.25,5,action_values.5,48.1437873840332,0.8646898934624877,46.95738983154297,49.2879638671875,10,2.3305740356445312
high,0.75,4,action_values.4,8.095110130310058,0.8083475015438694,7.040271759033203,9.606242179870605,10,2.5659704208374023
low,0.0,4,action_values.4,-8.59394702911377,0.7779942207714601,-9.045034408569336,-6.504555702209473,10,2.5404787063598633
high,0.5,0,action_values.0,9.775333690643311,0.7360155508436665,8.631560325622559,10.739307403564453,10,2.1077470779418945
high,0.75,0,action_values.0,10.143404388427735,0.6859714287520949,8.815126419067383,11.059037208557129,10,2.243910789489746
high,0.0,2,action_values.2,-14.071918773651124,0.6632614665652722,-15.253957748413086,-12.963054656982422,10,2.290903091430664
low,0.75,4,action_values.4,15.451220893859864,0.6147924586532002,14.639939308166504,16.485824584960938,10,1.8458852767944336
low,1.0,4,action_values.4,-6.021396827697754,0.6073117667674655,-6.9688615798950195,-5.196427345275879,10,1.7724342346191406
high,0.0,1,action_values.1,35.71005477905273,0.5249639454020898,35.00215148925781,36.47622299194336,10,1.4740715026855469
baseline,0.0,5,action_values.5,48.099937438964844,0.5221320306393126,47.44540023803711,49.10148620605469,10,1.6560859680175781
high,0.0,0,action_values.0,-8.919814014434815,0.5122785803127339,-9.389131546020508,-7.85038948059082,10,1.5387420654296875
high,0.0,3,action_values.3,-71.18852310180664,0.4906372573197015,-71.96097564697266,-70.45699310302734,10,1.5039825439453125
high,0.0,4,action_values.4,-7.099371242523193,0.4819773698506691,-7.58445930480957,-6.204862594604492,10,1.3795967102050781
baseline,0.25,5,action_values.5,48.300842666625975,0.44170270385517085,47.447879791259766,48.857791900634766,10,1.409912109375
high,0.25,5,action_values.5,48.10340423583985,0.4336457466463478,47.29104995727539,48.92710494995117,10,1.6360549926757812
low,0.75,0,action_values.0,13.615733432769776,0.43078975821561943,12.886238098144531,14.297378540039062,10,1.4111404418945312
high,1.0,5,action_values.5,4.126431655883789,0.32363174555481583,3.7471694946289062,4.579034805297852,10,0.8318653106689453
low,0.0,5,action_values.5,48.276232147216795,0.24662946099721494,47.95109939575195,48.729827880859375,10,0.7787284851074219
baseline,1.0,5,action_values.5,3.473791313171387,0.18472502049598985,3.2897777557373047,3.9139537811279297,10,0.624176025390625
low,1.0,5,action_values.5,2.8188066482543945,0.11384538399190991,2.6677207946777344,2.972209930419922,10,0.3044891357421875
