condition,episode,episode_idx,save_idx,phase_target,phase_error,eef_z,path,action_key,action_dim,action_value
baseline,episode_000004,4,1,0.0,0.0,0.01070100659936403,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,action_values.5,5,47.44540023803711
baseline,episode_000005,5,1,0.0,0.0,0.012922036140476503,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,action_values.0,0,-10.681962013244629
baseline,episode_000005,5,1,0.0,0.0,0.012922036140476503,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,action_values.1,1,33.871185302734375
baseline,episode_000005,5,1,0.0,0.0,0.012922036140476503,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,action_values.2,2,-16.236270904541016
baseline,episode_000005,5,1,0.0,0.0,0.012922036140476503,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,action_values.3,3,-75.50344848632812
baseline,episode_000005,5,1,0.0,0.0,0.012922036140476503,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,action_values.4,4,-8.194588661193848
baseline,episode_000005,5,1,0.0,0.0,0.012922036140476503,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,action_values.5,5,47.6433219909668
baseline,episode_000006,6,0,0.0,0.0,0.015904868558985513,debug_runs/20260529_110106_baseline/episode_000006/debug_chunk_rawid_0_000_observation_frame.pt,action_values.0,0,-13.004373550415039
baseline,episode_000006,6,0,0.0,0.0,0.015904868558985513,debug_runs/20260529_110106_baseline/episode_000006/debug_chunk_rawid_0_000_observation_frame.pt,action_values.1,1,101.0004653930664
baseline,episode_000006,6,0,0.0,0.0,0.015904868558985513,debug_runs/20260529_110106_baseline/episode_000006/debug_chunk_rawid_0_000_observation_frame.pt,action_values.2,2,12.924503326416016
baseline,episode_000006,6,0,0.0,0.0,0.015904868558985513,debug_runs/20260529_110106_baseline/episode_000006/debug_chunk_rawid_0_000_observation_frame.pt,action_values.3,3,-86.55794525146484
baseline,episode_000006,6,0,0.0,0.0,0.015904868558985513,debug_runs/20260529_110106_baseline/episode_000006/debug_chunk_rawid_0_000_observation_frame.pt,action_values.4,4,-9.23262882232666
baseline,episode_000006,6,0,0.0,0.0,0.015904868558985513,debug_runs/20260529_110106_baseline/episode_000006/debug_chunk_rawid_0_000_observation_frame.pt,action_values.5,5,48.50499725341797
baseline,episode_000007,7,1,0.0,0.0,0.009312376923436574,debug_runs/20260529_110106_baseline/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,action_values.0,0,-10.514431953430176
baseline,episode_000007,7,1,0.0,0.0,0.009312376923436574,debug_runs/20260529_110106_baseline/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,action_values.1,1,35.90919494628906
baseline,episode_000007,7,1,0.0,0.0,0.009312376923436574,debug_runs/20260529_110106_baseline/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,action_values.2,2,-13.283210754394531
baseline,episode_000007,7,1,0.0,0.0,0.009312376923436574,debug_runs/20260529_110106_baseline/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,action_values.3,3,-73.09394073486328
baseline,episode_000007,7,1,0.0,0.0,0.009312376923436574,debug_runs/20260529_110106_baseline/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,action_values.4,4,-8.2243070602417
baseline,episode_000007,7,1,0.0,0.0,0.009312376923436574,debug_runs/20260529_110106_baseline/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,action_values.5,5,47.63752365112305
baseline,episode_000008,8,0,0.0,0.0,0.01599280916604104,debug_runs/20260529_110106_baseline/episode_000008/debug_chunk_rawid_0_000_observation_frame.pt,action_values.0,0,-12.98061466217041
baseline,episode_000008,8,0,0.0,0.0,0.01599280916604104,debug_runs/20260529_110106_baseline/episode_000008/debug_chunk_rawid_0_000_observation_frame.pt,action_values.1,1,101.48849487304688
baseline,episode_000008,8,0,0.0,0.0,0.01599280916604104,debug_runs/20260529_110106_baseline/episode_000008/debug_chunk_rawid_0_000_observation_frame.pt,action_values.2,2,10.095277786254883
baseline,episode_000008,8,0,0.0,0.0,0.01599280916604104,debug_runs/20260529_110106_baseline/episode_000008/debug_chunk_rawid_0_000_observation_frame.pt,action_values.3,3,-87.46772003173828
baseline,episode_000008,8,0,0.0,0.0,0.01599280916604104,debug_runs/20260529_110106_baseline/episode_000008/debug_chunk_rawid_0_000_observation_frame.pt,action_values.4,4,-9.164113998413086
baseline,episode_000008,8,0,0.0,0.0,0.01599280916604104,debug_runs/20260529_110106_baseline/episode_000008/debug_chunk_rawid_0_000_observation_frame.pt,action_values.5,5,48.483951568603516
baseline,episode_000009,9,1,0.0,0.0,0.008293611572567763,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,action_values.0,0,-10.3460054397583
baseline,episode_000009,9,1,0.0,0.0,0.008293611572567763,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,action_values.1,1,34.50379943847656
baseline,episode_000009,9,1,0.0,0.0,0.008293611572567763,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,action_values.2,2,-14.377723693847656
