condition,condition_root,episode,episode_idx,save_idx,raw_chunk_id,eef_z,path,filename,task,metadata_intervention,state_dim,num_action_dims,num_obs_dims,eef_z_start,eef_z_delta_from_start,eef_z_min,eef_z_max,eef_z_range,eef_z_norm_in_episode,peak_chunk,eef_height_phase
baseline,debug_runs/20260529_110106_baseline,episode_000002,2,4,4,0.017171973527350018,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_4_004_observation_frame.pt,debug_chunk_rawid_4_004_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.015904886397472423,0.0012670871298775949,0.015904886397472423,0.0651742049458813,0.04926931854840888,0.025717569619572393,2,low_height
baseline,debug_runs/20260529_110106_baseline,episode_000003,3,0,0,0.015992853182218103,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt,debug_chunk_rawid_0_000_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.015992853182218103,0.0,0.014162735585652161,0.07618057232341077,0.06201783673775861,0.02950953617270727,2,low_height
baseline,debug_runs/20260529_110106_baseline,episode_000003,3,1,1,0.014162735585652161,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,debug_chunk_rawid_1_001_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.015992853182218103,-0.0018301175965659416,0.014162735585652161,0.07618057232341077,0.06201783673775861,0.0,2,low_height
baseline,debug_runs/20260529_110106_baseline,episode_000003,3,2,2,0.07618057232341077,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,debug_chunk_rawid_2_002_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.015992853182218103,0.06018771914119267,0.014162735585652161,0.07618057232341077,0.06201783673775861,1.0,2,near_peak
baseline,debug_runs/20260529_110106_baseline,episode_000003,3,3,3,0.057325250899055144,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_3_003_observation_frame.pt,debug_chunk_rawid_3_003_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.015992853182218103,0.04133239771683704,0.014162735585652161,0.07618057232341077,0.06201783673775861,0.6959693788726453,2,high_height
baseline,debug_runs/20260529_110106_baseline,episode_000003,3,4,4,0.030954843337414856,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_4_004_observation_frame.pt,debug_chunk_rawid_4_004_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.015992853182218103,0.014961990155196753,0.014162735585652161,0.07618057232341077,0.06201783673775861,0.2707625521149317,2,mid_height
baseline,debug_runs/20260529_110106_baseline,episode_000004,4,0,0,0.0160890430971294,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_0_000_observation_frame.pt,debug_chunk_rawid_0_000_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.0160890430971294,0.0,0.01070100659936403,0.07130805718662264,0.06060705058725861,0.08890115004042275,2,low_height
baseline,debug_runs/20260529_110106_baseline,episode_000004,4,1,1,0.01070100659936403,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,debug_chunk_rawid_1_001_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.0160890430971294,-0.005388036497765369,0.01070100659936403,0.07130805718662264,0.06060705058725861,0.0,2,low_height
baseline,debug_runs/20260529_110106_baseline,episode_000004,4,2,2,0.07130805718662264,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_2_002_observation_frame.pt,debug_chunk_rawid_2_002_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.0160890430971294,0.05521901408949324,0.01070100659936403,0.07130805718662264,0.06060705058725861,1.0,2,near_peak
baseline,debug_runs/20260529_110106_baseline,episode_000004,4,3,3,0.05176645818949543,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_3_003_observation_frame.pt,debug_chunk_rawid_3_003_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.0160890430971294,0.03567741509236603,0.01070100659936403,0.07130805718662264,0.06060705058725861,0.6775688833596626,2,high_height
