condition,episode,episode_idx,save_idx,action_key,action_dim,action_value,path
baseline,episode_000000,0,5,action_values.5,5,48.92511749267578,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_5_005_observation_frame.pt
baseline,episode_000001,1,0,action_values.0,0,-12.721107482910156,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000001,1,0,action_values.1,1,101.11282348632812,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000001,1,0,action_values.2,2,7.829936981201172,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000001,1,0,action_values.3,3,-88.22843933105469,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000001,1,0,action_values.4,4,-8.985062599182129,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000001,1,0,action_values.5,5,48.78459548950195,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000001,1,1,action_values.0,0,-10.284333229064941,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000001,1,1,action_values.1,1,34.840328216552734,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000001,1,1,action_values.2,2,-14.9947509765625,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000001,1,1,action_values.3,3,-74.50050354003906,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000001,1,1,action_values.4,4,-7.731637001037598,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000001,1,1,action_values.5,5,47.88446044921875,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000001,1,2,action_values.0,0,-5.037181854248047,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000001,1,2,action_values.1,1,46.38866424560547,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000001,1,2,action_values.2,2,-49.76176071166992,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000001,1,2,action_values.3,3,-95.7967300415039,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000001,1,2,action_values.4,4,-4.921062469482422,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000001,1,2,action_values.5,5,3.562501907348633,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000001,1,3,action_values.0,0,14.521217346191406,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000001,1,3,action_values.1,1,22.238903045654297,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000001,1,3,action_values.2,2,-55.16518020629883,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000001,1,3,action_values.3,3,-93.74608612060547,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000001,1,3,action_values.4,4,13.895319938659668,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000001,1,3,action_values.5,5,32.957401275634766,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000001,1,4,action_values.0,0,-5.74766731262207,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000001,1,4,action_values.1,1,99.47425079345703,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000001,1,4,action_values.2,2,8.853174209594727,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000001,1,4,action_values.3,3,-92.67688751220703,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000001,1,4,action_values.4,4,-4.349350929260254,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000001,1,4,action_values.5,5,47.95574188232422,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000002,2,0,action_values.0,0,-12.833316802978516,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000002,2,0,action_values.1,1,101.05525207519531,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000002,2,0,action_values.2,2,10.136743545532227,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000002,2,0,action_values.3,3,-87.19639587402344,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000002,2,0,action_values.4,4,-9.06918716430664,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000002,2,0,action_values.5,5,48.436519622802734,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000002,2,1,action_values.0,0,-10.765106201171875,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000002,2,1,action_values.1,1,35.180519104003906,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000002,2,1,action_values.2,2,-16.965579986572266,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000002,2,1,action_values.3,3,-76.55241394042969,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000002,2,1,action_values.4,4,-8.185762405395508,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000002,2,1,action_values.5,5,47.268287658691406,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000002,2,2,action_values.0,0,-4.640466213226318,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000002,2,2,action_values.1,1,43.85840606689453,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000002,2,2,action_values.2,2,-47.33135223388672,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_2_002_observation_frame.pt
