condition,episode,episode_idx,num_chunks,first_chunk,last_chunk,eef_z_start,eef_z_end,eef_z_min,eef_z_max,eef_z_range,eef_z_p90,peak_chunk,phase_sequence,high_eef_threshold,high_eef_group
high,episode_000001,1,5,0,4,0.015992823842293585,0.06252537901538197,0.007195553532914387,0.10474202537730397,0.09754647184438958,0.09835925758628564,2,low_height > low_height > near_peak > high_height > high_height,0.09399572869965511,high_eef_mode
high,episode_000002,2,5,0,4,0.015705141851468596,0.07531995496842123,0.006139939929006494,0.10457579273633269,0.0984358528073262,0.09492978047552086,2,low_height > low_height > near_peak > high_height > high_height,0.09399572869965511,high_eef_mode
high,episode_000005,5,5,0,4,0.015705094891312374,0.07266307386008036,0.006371517327557752,0.11005045183422023,0.10367893450666248,0.09596612951298805,2,low_height > low_height > near_peak > high_height > high_height,0.09399572869965511,high_eef_mode
high,episode_000006,6,5,0,4,0.01570509489131229,0.07280699312948177,0.007822462762910626,0.10936583204902864,0.10154336928611801,0.09849768411567648,2,low_height > low_height > near_peak > high_height > high_height,0.09399572869965511,high_eef_mode
high,episode_000007,7,5,0,4,0.015617716538413401,0.0733410925027537,0.008607450359543425,0.10251846289148103,0.09391101253193761,0.0959846729755436,2,low_height > low_height > near_peak > high_height > high_height,0.09399572869965511,high_eef_mode
high,episode_000000,0,5,0,4,0.014158514272451725,0.019786055144943485,0.009716758176325016,0.09097638895443269,0.08125963077810767,0.08165403737956495,2,low_height > low_height > near_peak > high_height > low_height,0.09399572869965511,low_eef_mode
high,episode_000003,3,4,0,3,0.015609547102486479,0.05791663657022248,0.005950528071575936,0.07158760308163686,0.06563707501006093,0.06748631312821254,2,low_height > low_height > near_peak > high_height,0.09399572869965511,low_eef_mode
high,episode_000004,4,5,0,4,0.015992838514547136,0.01865306852943023,0.008330541831449587,0.07887344831233473,0.07054290648088514,0.07312612526279275,2,low_height > low_height > near_peak > high_height > low_height,0.09399572869965511,low_eef_mode
high,episode_000008,8,5,0,4,0.016185463094568114,0.018336017596751422,0.0061969667794369715,0.07599556886890238,0.06979860208946541,0.06871486984224402,2,low_height > low_height > near_peak > high_height > low_height,0.09399572869965511,low_eef_mode
high,episode_000009,9,6,0,5,0.015705094891312374,0.017497976367441076,0.006699773602834649,0.10827715725727435,0.1015773836544397,0.09306167692378936,2,low_height > low_height > near_peak > high_height > high_height > low_height,0.09399572869965511,low_eef_mode
