condition,episode,save_idx,phase_target,eef_z,path,nearest_condition,nearest_episode,nearest_save_idx,nearest_eef_z,nearest_path,obs_distance,action_distance,same_condition,obs_distance_rank_pct,action_distance_rank_pct,mismatch_score
baseline,episode_000002,3,0.75,0.05196240521109221,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_3_003_observation_frame.pt,baseline,episode_000005,3,0.04810507696666307,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_3_003_observation_frame.pt,28.303857803344727,0.2896755039691925,1,0.65,0.7733333333333333,0.27066666666666667
baseline,episode_000007,2,1.0,0.07125529742435897,debug_runs/20260529_110106_baseline/episode_000007/debug_chunk_rawid_2_002_observation_frame.pt,baseline,episode_000004,2,0.07130805718662264,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_2_002_observation_frame.pt,28.17036247253418,0.26313602924346924,1,0.64,0.7466666666666667,0.2688
low,episode_000008,1,0.25,0.02485912479951921,debug_runs/20260529_112911_low/episode_000008/debug_chunk_rawid_1_001_observation_frame.pt,low,episode_000009,1,0.02467076706975864,debug_runs/20260529_112911_low/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,33.082115173339844,3.993878126144409,1,0.7433333333333333,0.9633333333333334,0.24725555555555562
low,episode_000009,1,0.25,0.02467076706975864,debug_runs/20260529_112911_low/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,low,episode_000008,1,0.02485912479951921,debug_runs/20260529_112911_low/episode_000008/debug_chunk_rawid_1_001_observation_frame.pt,33.082115173339844,3.993878126144409,1,0.7433333333333333,0.9633333333333334,0.24725555555555562
low,episode_000008,0,0.0,0.01637874012300619,debug_runs/20260529_112911_low/episode_000008/debug_chunk_rawid_0_000_observation_frame.pt,baseline,episode_000006,0,0.015904868558985513,debug_runs/20260529_110106_baseline/episode_000006/debug_chunk_rawid_0_000_observation_frame.pt,17.28948402404785,0.08516834676265717,0,0.21333333333333335,0.31333333333333335,0.2464888888888889
low,episode_000002,2,1.0,0.05895351151225895,debug_runs/20260529_112911_low/episode_000002/debug_chunk_rawid_2_002_observation_frame.pt,low,episode_000003,2,0.057893852772143664,debug_runs/20260529_112911_low/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,19.767532348632812,0.1038031280040741,1,0.31666666666666665,0.35,0.23916666666666667
low,episode_000003,2,1.0,0.057893852772143664,debug_runs/20260529_112911_low/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,low,episode_000002,2,0.05895351151225895,debug_runs/20260529_112911_low/episode_000002/debug_chunk_rawid_2_002_observation_frame.pt,19.767532348632812,0.1038031280040741,1,0.31666666666666665,0.35,0.23916666666666667
baseline,episode_000004,1,0.0,0.01070100659936403,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,baseline,episode_000001,1,0.010348275231714776,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,19.103944778442383,0.09916317462921143,1,0.2833333333333333,0.3233333333333333,0.23172222222222222
baseline,episode_000001,1,0.0,0.010348275231714776,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,baseline,episode_000004,1,0.01070100659936403,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,19.103944778442383,0.09916317462921143,1,0.2833333333333333,0.3233333333333333,0.23172222222222222
low,episode_000009,0,0.0,0.01649160620335076,debug_runs/20260529_112911_low/episode_000009/debug_chunk_rawid_0_000_observation_frame.pt,baseline,episode_000008,0,0.01599280916604104,debug_runs/20260529_110106_baseline/episode_000008/debug_chunk_rawid_0_000_observation_frame.pt,28.68086051940918,0.20322826504707336,0,0.66,0.66,0.2244
baseline,episode_000005,3,0.75,0.04810507696666307,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_3_003_observation_frame.pt,baseline,episode_000008,3,0.04875592917029499,debug_runs/20260529_110106_baseline/episode_000008/debug_chunk_rawid_3_003_observation_frame.pt,13.961565017700195,0.08052940666675568,1,0.13,0.25,0.2175
baseline,episode_000008,3,0.75,0.04875592917029499,debug_runs/20260529_110106_baseline/episode_000008/debug_chunk_rawid_3_003_observation_frame.pt,baseline,episode_000005,3,0.04810507696666307,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_3_003_observation_frame.pt,13.961565017700195,0.08052940666675568,1,0.13,0.25,0.2175
baseline,episode_000003,3,0.75,0.057325250899055144,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_3_003_observation_frame.pt,baseline,episode_000009,3,0.056983284844980324,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_3_003_observation_frame.pt,21.922536849975586,0.10596490651369095,1,0.4166666666666667,0.36333333333333334,0.21194444444444444
baseline,episode_000009,3,0.75,0.056983284844980324,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_3_003_observation_frame.pt,baseline,episode_000003,3,0.057325250899055144,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_3_003_observation_frame.pt,21.922536849975586,0.10596490651369095,1,0.4166666666666667,0.36333333333333334,0.21194444444444444
high,episode_000009,3,0.75,0.07784619659030438,debug_runs/20260529_112158_high/episode_000009/debug_chunk_rawid_3_003_observation_frame.pt,high,episode_000005,3,0.0748396460311398,debug_runs/20260529_112158_high/episode_000005/debug_chunk_rawid_3_003_observation_frame.pt,21.157737731933594,0.10201222449541092,1,0.3933333333333333,0.33666666666666667,0.20424444444444445
baseline,episode_000009,2,1.0,0.07778543239091226,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_2_002_observation_frame.pt,baseline,episode_000003,2,0.07618057232341077,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,27.668994903564453,0.14716151356697083,1,0.61,0.5233333333333333,0.2041
baseline,episode_000003,2,1.0,0.07618057232341077,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,baseline,episode_000009,2,0.07778543239091226,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_2_002_observation_frame.pt,27.668994903564453,0.14716151356697083,1,0.61,0.5233333333333333,0.2041
high,episode_000005,3,0.75,0.0748396460311398,debug_runs/20260529_112158_high/episode_000005/debug_chunk_rawid_3_003_observation_frame.pt,high,episode_000009,3,0.07784619659030438,debug_runs/20260529_112158_high/episode_000009/debug_chunk_rawid_3_003_observation_frame.pt,21.157751083374023,0.10201222449541092,1,0.4,0.33666666666666667,0.20199999999999999
high,episode_000003,3,0.75,0.05791663657022248,debug_runs/20260529_112158_high/episode_000003/debug_chunk_rawid_3_003_observation_frame.pt,baseline,episode_000004,3,0.05176645818949543,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_3_003_observation_frame.pt,33.812744140625,0.8136060833930969,0,0.78,0.9066666666666666,0.19946666666666663
high,episode_000006,0,0.25,0.01570509489131229,debug_runs/20260529_112158_high/episode_000006/debug_chunk_rawid_0_000_observation_frame.pt,high,episode_000007,0,0.015617716538413401,debug_runs/20260529_112158_high/episode_000007/debug_chunk_rawid_0_000_observation_frame.pt,7.34476375579834,0.048189178109169006,1,0.01,0.19666666666666666,0.19469999999999998
high,episode_000007,0,0.25,0.015617716538413401,debug_runs/20260529_112158_high/episode_000007/debug_chunk_rawid_0_000_observation_frame.pt,high,episode_000006,0,0.01570509489131229,debug_runs/20260529_112158_high/episode_000006/debug_chunk_rawid_0_000_observation_frame.pt,7.34476375579834,0.048189178109169006,1,0.01,0.19666666666666666,0.19469999999999998
