duration_s,eef_height_final,eef_height_final_cm,eef_height_max,eef_height_max_cm,eef_height_mean,eef_height_mean_cm,eef_height_min,eef_height_min_cm,eef_height_range,eef_height_range_cm,eef_height_transport_mean_cm,eef_height_transport_peak_cm,num_steps,rollout_index,source_episode
10.833333333333334,0.09319700361532057,9.319700361532057,0.30041417237972834,30.041417237972833,0.21335609586798449,21.335609586798448,0.08729315747757542,8.729315747757543,0.2131210149021529,21.31210149021529,22.500362411225133,30.041417237972833,326,0,0
9.166666666666666,0.10587793960830481,10.587793960830481,0.29843608184223797,29.843608184223797,0.20636787952420332,20.63678795242033,0.06281902486664297,6.281902486664297,0.23561705697559499,23.5617056975595,21.801637074167008,29.843608184223797,276,1,1
9.933333333333334,0.1599024663034691,15.99024663034691,0.3064522442647146,30.64522442647146,0.22190098300269687,22.190098300269682,0.09233993114712917,9.233993114712916,0.21411231311758544,21.411231311758545,23.5386808649453,30.64522442647146,299,2,2
9.666666666666666,0.15222375315801384,15.222375315801385,0.3001460950302314,30.014609503023138,0.20754256468921037,20.75425646892104,0.09621041622080287,9.621041622080288,0.2039356788094285,20.39356788094285,21.549883844448832,30.014609503023138,291,3,3
9.6,0.1565701211116795,15.657012111167951,0.29693920562297094,29.693920562297095,0.20350941763839284,20.350941763839284,0.08907102844430431,8.907102844430431,0.20786817717866662,20.78681771786666,21.050363196477228,29.693920562297095,289,4,4
9.9,0.145709408717276,14.5709408717276,0.30141133465876613,30.141133465876614,0.20609248799984634,20.609248799984634,0.06714325844232097,6.714325844232097,0.23426807621644516,23.426807621644517,21.961533514058843,30.141133465876614,298,5,5
9.033333333333333,0.11751991338675978,11.751991338675978,0.29814712990892533,29.814712990892534,0.23160664201544023,23.160664201544023,0.0992214203257896,9.922142032578959,0.19892570958313574,19.892570958313577,25.035352961043024,29.814712990892534,272,6,6
9.466666666666667,0.1406177850761104,14.06177850761104,0.30226755949465417,30.226755949465417,0.2101587955306935,21.01587955306935,0.0813227730237786,8.13227730237786,0.22094478647087556,22.094478647087556,21.723514680249078,30.226755949465417,285,7,7
8.9,0.10189588791040531,10.189588791040531,0.30104809920860603,30.104809920860603,0.2170167284485364,21.701672844853636,0.10189588791040531,10.189588791040531,0.1991522112982007,19.915221129820072,22.412405874134787,30.104809920860603,268,8,8
10.033333333333333,0.2640283144206782,26.40283144206782,0.29472357224125884,29.472357224125883,0.20985926340498065,20.985926340498064,0.08929696811536073,8.929696811536072,0.2054266041258981,20.54266041258981,21.886853842433233,29.472357224125883,302,9,9
