action_key,mean,std,min,max,range,max_abs_deviation_from_mean
action_values.0,-14.893006324768066,0.0,-14.893006324768066,-14.893006324768066,0.0,0.0
action_values.1,83.60987091064453,0.0,83.60987091064453,83.60987091064453,0.0,0.0
action_values.2,-1.0426769256591797,0.0,-1.0426769256591797,-1.0426769256591797,0.0,0.0
action_values.3,-90.05619812011719,0.0,-90.05619812011719,-90.05619812011719,0.0,0.0
action_values.4,-6.734807968139648,0.0,-6.734807968139648,-6.734807968139648,0.0,0.0
action_values.5,64.86123657226562,0.0,64.86123657226562,64.86123657226562,0.0,0.0
