episode_idx,num_pred_points,num_actual_points,pred_source,actual_source,chunk_index,delay,actual_window,pred_max_fk_z_m,actual_max_fk_z_m,diff_max_m,diff_max_cm,pred_p95_fk_z_m,actual_p95_fk_z_m,diff_p95_cm,pred_top5_mean_fk_z_m,actual_top5_mean_fk_z_m,diff_top5_mean_cm
0,50,50,sent_action,observation_state,2,4,chunk,0.14655172762010618,0.14386332047808897,0.0026884071420172073,0.26884071420172073,0.14621912950480181,0.1436190344094639,0.2600095095337901,0.14613313801666858,0.1436288516680948,0.25042863485737754
1,50,50,sent_action,observation_state,2,4,chunk,0.14654535251553297,0.1421342079802943,0.004411144535238665,0.44111445352386647,0.14525500512521383,0.1420128849859264,0.324212013928743,0.14539226353184914,0.14202805939937588,0.3364204132473264
2,50,50,sent_action,observation_state,2,4,chunk,0.1170278080144978,0.10294210776118531,0.014085700253312489,1.4085700253312488,0.11595983660549074,0.1029115397492682,1.3048296856222539,0.11627854784666977,0.10291659191699468,1.3361955929675096
3,50,50,sent_action,observation_state,2,4,chunk,0.15195198332549464,0.14810256246346357,0.0038494208620310777,0.38494208620310777,0.1509176144022917,0.14795995960008604,0.2957654802205667,0.15101618298796063,0.14797587106757243,0.30403119203882
4,50,50,sent_action,observation_state,2,4,chunk,0.1510919779548062,0.14572105453231066,0.005370923422495538,0.5370923422495538,0.1502718640563598,0.14558387825833158,0.46879857980282325,0.15040587175122078,0.14551665722956486,0.4889214521655916
5,50,50,sent_action,observation_state,2,4,chunk,0.08244451855869492,0.06825876614920018,0.01418575240949474,1.4185752409494738,0.08133745800635446,0.06802452057877326,1.3312937427581204,0.0815650675566975,0.06807275137830587,1.3492316178391626
6,50,50,sent_action,observation_state,2,4,chunk,0.1483305193546636,0.14375802385322645,0.0045724955014371516,0.45724955014371516,0.14623182142231023,0.14358343697714976,0.26483844451604677,0.14672183790933285,0.14356773367938502,0.31541042299478295
7,50,50,sent_action,observation_state,2,4,chunk,0.150760415088513,0.14849984132322835,0.002260573765284657,0.2260573765284657,0.15047341235548853,0.1482448051757993,0.22286071796892293,0.1504639905947326,0.1483087235015615,0.21552670931710982
8,50,50,sent_action,observation_state,2,4,chunk,0.13993803939232685,0.13160943581045495,0.008328603581871902,0.8328603581871902,0.13916550636629157,0.13143935891159866,0.7726147454692911,0.13936657171418257,0.13149788538302587,0.7868686331156699
9,50,50,sent_action,observation_state,2,4,chunk,0.11765422349243462,0.10314242324104658,0.01451180025138804,1.451180025138804,0.11688727617420351,0.1031048899044682,1.3782386269735312,0.11697276375194823,0.1031117983311898,1.386096542075843
