episode_idx,chunk_step,trace_step,pred_fk_z,pred_mapped_shoulder_pan,pred_mapped_shoulder_lift,pred_mapped_elbow_flex,pred_mapped_wrist_flex,pred_mapped_wrist_roll,pred_mapped_gripper,actual_trace_step,actual_fk_z,pred_minus_actual_fk_z,actual_shoulder_pan,pred_minus_actual_shoulder_pan,actual_shoulder_lift,pred_minus_actual_shoulder_lift,actual_elbow_flex,pred_minus_actual_elbow_flex,actual_wrist_flex,pred_minus_actual_wrist_flex,actual_wrist_roll,pred_minus_actual_wrist_roll,actual_gripper,pred_minus_actual_gripper
0,0,100,0.032737586772397936,-12.369014952417963,39.211127432625936,-23.99603823394038,100.0,-10.616872198998774,19.797369266378748,104,0.027098094469745926,0.0056394923026520105,-12.478632926940918,0.10961797452295485,37.36979293823242,1.8413344943935144,-22.514354705810547,-1.4816835281298317,100.0,0.0,-11.69719123840332,1.0803190394045465,20.89093780517578,-1.093568538797033
0,1,101,0.03323598766892294,-12.117117380452127,38.84657968331376,-24.472508099248984,100.0,-10.710894406991883,19.69907771567771,105,0.031112338712757898,0.002123648956165042,-12.136752128601074,0.019634748148947168,38.28125,0.5653296833137631,-23.84406089782715,-0.6284472014218352,100.0,0.0,-11.30647087097168,0.5955764639797962,20.89093780517578,-1.1918600894980713
0,2,102,0.03888402635433682,-11.7547854575814,39.13139570493614,-26.87582435767798,100.0,-10.258703791974126,19.614747929648406,106,0.03565561578632567,0.003228410568011146,-11.941391944885254,0.18660648730385354,38.93229293823242,0.1991027667037173,-25.536415100097656,-1.339409257580325,100.0,0.0,-11.01343059539795,0.7547268034238233,20.89093780517578,-1.2761898755273755
0,3,103,0.04668725321660512,-11.661720554203717,39.44707377821947,-30.082696762329565,100.0,-9.955811722668939,19.40727524282465,107,0.03955487650496317,0.0071323767116419495,-11.746031761169434,0.08431120696571703,39.32291793823242,0.12415583998704705,-27.047447204589844,-3.0352495577397214,100.0,0.0,-10.671550750732422,0.7157390280634832,20.89093780517578,-1.4836625623511317
0,4,104,0.05319347465122655,-11.57365960707409,40.14898644792808,-32.35470622548356,100.0,-9.694312974127609,19.713577083303672,108,0.043558458334707034,0.009635016316519515,-11.59951114654541,0.02585153947132035,39.71354293823242,0.43544350969565926,-28.5584774017334,-3.7962288237501625,100.0,0.0,-10.427350044250488,0.7330370701228794,20.89093780517578,-1.177360721872109
0,5,105,0.05594275824594312,-11.502310288251586,40.61976699310935,-33.178339754088015,100.0,-9.432364398174983,19.14577857371688,109,0.04823235414268563,0.00771040410325749,-11.59951114654541,0.09720085829382441,40.10416793823242,0.5155990548769296,-30.31127166748047,-2.8670680866075458,100.0,0.0,-10.183150291442871,0.7507858932678886,20.89093780517578,-1.7451592314589028
0,6,106,0.05993523814060604,-11.389797719380224,40.922617300134,-34.59069786494111,100.0,-9.28820989107994,19.317500095793857,110,0.05306298942162332,0.006872248718982725,-11.59951114654541,0.2097134271651857,40.234375,0.6882423001340001,-32.245391845703125,-2.345306019237988,100.0,0.0,-9.79242992401123,0.5042200329312898,20.89093780517578,-1.573437709381924
0,7,107,0.06398157475710706,-11.457557817981801,41.259616583487436,-35.97482260338071,100.0,-9.088575750032522,19.673854703499664,111,0.05706412706260207,0.006917447694504988,-11.550671577453613,0.09311375947181233,40.234375,1.0252415834874355,-33.87730407714844,-2.097518526232271,100.0,0.0,-9.4993896484375,0.41081389840497806,20.89093780517578,-1.217083101676117
0,8,108,0.06862698122712235,-11.16319079539236,41.230464646746356,-37.79694151171028,100.0,-8.488644887123744,19.56381544849652,112,0.060841995628583036,0.0077849855985393165,-11.452991485595703,0.289800690203343,40.234375,0.9960896467463556,-35.388336181640625,-2.408605330069655,100.0,0.0,-9.255188941955566,0.7665440548318223,20.89093780517578,-1.3271223566792614
0,9,109,0.07304985362368048,-11.066653701325011,41.078420576364366,-39.57458294483447,100.0,-8.345508700978202,19.56717404623382,113,0.06468692290788902,0.008362930715791458,-11.355311393737793,0.28865769241278194,40.234375,0.8440455763643655,-36.89936447143555,-2.675218473398921,100.0,0.0,-9.01098918914795,0.6654804881697469,20.89093780517578,-1.3237637589419613
