episode_idx,step_idx,chunk_index,raw_chunk_id,policy_action_fk_z,processed_action_fk_z,robot_action_to_send_fk_z,sent_action_fk_z,actual_observation_state_fk_z
0,0,0,0,0.26144228598600405,0.26144228598600405,0.26144228598600405,0.26144228598600405,0.015072802440094499
0,1,0,0,0.2642869510187066,0.2642869510187066,0.2642869510187066,0.2642869510187066,0.014979352131950785
0,2,0,0,0.26624885518476865,0.26624885518476865,0.26624885518476865,0.26624885518476865,0.01612951783384213
0,3,0,0,0.26725422638580565,0.26725422638580565,0.26725422638580565,0.26725422638580565,0.018746224940946965
0,4,0,0,0.26765485643946535,0.26765485643946535,0.26765485643946535,0.26765485643946535,0.022956144573905587
0,5,0,0,0.26849947192877455,0.26849947192877455,0.26849947192877455,0.26849947192877455,0.026920808320780434
0,6,0,0,0.26860712711784157,0.26860712711784157,0.26860712711784157,0.26860712711784157,0.03161449898869986
0,7,0,0,0.26873865293477495,0.26873865293477495,0.26873865293477495,0.26873865293477495,0.03523572266582392
0,8,0,0,0.26983807939889043,0.26983807939889043,0.26983807939889043,0.26983807939889043,0.03772688226423
0,9,0,0,0.2701428939575985,0.2701428939575985,0.2701428939575985,0.2701428939575985,0.038657988987633896
0,10,0,0,0.26994559712398924,0.26994559712398924,0.26994559712398924,0.26994559712398924,0.039080054013290774
0,11,0,0,0.26971573894494805,0.26971573894494805,0.26971573894494805,0.26971573894494805,0.03885327605877531
0,12,0,0,0.26964788003298723,0.26964788003298723,0.26964788003298723,0.26964788003298723,0.0389512551849408
0,13,0,0,0.2697501086338729,0.2697501086338729,0.2697501086338729,0.2697501086338729,0.03920647967520827
0,14,0,0,0.26864265424523914,0.26864265424523914,0.26864265424523914,0.26864265424523914,0.0387100892685375
0,15,0,0,0.267754234583649,0.267754234583649,0.267754234583649,0.267754234583649,0.038262873332785996
0,16,0,0,0.26718634497414,0.26718634497414,0.26718634497414,0.26718634497414,0.037684678567135185
0,17,0,0,0.26628618319938524,0.26628618319938524,0.26628618319938524,0.26628618319938524,0.03731130849934777
0,18,0,0,0.2661421773610575,0.2661421773610575,0.2661421773610575,0.2661421773610575,0.03672243750028026
0,19,0,0,0.26569271601312017,0.26569271601312017,0.26569271601312017,0.26569271601312017,0.03611195334911746
0,20,0,0,0.26479047534267786,0.26479047534267786,0.26479047534267786,0.26479047534267786,0.03513497958921569
0,21,0,0,0.2642951723717698,0.2642951723717698,0.2642951723717698,0.2642951723717698,0.03481113972369039
0,22,0,0,0.2630638103753197,0.2630638103753197,0.2630638103753197,0.2630638103753197,0.03426742396503725
0,23,0,0,0.26172819788582036,0.26172819788582036,0.26172819788582036,0.26172819788582036,0.033711246297560726
0,24,0,0,0.26123063159820914,0.26123063159820914,0.26123063159820914,0.26123063159820914,0.03318500907518013
0,25,0,0,0.2610135880089411,0.2610135880089411,0.2610135880089411,0.2610135880089411,0.03195190656783441
0,26,0,0,0.2607632001737121,0.2607632001737121,0.2607632001737121,0.2607632001737121,0.03157932424715146
0,27,0,0,0.2606330497026927,0.2606330497026927,0.2606330497026927,0.2606330497026927,0.03139307538635161
0,28,0,0,0.2598038751195909,0.2598038751195909,0.2598038751195909,0.2598038751195909,0.03152088141639976
0,29,0,0,0.25920044254305824,0.25920044254305824,0.25920044254305824,0.25920044254305824,0.031520881416399735
0,30,0,0,0.2591645149985653,0.2591645149985653,0.2591645149985653,0.2591645149985653,0.03152029898116568
0,31,0,0,0.2572003801040274,0.2572003801040274,0.2572003801040274,0.2572003801040274,0.0313924957748036
0,32,0,0,0.2551641622196774,0.2551641622196774,0.2551641622196774,0.2551641622196774,0.03139249577480353
0,33,0,0,0.2524227410330383,0.2524227410330383,0.2524227410330383,0.2524227410330383,0.03139249577480353
0,34,0,0,0.24960520785252593,0.24960520785252593,0.24960520785252593,0.24960520785252593,0.03139307538635161
