trial,is_decision_step,episode_idx,seq_pos,chunk_idx,source_path,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,task,lift_eef_z,predicted_action_eef_z
0,True,0,0,2,debug_runs/20260603_164150_HIGH_current/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,Put the red cube in the box.,0.11240860030008525,0.2937114596636051
1,True,0,0,2,debug_runs/20260603_164150_HIGH_current/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,Put the red cube in the box.,0.11240860030008525,0.2937114596636051
2,True,0,0,2,debug_runs/20260603_164150_HIGH_current/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,Put the red cube in the box.,0.11240860030008525,0.2937114596636051
3,True,0,0,2,debug_runs/20260603_164150_HIGH_current/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,Put the red cube in the box.,0.11240860030008525,0.2937114596636051
4,True,0,0,2,debug_runs/20260603_164150_HIGH_current/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,Put the red cube in the box.,0.11240860030008525,0.2937114596636051
5,True,0,0,2,debug_runs/20260603_164150_HIGH_current/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,Put the red cube in the box.,0.11240860030008525,0.2937114596636051
6,True,0,0,2,debug_runs/20260603_164150_HIGH_current/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,Put the red cube in the box.,0.11240860030008525,0.2937114596636051
7,True,0,0,2,debug_runs/20260603_164150_HIGH_current/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,Put the red cube in the box.,0.11240860030008525,0.2937114596636051
8,True,0,0,2,debug_runs/20260603_164150_HIGH_current/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,Put the red cube in the box.,0.11240860030008525,0.2937114596636051
9,True,0,0,2,debug_runs/20260603_164150_HIGH_current/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,Put the red cube in the box.,0.11240860030008525,0.2937114596636051
0,True,1,0,2,debug_runs/20260603_164150_HIGH_current/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-7.507783889770508,63.82855224609375,-65.3594970703125,-88.18962097167969,-4.03447961807251,15.751361846923828,Put the red cube in the box.,0.10518936019702105,0.29267786472718055
1,True,1,0,2,debug_runs/20260603_164150_HIGH_current/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-7.507783889770508,63.82855224609375,-65.3594970703125,-88.18962097167969,-4.03447961807251,15.751361846923828,Put the red cube in the box.,0.10518936019702105,0.29267786472718055
2,True,1,0,2,debug_runs/20260603_164150_HIGH_current/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-7.507783889770508,63.82855224609375,-65.3594970703125,-88.18962097167969,-4.03447961807251,15.751361846923828,Put the red cube in the box.,0.10518936019702105,0.29267786472718055
3,True,1,0,2,debug_runs/20260603_164150_HIGH_current/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-7.507783889770508,63.82855224609375,-65.3594970703125,-88.18962097167969,-4.03447961807251,15.751361846923828,Put the red cube in the box.,0.10518936019702105,0.29267786472718055
4,True,1,0,2,debug_runs/20260603_164150_HIGH_current/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-7.507783889770508,63.82855224609375,-65.3594970703125,-88.18962097167969,-4.03447961807251,15.751361846923828,Put the red cube in the box.,0.10518936019702105,0.29267786472718055
5,True,1,0,2,debug_runs/20260603_164150_HIGH_current/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-7.507783889770508,63.82855224609375,-65.3594970703125,-88.18962097167969,-4.03447961807251,15.751361846923828,Put the red cube in the box.,0.10518936019702105,0.29267786472718055
6,True,1,0,2,debug_runs/20260603_164150_HIGH_current/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-7.507783889770508,63.82855224609375,-65.3594970703125,-88.18962097167969,-4.03447961807251,15.751361846923828,Put the red cube in the box.,0.10518936019702105,0.29267786472718055
7,True,1,0,2,debug_runs/20260603_164150_HIGH_current/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-7.507783889770508,63.82855224609375,-65.3594970703125,-88.18962097167969,-4.03447961807251,15.751361846923828,Put the red cube in the box.,0.10518936019702105,0.29267786472718055
8,True,1,0,2,debug_runs/20260603_164150_HIGH_current/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-7.507783889770508,63.82855224609375,-65.3594970703125,-88.18962097167969,-4.03447961807251,15.751361846923828,Put the red cube in the box.,0.10518936019702105,0.29267786472718055
9,True,1,0,2,debug_runs/20260603_164150_HIGH_current/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-7.507783889770508,63.82855224609375,-65.3594970703125,-88.18962097167969,-4.03447961807251,15.751361846923828,Put the red cube in the box.,0.10518936019702105,0.29267786472718055
0,True,2,0,2,debug_runs/20260603_164150_HIGH_current/episode_000002/debug_chunk_rawid_2_002_observation_frame.pt,-6.956028938293457,68.93701934814453,-62.339962005615234,-87.88579559326172,-3.7845470905303955,15.781299591064453,Put the red cube in the box.,0.11070809940364347,0.2930353837462649
1,True,2,0,2,debug_runs/20260603_164150_HIGH_current/episode_000002/debug_chunk_rawid_2_002_observation_frame.pt,-6.956028938293457,68.93701934814453,-62.339962005615234,-87.88579559326172,-3.7845470905303955,15.781299591064453,Put the red cube in the box.,0.11070809940364347,0.2930353837462649
2,True,2,0,2,debug_runs/20260603_164150_HIGH_current/episode_000002/debug_chunk_rawid_2_002_observation_frame.pt,-6.956028938293457,68.93701934814453,-62.339962005615234,-87.88579559326172,-3.7845470905303955,15.781299591064453,Put the red cube in the box.,0.11070809940364347,0.2930353837462649
3,True,2,0,2,debug_runs/20260603_164150_HIGH_current/episode_000002/debug_chunk_rawid_2_002_observation_frame.pt,-6.956028938293457,68.93701934814453,-62.339962005615234,-87.88579559326172,-3.7845470905303955,15.781299591064453,Put the red cube in the box.,0.11070809940364347,0.2930353837462649
4,True,2,0,2,debug_runs/20260603_164150_HIGH_current/episode_000002/debug_chunk_rawid_2_002_observation_frame.pt,-6.956028938293457,68.93701934814453,-62.339962005615234,-87.88579559326172,-3.7845470905303955,15.781299591064453,Put the red cube in the box.,0.11070809940364347,0.2930353837462649
5,True,2,0,2,debug_runs/20260603_164150_HIGH_current/episode_000002/debug_chunk_rawid_2_002_observation_frame.pt,-6.956028938293457,68.93701934814453,-62.339962005615234,-87.88579559326172,-3.7845470905303955,15.781299591064453,Put the red cube in the box.,0.11070809940364347,0.2930353837462649
6,True,2,0,2,debug_runs/20260603_164150_HIGH_current/episode_000002/debug_chunk_rawid_2_002_observation_frame.pt,-6.956028938293457,68.93701934814453,-62.339962005615234,-87.88579559326172,-3.7845470905303955,15.781299591064453,Put the red cube in the box.,0.11070809940364347,0.2930353837462649
7,True,2,0,2,debug_runs/20260603_164150_HIGH_current/episode_000002/debug_chunk_rawid_2_002_observation_frame.pt,-6.956028938293457,68.93701934814453,-62.339962005615234,-87.88579559326172,-3.7845470905303955,15.781299591064453,Put the red cube in the box.,0.11070809940364347,0.2930353837462649
8,True,2,0,2,debug_runs/20260603_164150_HIGH_current/episode_000002/debug_chunk_rawid_2_002_observation_frame.pt,-6.956028938293457,68.93701934814453,-62.339962005615234,-87.88579559326172,-3.7845470905303955,15.781299591064453,Put the red cube in the box.,0.11070809940364347,0.2930353837462649
9,True,2,0,2,debug_runs/20260603_164150_HIGH_current/episode_000002/debug_chunk_rawid_2_002_observation_frame.pt,-6.956028938293457,68.93701934814453,-62.339962005615234,-87.88579559326172,-3.7845470905303955,15.781299591064453,Put the red cube in the box.,0.11070809940364347,0.2930353837462649
0,True,3,0,2,debug_runs/20260603_164150_HIGH_current/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,-7.166062355041504,69.9896240234375,-56.62827682495117,-88.21895599365234,-2.8018312454223633,15.674907684326172,Put the red cube in the box.,0.10342027778327567,0.2947594748408974
1,True,3,0,2,debug_runs/20260603_164150_HIGH_current/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,-7.166062355041504,69.9896240234375,-56.62827682495117,-88.21895599365234,-2.8018312454223633,15.674907684326172,Put the red cube in the box.,0.10342027778327567,0.2947594748408974
2,True,3,0,2,debug_runs/20260603_164150_HIGH_current/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,-7.166062355041504,69.9896240234375,-56.62827682495117,-88.21895599365234,-2.8018312454223633,15.674907684326172,Put the red cube in the box.,0.10342027778327567,0.2947594748408974
3,True,3,0,2,debug_runs/20260603_164150_HIGH_current/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,-7.166062355041504,69.9896240234375,-56.62827682495117,-88.21895599365234,-2.8018312454223633,15.674907684326172,Put the red cube in the box.,0.10342027778327567,0.2947594748408974
4,True,3,0,2,debug_runs/20260603_164150_HIGH_current/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,-7.166062355041504,69.9896240234375,-56.62827682495117,-88.21895599365234,-2.8018312454223633,15.674907684326172,Put the red cube in the box.,0.10342027778327567,0.2947594748408974
5,True,3,0,2,debug_runs/20260603_164150_HIGH_current/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,-7.166062355041504,69.9896240234375,-56.62827682495117,-88.21895599365234,-2.8018312454223633,15.674907684326172,Put the red cube in the box.,0.10342027778327567,0.2947594748408974
6,True,3,0,2,debug_runs/20260603_164150_HIGH_current/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,-7.166062355041504,69.9896240234375,-56.62827682495117,-88.21895599365234,-2.8018312454223633,15.674907684326172,Put the red cube in the box.,0.10342027778327567,0.2947594748408974
7,True,3,0,2,debug_runs/20260603_164150_HIGH_current/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,-7.166062355041504,69.9896240234375,-56.62827682495117,-88.21895599365234,-2.8018312454223633,15.674907684326172,Put the red cube in the box.,0.10342027778327567,0.2947594748408974
8,True,3,0,2,debug_runs/20260603_164150_HIGH_current/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,-7.166062355041504,69.9896240234375,-56.62827682495117,-88.21895599365234,-2.8018312454223633,15.674907684326172,Put the red cube in the box.,0.10342027778327567,0.2947594748408974
9,True,3,0,2,debug_runs/20260603_164150_HIGH_current/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,-7.166062355041504,69.9896240234375,-56.62827682495117,-88.21895599365234,-2.8018312454223633,15.674907684326172,Put the red cube in the box.,0.10342027778327567,0.2947594748408974
0,True,4,0,2,debug_runs/20260603_164150_HIGH_current/episode_000004/debug_chunk_rawid_2_002_observation_frame.pt,-8.171819686889648,69.60887908935547,-53.91447067260742,-87.77435302734375,-3.5203986167907715,14.656940460205078,Put the red cube in the box.,0.09965576625640002,0.29416594619573394
1,True,4,0,2,debug_runs/20260603_164150_HIGH_current/episode_000004/debug_chunk_rawid_2_002_observation_frame.pt,-8.171819686889648,69.60887908935547,-53.91447067260742,-87.77435302734375,-3.5203986167907715,14.656940460205078,Put the red cube in the box.,0.09965576625640002,0.29416594619573394
2,True,4,0,2,debug_runs/20260603_164150_HIGH_current/episode_000004/debug_chunk_rawid_2_002_observation_frame.pt,-8.171819686889648,69.60887908935547,-53.91447067260742,-87.77435302734375,-3.5203986167907715,14.656940460205078,Put the red cube in the box.,0.09965576625640002,0.29416594619573394
3,True,4,0,2,debug_runs/20260603_164150_HIGH_current/episode_000004/debug_chunk_rawid_2_002_observation_frame.pt,-8.171819686889648,69.60887908935547,-53.91447067260742,-87.77435302734375,-3.5203986167907715,14.656940460205078,Put the red cube in the box.,0.09965576625640002,0.29416594619573394
