action_key,mean,std,min,max,range,max_abs_deviation_from_mean
action_values.0,-7.950786590576172,0.0,-7.950786590576172,-7.950786590576172,0.0,0.0
action_values.1,68.23292541503906,0.0,68.23292541503906,68.23292541503906,0.0,0.0
action_values.2,-62.336570739746094,0.0,-62.336570739746094,-62.336570739746094,0.0,0.0
action_values.3,-88.29869842529297,0.0,-88.29869842529297,-88.29869842529297,0.0,0.0
action_values.4,-3.8932933807373047,0.0,-3.8932933807373047,-3.8932933807373047,0.0,0.0
action_values.5,15.549566268920898,0.0,15.549566268920898,15.549566268920898,0.0,0.0
