abs_diff,cohens_d,diff_ci95_hi,diff_ci95_lo,label_a,label_b,mean_a,mean_b,metric,n_a,n_b,ratio
-4.910608338267082,-3.1475824463555946,-3.646381484737462,-6.102309783775215,baseline,high,9.084194214325917,4.173585876058835,action_endpoint_delta,11,10,0.45943380150136887
290.4550299105521,2.9211764579435036,377.0835109319056,209.68472659398685,baseline,high,300.0544731753874,590.5095030859395,action_max_speed,11,10,1.9680076648318978
277.8234556698284,2.8525561298223483,361.4743026004636,201.6580002600285,baseline,high,774.948379825685,1052.7718354955134,action_mean_jerk,11,10,1.3585057571560264
10.555774307162999,2.0537131133354882,14.604809191508247,6.1733741150674035,baseline,high,58.29442806304426,68.85020237020726,action_mean_speed,11,10,1.1810768997327903
914.6623613305023,2.387445564984928,1233.5454914659856,585.2631580232987,baseline,high,2570.2403902709066,3484.902751601409,action_p95_jerk,11,10,1.3558664647825167
25.801462757268666,2.0715738762908926,35.542499468947675,15.631964346911174,baseline,high,132.3173668902268,158.11882964749546,action_p95_speed,11,10,1.1949967971832762
32.666236670819956,1.1433039060579235,58.590560784053,11.324724432580561,baseline,high,469.56609004716154,502.2323267179815,action_path_len,11,10,1.0695668562157958
5.224243206365221,1.9766279501609014,7.740313175840518,3.298019213883866,baseline,high,6.472486987008031,11.696730193373252,action_speed_spikiness,11,10,1.8071461879769213
-0.6739392323927449,-0.8088961362885407,0.1181895355744796,-1.263355735865506,baseline,high,8.060605959458785,7.38666672706604,duration_s,11,10,0.9163909965396813
-0.00039640118429680113,-0.27139800541384657,0.0006871221706125429,-0.001668608877590385,baseline,high,0.0024892319667577153,0.002092830782460914,eef_displacement_final,11,10,0.8407542578863392
0.011802292832946856,1.984823237166279,0.01662338758357305,0.00700517135341295,baseline,high,0.10141891562559256,0.11322120845853942,eef_displacement_max,11,10,1.1163717004508338
0.005018981246192891,1.5833241295832599,0.007983687307297887,0.0025013542031815006,baseline,high,0.06795684872006023,0.07297582996625313,eef_displacement_mean,11,10,1.073855403865384
0.0,nan,0.0,0.0,baseline,high,0.0,0.0,eef_displacement_min,11,10,1.0
0.011802292832946856,1.984823237166279,0.01662338758357305,0.00700517135341295,baseline,high,0.10141891562559256,0.11322120845853942,eef_displacement_range,11,10,1.1163717004508338
0.0012660791743050043,1.3186847059123166,0.0020404899033932052,0.0004977208053362728,baseline,high,0.12046525519090451,0.12173133436520951,eef_height_final,11,10,1.0105099106559772
0.010068938326525945,1.6864787188089687,0.014415075408395189,0.0048874808769993885,baseline,high,0.20929684443239377,0.21936578275891971,eef_height_max,11,10,1.0481084073328888
0.0072624084378747344,2.675734917060476,0.009424556186505003,0.004893151667557524,baseline,high,0.1682571425236767,0.17551955096155145,eef_height_mean,11,10,1.043162554036761
0.0010920020260739849,2.4905816705929187,0.0014179014174302259,0.0007262652285429008,baseline,high,0.11866598148893438,0.11975798351500837,eef_height_min,11,10,1.0092023166230892
0.008976936300451932,1.533642449011518,0.01327905507001786,0.00395781531799554,baseline,high,0.09063086294345943,0.09960779924391136,eef_height_range,11,10,1.0990494299448295
-0.00039640118429680113,-0.27139800541384657,0.0006871221706125429,-0.001668608877590385,baseline,high,0.0024892319667577153,0.002092830782460914,eef_pos_endpoint_delta,11,10,0.8407542578863392
0.010349540387391942,0.1432492141471096,0.06598153232459353,-0.047596531100947644,baseline,high,0.3142214638175427,0.3245710042049346,eef_pos_max_speed,11,10,1.0329370881679512
0.26225051810921296,2.340443187579064,0.3443692198576779,0.169540889502647,baseline,high,0.5149679122891145,0.7772184303983275,eef_pos_mean_jerk,11,10,1.509256026945266
0.01349895612008465,1.830110322523399,0.01956286729349231,0.00748144220240306,baseline,high,0.06228354071437175,0.0757824968344564,eef_pos_mean_speed,11,10,1.2167338882458703
