abs_diff,baseline_mean,baseline_n,cohens_d,diff_ci95_hi,diff_ci95_lo,metric,ratio,steered_mean,steered_n
23.17571515002143,2.5013693081990467,5,3.0568544509342224,31.697808053069938,15.133527938018853,action_endpoint_delta,10.26521125105494,25.677084458220474,5
207.79626314812208,524.5121824236571,5,1.0000385687157558,397.70943627946576,-55.706328627431034,action_max_speed,1.3961705182594213,732.3084455717792,5
121.65605869075159,765.9890589712971,5,2.801282315460177,173.46107971450363,80.71332196130498,action_mean_jerk,1.158822188469042,887.6451176620487,5
4.503980819911185,60.71905900267482,5,1.683981091047706,7.544644055353254,1.4772599014772394,action_mean_speed,1.0741773817504483,65.223039822586,5
333.0035107786698,2456.7627714433647,5,1.2956699106823715,603.3971606991952,40.7132760698262,action_p95_jerk,1.1355456516388323,2789.7662822220345,5
14.675550486812625,144.7975988857502,5,1.631662650003896,24.30537510242416,4.034135821442391,action_p95_speed,1.1013521674304736,159.47314937256283,5
-119.7148246229284,797.8125209241152,5,-7.37986308481477,-102.47098558162345,-137.62557819462842,action_path_len,0.8499461697056837,678.0976963011868,5
5.011796776535251,10.606447168044003,5,1.2359957531750774,8.75553017861216,-0.06406040003690813,action_speed_spikiness,1.4725236162878346,15.618243944579254,5
-2.7199998855590817,13.139999961853027,5,-6.314396653727238,-2.21333293914795,-3.173333168029785,duration_s,0.7929984861959248,10.420000076293945,5
4.396404456676661,1.8357082300156073,5,2.448974373647363,6.391123569864876,2.3457771600938506,state_endpoint_delta,3.394936385228234,6.232112686692269,5
197.880852762786,199.9136890468165,5,2.3086049515762515,288.2552119929845,101.496530355229,state_max_speed,1.9898314302356115,397.7945418096025,5
95.64560249026238,302.5664370880853,5,5.175151625465018,116.71992505061566,76.24197660786314,state_mean_jerk,1.3161143827041735,398.2120395783477,5
5.232956789773269,42.835477969033796,5,3.8443046167313617,6.762126041427474,3.6466808496280363,state_mean_speed,1.122164080726135,48.068434758807065,5
296.4575294813678,969.0095934604171,5,1.5792620409663036,513.7116788622805,98.5971914571696,state_p95_jerk,1.3059386939809676,1265.467122941785,5
22.77560620120275,111.61870944149382,5,2.1777714143568416,34.272750167796765,11.779991727347351,state_p95_speed,1.2040482846748946,134.39431564269657,5
-62.56311168945558,562.8099755968284,5,-4.262045606290961,-45.379219909585686,-77.50606655188597,state_path_len,0.8888379481511512,500.2468639073728,5
5.136679296479541,5.503114120116334,5,2.0868743204472504,7.71556512809212,2.2626206194834393,state_speed_spikiness,1.9334131866116604,10.639793416595875,5
