episode_idx,video_path,found,cx,cy,area,fill_ratio,aspect,num_found_frames,reason
24,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-001.mp4,True,499.9680542229784,219.52333818102588,2424.25,0.8939193687343359,0.8406954887218046,4,
25,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-001.mp4,True,463.03300668724285,211.93798321155185,2415.0,0.9061094452773613,0.7844827586206897,4,
26,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-001.mp4,True,513.0767951971842,216.0597770651699,2496.0,0.8861643795449214,0.8362068965517242,4,
27,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-001.mp4,True,518.3455800349368,244.87537081198704,2505.5,0.8411424949290061,0.8477011494252873,4,
28,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-001.mp4,True,475.4843732804544,230.26200380885166,2423.5,0.8609858814215341,0.8362068965517242,4,
29,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-001.mp4,True,474.33714551810357,212.24620303096685,2426.25,0.8974548629940349,0.8017241379310345,4,
30,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-001.mp4,True,489.1722080768613,239.83985650952647,2429.25,0.8695222701149425,0.8275862068965517,4,
31,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-001.mp4,True,512.9033600443524,247.2512118334997,2486.5,0.8649062310949789,0.8608590441621294,4,
32,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-001.mp4,True,514.378828853299,223.6417495812785,2506.0,0.849340395480226,0.8403954802259888,4,
33,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-001.mp4,True,502.172244405052,212.31619843127413,2456.75,0.8824533045977012,0.8189655172413792,4,
34,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-001.mp4,True,468.33540902603954,219.2646705323808,2385.75,0.8821213605823068,0.8157894736842105,4,
35,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-001.mp4,True,462.88279950248875,225.14555362781545,2376.75,0.9045575896262394,0.8070175438596491,4,
36,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-001.mp4,True,471.03584669674365,243.72940444679622,2382.25,0.9105536517455558,0.8072660098522167,4,
