global_id,layer,neuron,concept,is_selected_concept,tsne_x,tsne_y,max_logit,top_tokens_joined
209,0,209,Other neurons,False,-29.770601272583008,-30.349584579467773,4.212918758392334,outheastern | outheast | HOUT | cerity | forgettable | requently | iblings | ierra | paralleled | ynasty
210,0,210,Other neurons,False,-13.586702346801758,-1.1452604532241821,2.6211018562316895,ardship | ardships | orld | sphinct | iriam | interspers | aphy | __.__ | forgettable | selves
216,0,216,Other neurons,False,-6.187410354614258,-25.39199447631836,2.95563006401062,orkshire | uckingham | onsai | ounsaturated | evelop | urved | esterday | giene | educt | inge
224,0,224,Other neurons,False,-20.421092987060547,-4.951318264007568,2.5513792037963867,ikip | atican | ikhail | amiliar | ditionally | rigation | ώ | ijuana | ellum | ivitis
227,0,227,Other neurons,False,-18.72818946838379,13.403074264526367,4.394052505493164,olkien | uckingham | uggage | innitus | kines | aphyloc | oclonal | ediatrics | incinn | CLUD
255,0,255,Other neurons,False,-0.12923043966293335,-6.942471981048584,2.669386386871338,encers | orgetown | generational | aphrag | usoleum | indeer | oseph | roqu | andom | ashington
256,0,256,Other neurons,False,66.61820983886719,-12.103043556213379,3.622499465942383," | "" | ( | S | - | ' | a | B | M | "
260,0,260,Other neurons,False,65.54276275634766,-19.359344482421875,2.712306022644043," | a | ( | R | - | _ | L | , | e | in"
264,0,264,Other neurons,False,-46.1613883972168,-3.4334867000579834,2.775571823120117,ountains | uador | ALTH | leveland | incinnati | irmingham | odder | elona | Picchu | oughton
272,0,272,Other neurons,False,-15.68476676940918,-21.077442169189453,2.877744674682617,ountains | ingale | ellington | onsai | asgow | erglass | openhagen | ytocin | iagnosed | IRST
277,0,277,Other neurons,False,-31.57892417907715,22.081958770751953,2.7784459590911865,orgetown | thyroidism | elior | ilantro | rayer | LIABILITY | ️ | operability | soriasis | arnation
293,0,293,Other neurons,False,64.14131927490234,-19.940797805786133,4.771377086639404,"- |  | , | . | ( | : | S | "" | d | p"
294,0,294,Other neurons,False,69.03781127929688,-9.332799911499023,3.0262162685394287, | ( | S | p | C | s | d | B | m | G
299,0,299,Other neurons,False,-3.605483293533325,-24.497961044311523,4.231568336486816,onsai | uckingham | amboo | ovine | izarre | endix | irmingham | ourgeois | achelor | ediatr
