trial,seq_pos,is_decision_step,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,predicted_action_eef_z
0,0,False,-11.569201469421387,88.72209167480469,4.68910026550293,-88.17996978759766,-5.292620658874512,58.72923278808594,0.24982275503139645
0,1,True,-11.896872520446777,85.70414733886719,2.219667434692383,-89.28485107421875,-5.352062225341797,60.331756591796875,0.2515789970194207
1,0,False,-11.569201469421387,88.72209167480469,4.68910026550293,-88.17996978759766,-5.292620658874512,58.72923278808594,0.24982275503139645
1,1,True,-11.896872520446777,85.70414733886719,2.219667434692383,-89.28485107421875,-5.352062225341797,60.331756591796875,0.2515789970194207
2,0,False,-11.569201469421387,88.72209167480469,4.68910026550293,-88.17996978759766,-5.292620658874512,58.72923278808594,0.24982275503139645
2,1,True,-11.896872520446777,85.70414733886719,2.219667434692383,-89.28485107421875,-5.352062225341797,60.331756591796875,0.2515789970194207
3,0,False,-11.569201469421387,88.72209167480469,4.68910026550293,-88.17996978759766,-5.292620658874512,58.72923278808594,0.24982275503139645
3,1,True,-11.896872520446777,85.70414733886719,2.219667434692383,-89.28485107421875,-5.352062225341797,60.331756591796875,0.2515789970194207
4,0,False,-11.569201469421387,88.72209167480469,4.68910026550293,-88.17996978759766,-5.292620658874512,58.72923278808594,0.24982275503139645
4,1,True,-11.896872520446777,85.70414733886719,2.219667434692383,-89.28485107421875,-5.352062225341797,60.331756591796875,0.2515789970194207
5,0,False,-11.569201469421387,88.72209167480469,4.68910026550293,-88.17996978759766,-5.292620658874512,58.72923278808594,0.24982275503139645
5,1,True,-11.896872520446777,85.70414733886719,2.219667434692383,-89.28485107421875,-5.352062225341797,60.331756591796875,0.2515789970194207
6,0,False,-11.569201469421387,88.72209167480469,4.68910026550293,-88.17996978759766,-5.292620658874512,58.72923278808594,0.24982275503139645
6,1,True,-11.896872520446777,85.70414733886719,2.219667434692383,-89.28485107421875,-5.352062225341797,60.331756591796875,0.2515789970194207
7,0,False,-11.569201469421387,88.72209167480469,4.68910026550293,-88.17996978759766,-5.292620658874512,58.72923278808594,0.24982275503139645
7,1,True,-11.896872520446777,85.70414733886719,2.219667434692383,-89.28485107421875,-5.352062225341797,60.331756591796875,0.2515789970194207
8,0,False,-11.569201469421387,88.72209167480469,4.68910026550293,-88.17996978759766,-5.292620658874512,58.72923278808594,0.24982275503139645
8,1,True,-11.896872520446777,85.70414733886719,2.219667434692383,-89.28485107421875,-5.352062225341797,60.331756591796875,0.2515789970194207
9,0,False,-11.569201469421387,88.72209167480469,4.68910026550293,-88.17996978759766,-5.292620658874512,58.72923278808594,0.24982275503139645
9,1,True,-11.896872520446777,85.70414733886719,2.219667434692383,-89.28485107421875,-5.352062225341797,60.331756591796875,0.2515789970194207
