grid_id,grid_x,grid_y,num_episodes,episode_ids,cx_mean,cy_mean,eef_z_max_mean,eef_z_max_std,eef_z_max_min,eef_z_max_max,eef_z_max_range,eef_z_max_iqr,prelift_wrist_mean,prelift_wrist_std,prelift_wrist_iqr,prelift_wrist_range,prelift_elbow_mean,prelift_elbow_std,prelift_elbow_iqr,prelift_elbow_range,prelift_gripper_mean,prelift_gripper_std,num_high,num_low,num_mid,num_unknown_label,high_low_balance_ratio,high_eef_z_max_mean,low_eef_z_max_mean,high_eef_z_max_std,low_eef_z_max_std,high_minus_low_eef_gap,high_episode_ids,low_episode_ids
cell_x00_y00,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
cell_x01_y00,1,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
cell_x02_y00,2,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
cell_x03_y00,3,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
cell_x04_y00,4,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
cell_x00_y01,0,1,1,15,309.29401367198125,207.9406329300483,0.13316850856138857,0.0,0.13316850856138857,0.13316850856138857,0.0,0.0,-73.52908741344105,0.0,0.0,0.0,-27.6872277693315,0.0,0.0,0.0,3.5540144443511963,0.0,1,0,0,0,0.0,0.13316850856138857,,0.0,,,15,
cell_x01_y01,1,1,2,"39,40",341.6635444984554,221.81299794715156,0.07571647567931913,0.005390815593943971,0.07032566008537516,0.0811072912732631,0.010781631187887941,0.005390815593943971,-92.28206357088956,3.9321927157315315,3.9321927157315315,7.864385431463063,-50.64282660050826,8.658844861117277,8.65884486111728,17.317689722234554,3.581102967262268,0.1354426145553589,0,2,0,0,0.0,,0.07571647567931913,,0.005390815593943971,,,"39,40"
cell_x02_y01,2,1,2,"12,19",397.31015364194457,225.7086580133739,0.11938300515948541,0.008242589157055828,0.11114041600242959,0.12762559431654125,0.016485178314111656,0.008242589157055821,-71.2041886069558,0.3331746188077105,0.3331746188077176,0.666349237615421,-31.003231915560633,1.5947728590531778,1.594772859053176,3.1895457181063556,3.5269259214401245,0.0487593412399292,2,0,0,0,0.0,0.11938300515948541,,0.008242589157055828,,,"12,19",
cell_x03_y01,3,1,3,"16,18,38",477.6985328729993,215.5831355068033,0.10179558582453897,0.02310943421729974,0.06918201689074982,0.11992864130535597,0.050746624414606145,0.025373312207303073,-75.23035500266336,1.4512674270667991,1.7757107127796417,3.5514214255592975,-30.260877898245145,1.8442202652833115,2.1216806064952465,4.2433612129904965,3.4745547771453857,0.02702825915920183,2,1,0,0,0.5,0.11810237029143356,0.06918201689074982,0.0018262710139224161,0.0,0.048920353400683736,"16,18",38
cell_x04_y01,4,1,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
cell_x00_y02,0,2,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
cell_x01_y02,1,2,10,"3,6,9,13,20,29,32,47,49,59",357.54587744996763,265.0636379156448,0.10348075609056959,0.0252690390962236,0.06600957462211587,0.12903303687279655,0.06302346225068067,0.04810238726160332,-75.9711496179754,12.359444790575303,13.647348577326,35.6899660283869,-23.378530211882158,12.000978224665563,19.462202733213253,33.4059291752902,3.529093005440452,0.15193160735057018,6,4,0,0,0.6666666666666666,0.12371477510462932,0.07312972756948,0.004878746029262775,0.0050298486467418805,0.05058504753514932,"3,6,9,13,20,29","32,47,49,59"
cell_x02_y02,2,2,10,"0,1,4,26,30,52,55,56,58,60",414.94603281745685,255.52726431485993,0.09587316336785201,0.02547007642170208,0.06745420905474116,0.13634535441807116,0.06889114536333,0.04557188198290461,-82.46622505187989,15.13950308400727,31.023687709461555,34.26939530806108,-35.954053601351646,14.113517438625552,27.13748773661527,36.658704410899766,5.830534122206948,6.75515386080551,4,6,0,0,0.6666666666666666,0.12614568865885606,0.07569147984051598,0.007445369181029446,0.005099159903731779,0.05045420881834008,"0,1,4,26","30,52,55,56,58,60"
cell_x03_y02,3,2,10,"2,27,31,35,36,37,46,50,51,57",474.14859009561405,263.96096001136914,0.07986904466883574,0.022060697412894004,0.06379427041573027,0.13200234977170114,0.06820807935597087,0.00802259289538032,-87.68132400512695,12.023513394816913,23.724966742775663,29.46582169966264,-36.73879440481012,11.541849313140041,16.753899010744963,37.63523890755393,6.842561442201787,9.996621957773,2,8,0,0,0.25,0.1225369360182006,0.06920207183149452,0.009465413753500532,0.004125881843311692,0.05333486418670609,"2,27","31,35,36,37,46,50,51,57"
cell_x04_y02,4,2,1,45,511.50358690776864,255.9664312431867,0.07351789529494548,0.0,0.07351789529494548,0.07351789529494548,0.0,0.0,-99.69977638938211,0.0,0.0,0.0,-47.231979023326524,0.0,0.0,0.0,3.6948747634887695,0.0,0,1,0,0,0.0,,0.07351789529494548,,0.0,,,45
cell_x00_y03,0,3,1,14,310.32171486152333,288.9293775887427,0.12341756158449524,0.0,0.12341756158449524,0.12341756158449524,0.0,0.0,-70.27056815407492,0.0,0.0,0.0,-14.577771707014604,0.0,0.0,0.0,3.6948747634887695,0.0,1,0,0,0,0.0,0.12341756158449524,,0.0,,,14,
cell_x01_y03,1,3,9,"8,11,21,25,28,41,42,48,53",347.23925208309606,299.6262627144211,0.10661112249600288,0.02822117215305843,0.0703886003166004,0.15276576754316898,0.08237716722656858,0.04951149456414303,-81.05419852516867,15.485316201178133,32.34357313676314,34.26939530806108,-21.403369260556772,13.774030187628473,28.944780436429113,30.694113037802957,3.7923934700513127,0.5409271137677713,5,4,0,0,0.8,0.13011757814217434,0.07722805293828854,0.013190679592661587,0.004519803283625786,0.052889525203885804,"8,11,21,25,28","41,42,48,53"
cell_x02_y03,2,3,4,"5,17,22,33",422.6352650654852,299.02106012466766,0.1092200375810918,0.028660428384541786,0.062384077154253564,0.13291132879021345,0.07052725163595988,0.03483146647726518,-78.39856494556774,9.043300799860866,7.4909388802268495,24.38399297540839,-24.726008209315214,9.369032714001085,10.446817777373571,25.642827077345416,3.394192159175873,0.12852069691130452,3,1,0,0,0.3333333333333333,0.12483202439003788,0.062384077154253564,0.010967695523206887,0.0,0.06244794723578431,"5,17,22",33
