episode_idx,video_path,found,cx,cy,area,fill_ratio,aspect,num_found_frames,reason
26,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test2/videos/observation.images.top/chunk-000/file-000.mp4,True,417.0541011298908,262.4789439032089,2298.25,0.8824664372359274,0.7758620689655172,4,
27,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test2/videos/observation.images.top/chunk-000/file-000.mp4,True,465.17202757250925,281.48159010870586,2370.0,0.9038901601830664,0.8070175438596491,4,
28,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test2/videos/observation.images.top/chunk-000/file-000.mp4,True,353.588379893405,285.4295185730673,2109.5,0.9181919642857144,0.7255639097744361,4,
29,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test2/videos/observation.images.top/chunk-000/file-000.mp4,True,335.54817773597836,282.3572144666896,2169.0,0.904396451599984,0.7155172413793103,4,
30,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test2/videos/observation.images.top/chunk-000/file-001.mp4,True,421.8451889951573,231.6785968858772,2322.0,0.9036629536894367,0.7788220551378446,4,
31,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test2/videos/observation.images.top/chunk-000/file-001.mp4,True,459.9631645619433,267.57560946116985,2380.5,0.8589741596926024,0.8034774985388662,4,
32,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test2/videos/observation.images.top/chunk-000/file-001.mp4,True,357.6005077630458,272.44903900426846,2172.5,0.9354525862068965,0.6896551724137931,4,
33,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test2/videos/observation.images.top/chunk-000/file-001.mp4,True,414.77683858435523,291.9930498340392,2297.25,0.8829501915708813,0.7758620689655172,4,
34,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test2/videos/observation.images.top/chunk-000/file-001.mp4,True,473.4491493816921,304.41885470766096,2459.5,0.8247922842877204,0.880333138515488,4,
35,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test2/videos/observation.images.top/chunk-000/file-001.mp4,True,495.777580890135,273.5572982185885,2413.25,0.8951610969069037,0.8423645320197044,4,
36,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test2/videos/observation.images.top/chunk-000/file-001.mp4,True,495.25238973098453,257.5510036870135,2442.0,0.8775143678160919,0.8275862068965517,4,
37,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test2/videos/observation.images.top/chunk-000/file-001.mp4,True,497.48220181780846,234.29023365313793,2447.5,0.8791307471264368,0.8275862068965517,4,
38,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test2/videos/observation.images.top/chunk-000/file-001.mp4,True,470.32005837508603,219.62994826108886,2354.75,0.9247800207039338,0.8052944862155389,4,
39,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test2/videos/observation.images.top/chunk-000/file-001.mp4,True,361.5286610069219,221.0858978105355,2169.0,0.8462593550517279,0.7225988700564971,4,
40,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test2/videos/observation.images.top/chunk-000/file-001.mp4,True,321.7984279899889,222.54009808376762,2152.25,0.9259698275862069,0.6896551724137931,4,
41,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test2/videos/observation.images.top/chunk-000/file-001.mp4,True,338.7986589454895,307.7117389632578,2154.0,0.9040268341118577,0.7521929824561404,4,
42,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test2/videos/observation.images.top/chunk-000/file-001.mp4,True,377.84413533988106,313.0310255377832,2216.75,0.9306607744107744,0.8148148148148148,4,
43,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test2/videos/observation.images.top/chunk-000/file-001.mp4,True,469.08515731920244,309.3087237797438,2403.25,0.8853276222058462,0.7731638418079096,4,
