trial,seq_pos,is_decision_step,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,predicted_action_eef_z
0,0,False,-11.08591079711914,87.81014251708984,4.076686859130859,-88.3463134765625,-5.0036749839782715,58.66926956176758,0.2501329010447902
0,1,True,-11.313088417053223,84.69804382324219,1.648996353149414,-89.45996856689453,-5.101892471313477,60.45646286010742,0.25171461698569064
1,0,False,-11.08591079711914,87.81014251708984,4.076686859130859,-88.3463134765625,-5.0036749839782715,58.66926956176758,0.2501329010447902
1,1,True,-11.313088417053223,84.69804382324219,1.648996353149414,-89.45996856689453,-5.101892471313477,60.45646286010742,0.25171461698569064
2,0,False,-11.08591079711914,87.81014251708984,4.076686859130859,-88.3463134765625,-5.0036749839782715,58.66926956176758,0.2501329010447902
2,1,True,-11.313088417053223,84.69804382324219,1.648996353149414,-89.45996856689453,-5.101892471313477,60.45646286010742,0.25171461698569064
3,0,False,-11.08591079711914,87.81014251708984,4.076686859130859,-88.3463134765625,-5.0036749839782715,58.66926956176758,0.2501329010447902
3,1,True,-11.313088417053223,84.69804382324219,1.648996353149414,-89.45996856689453,-5.101892471313477,60.45646286010742,0.25171461698569064
4,0,False,-11.08591079711914,87.81014251708984,4.076686859130859,-88.3463134765625,-5.0036749839782715,58.66926956176758,0.2501329010447902
4,1,True,-11.313088417053223,84.69804382324219,1.648996353149414,-89.45996856689453,-5.101892471313477,60.45646286010742,0.25171461698569064
5,0,False,-11.08591079711914,87.81014251708984,4.076686859130859,-88.3463134765625,-5.0036749839782715,58.66926956176758,0.2501329010447902
5,1,True,-11.313088417053223,84.69804382324219,1.648996353149414,-89.45996856689453,-5.101892471313477,60.45646286010742,0.25171461698569064
6,0,False,-11.08591079711914,87.81014251708984,4.076686859130859,-88.3463134765625,-5.0036749839782715,58.66926956176758,0.2501329010447902
6,1,True,-11.313088417053223,84.69804382324219,1.648996353149414,-89.45996856689453,-5.101892471313477,60.45646286010742,0.25171461698569064
7,0,False,-11.08591079711914,87.81014251708984,4.076686859130859,-88.3463134765625,-5.0036749839782715,58.66926956176758,0.2501329010447902
7,1,True,-11.313088417053223,84.69804382324219,1.648996353149414,-89.45996856689453,-5.101892471313477,60.45646286010742,0.25171461698569064
8,0,False,-11.08591079711914,87.81014251708984,4.076686859130859,-88.3463134765625,-5.0036749839782715,58.66926956176758,0.2501329010447902
8,1,True,-11.313088417053223,84.69804382324219,1.648996353149414,-89.45996856689453,-5.101892471313477,60.45646286010742,0.25171461698569064
9,0,False,-11.08591079711914,87.81014251708984,4.076686859130859,-88.3463134765625,-5.0036749839782715,58.66926956176758,0.2501329010447902
9,1,True,-11.313088417053223,84.69804382324219,1.648996353149414,-89.45996856689453,-5.101892471313477,60.45646286010742,0.25171461698569064
