abs_diff,cohens_d,diff_ci95_hi,diff_ci95_lo,label_a,label_b,mean_a,mean_b,metric,n_a,n_b,ratio
0.7920583997814856,0.45916964667718774,2.2509628373840926,-0.5462569385769117,baseline,high,3.8604416434400917,4.652500043221577,action_endpoint_delta,10,10,1.2051730011450041
15.971849749573494,0.06629286626710189,209.3546579764568,-176.7792778197405,baseline,high,465.5974829874043,481.5693327369778,action_max_speed,10,10,1.0343039864536006
-17.57726362777953,-0.2989680828353732,30.798974793477324,-66.56189715028844,baseline,high,649.5182923397464,631.9410287119669,action_mean_jerk,10,10,0.9729380006155166
-4.313770358385057,-2.121202036944851,-2.6897604934910366,-6.012099099600087,baseline,high,54.932144589385985,50.61837423100093,action_mean_speed,10,10,0.9214709276354509
-59.64146080297064,-0.2620948259012736,123.04288809120143,-251.60117194998037,baseline,high,2021.1828363881705,1961.5413755851998,action_p95_jerk,10,10,0.9704918032505886
-6.666498198839861,-0.4753206967160896,5.202963140955221,-18.50118156057458,baseline,high,127.1945514064519,120.52805320761203,action_p95_speed,10,10,0.9475881779164199
59.72472128569245,2.692493187609038,79.05222388624765,41.75180499236598,baseline,high,437.2272115314677,496.9519328171601,action_path_len,10,10,1.1365988202681387
1.2316684743306983,0.1974404673579067,6.341695822754272,-3.6088129185932583,baseline,high,10.91670466258286,12.148373136913559,action_speed_spikiness,10,10,1.1128242002757494
1.8599999427795408,4.884599277048346,2.186666585206986,1.5599998474121097,baseline,high,7.963333320617676,9.823333263397217,duration_s,10,10,1.2335705244973427
0.0006848982106359045,0.2760467703547041,0.002856588659549699,-0.0013374467200253134,baseline,high,0.0015165710881506424,0.002201469298786547,eef_displacement_final,10,10,1.4516067198695501
0.01824792172856067,1.7953464605305929,0.027021653041955654,0.009685499585798445,baseline,high,0.10503558559152493,0.1232835073200856,eef_displacement_max,10,10,1.1737308350164013
0.005126605999219561,0.6950002724904607,0.011096165740593765,-0.0011876173242071225,baseline,high,0.06552120661464182,0.07064781261386138,eef_displacement_mean,10,10,1.0782434494367117
0.0,nan,0.0,0.0,baseline,high,0.0,0.0,eef_displacement_min,10,10,1.0
0.01824792172856067,1.7953464605305929,0.027021653041955654,0.009685499585798445,baseline,high,0.10503558559152493,0.1232835073200856,eef_displacement_range,10,10,1.1737308350164013
0.00010523937161950603,0.10632300867757113,0.001019067193292409,-0.0006706735971372581,baseline,high,0.12013583075822329,0.1202410701298428,eef_height_final,10,10,1.0008760031224262
0.020127380080664226,2.9518655011643897,0.02572483337970038,0.014490798158936318,baseline,high,0.21298055041096267,0.2331079304916269,eef_height_max,10,10,1.0945033670764452
0.0070942594761790045,1.86499394267979,0.01019011018269458,0.0038786888798146013,baseline,high,0.16645008069724831,0.17354434017342732,eef_height_mean,10,10,1.0426209408866143
-0.0006097977085383899,-1.9891514786227185,-0.00037693848392198983,-0.0008807408813400953,baseline,high,0.11932786976618134,0.11871807205764295,eef_height_min,10,10,0.9948897297954739
