action_endpoint_delta,action_max_speed,action_mean_jerk,action_mean_speed,action_p95_jerk,action_p95_speed,action_path_len,action_speed_spikiness,duration_s,eef_displacement_final,eef_displacement_max,eef_displacement_mean,eef_displacement_min,eef_displacement_range,eef_height_final,eef_height_max,eef_height_mean,eef_height_min,eef_height_range,eef_pos_endpoint_delta,eef_pos_max_speed,eef_pos_mean_jerk,eef_pos_mean_speed,eef_pos_p95_jerk,eef_pos_p95_speed,eef_pos_path_len,eef_pos_speed_spikiness,episode_index,num_frames,state_endpoint_delta,state_max_speed,state_mean_jerk,state_mean_speed,state_p95_jerk,state_p95_speed,state_path_len,state_speed_spikiness
9.170520443242351,765.1352001166863,733.719617823346,53.19706755648983,2216.6845645918943,130.5522537836758,507.14525540647605,19.176023021126824,9.533333778381348,0.00957620431328707,0.12880960359183377,0.07799441935476609,0.0,0.12880960359183377,0.12081825526515015,0.23620394755670204,0.18070371962510862,0.11889079984496663,0.11731314771173541,0.00957620431328707,0.40549044532938877,0.5606909642998815,0.07073910219742809,1.2604806592648254,0.1628623511599445,0.6743795701343052,6.955551076351191,0,287,9.488784685805875,255.764786268012,323.6636209977645,39.82465220933697,1126.6968211992391,115.29461475708645,379.6617360419101,7.821794114416364
2.574549882822346,362.9407562334135,637.315835228077,49.91362892008715,1930.640262040675,127.2843839376819,499.1363460530995,9.76079441988328,10.0,0.0002965387377759902,0.1209004655235054,0.07789993771148042,0.0,0.1209004655235054,0.1191026864381882,0.2364315619085059,0.17776306646423534,0.11883721048709286,0.11759435142141303,0.0002965387377759902,0.3056281186820795,0.46653763653882885,0.06250035234858138,1.3065327168029828,0.15156523314187317,0.6250036152548155,6.219996022378672,1,301,2.459640204677652,170.13011487526478,254.59493048854347,36.744183799367235,690.2346604110127,101.66005872770252,367.44189230516605,5.422437469685996
4.272111831778047,353.47342901570636,603.622535261285,50.53535851748065,2006.4834199409095,111.58544749968084,490.19291066296944,8.11537855501131,9.699999809265137,0.0004796925487021994,0.12741806834328862,0.0742115522771277,0.0,0.12741806834328862,0.11883354207624042,0.2352906913157519,0.17585459439020112,0.11854123178447931,0.11674945953127258,0.0004796925487021994,0.28846927805184974,0.4812236556368025,0.06433988729052012,1.2757588435472489,0.15551244767749386,0.6240968949818313,5.303143598057456,2,292,3.7493399921880637,140.86601259308247,246.5178169494305,37.38372816706913,736.0197165800614,89.53253191518844,362.6221785924292,3.973921652395008
4.949201784690109,332.6722332292515,586.7377792530556,47.911440928470334,1807.0771685812358,108.66050719098267,467.9350291098309,8.631709775688416,9.766666412353516,0.0015138528973592993,0.10860991810430108,0.05557497201220065,0.0,0.10860991810430108,0.11992643374265612,0.21930547315879068,0.16428970915572907,0.11839224525539321,0.10091322790339746,0.0015138528973592993,0.486368289304584,0.4537244390745428,0.052490401141559645,1.1595501994497257,0.15115171370198416,0.5126562472416594,12.994675866898204,3,294,3.073400843205159,156.6989976363945,235.74743199470652,32.33926589691713,768.1782095534572,85.64276657431105,315.84685987641575,5.4104551463868376
2.5827617654858175,336.5204036266538,575.2793762923965,51.50088718074367,2087.840537473738,135.96306295442332,551.0594361130463,8.443461197413207,10.699999809265137,0.0007559028559053639,0.12865843194816173,0.0773896506843697,0.0,0.12865843194816173,0.1196379087995801,0.24251968423821957,0.17435637415042604,0.11863474333666245,0.12388494090155712,0.0007559028559053639,0.6036997430303629,0.5618722529074193,0.06667322604893357,1.4011416117675786,0.19099900745420942,0.7134035766454833,11.599840620410154,4,322,1.1772493987772166,217.55618603766052,259.7351220076404,37.06975037167418,706.080693916101,108.52894792518163,396.6463624059238,7.855475507031529
4.360475675407876,754.0088933710034,694.9064886103597,50.80471339723067,1781.0486350200326,103.98608408098804,508.0470499317422,17.24924275912043,10.0,0.0011271907291278236,0.1179331916374823,0.061974082804583754,0.0,0.1179331916374823,0.12042861751003615,0.22604420066449415,0.16892513728353564,0.11864790517786934,0.10739629548662481,0.0011271907291278236,0.19949745654467876,0.3942840088188041,0.055169826529000036,1.2258694797245349,0.1449820435027911,0.5516983328581604,4.761486684444674,5,301,2.2200204861140147,174.45808435431172,230.53179361245603,33.74772988053998,829.6447085897537,81.48880215353957,337.47734725501124,5.528381255143847
3.5762421727699687,261.7310622277177,528.476208966584,51.9067806709861,1958.9872186795792,110.82791380124024,487.92364590664715,6.136015941085278,9.399999618530273,0.0014400352809987647,0.11798078655196816,0.06731188921549844,0.0,0.11798078655196816,0.12046528997308152,0.2271839741783035,0.17182197788791584,0.11847819897082487,0.10870577520747862,0.0014400352809987647,0.3914781312528214,0.4985037598877897,0.0608867296191867,1.4419408596294414,0.16608492300559485,0.5723352423768623,7.949667145182766,6,283,1.8922254230642155,156.73771670902855,245.58808853317095,37.04688092367503,779.6132367624781,86.77807577428167,348.2407039767107,4.989835749218047
5.788017302407221,329.3745991105522,595.0787834547541,49.58756826061159,1969.587719874726,129.1087944005068,495.87547338978067,8.615912911222274,10.0,0.004382183596685836,0.1305848053466441,0.07792322114015605,0.0,0.1305848053466441,0.1230959202291454,0.24015037195449473,0.17427183111366326,0.1188826322132347,0.12126773974126004,0.004382183596685836,0.5202041814996855,0.5023924433499194,0.06395451426502503,1.437355148295045,0.17100728396666512,0.639545090876139,11.14778398768307,7,301,3.9105430205954237,183.29836648804283,245.5984827007738,36.850466707260594,690.7614228085447,95.17613138889811,368.50468957336886,5.858325584392542
2.4588396007004873,322.8146749610458,649.1927381562037,54.35835017723884,1911.4697991422943,146.9395744780089,503.720550036707,7.444991883568765,9.266666412353516,0.0015852286468204897,0.1358343840569534,0.07540549719460277,0.0,0.1358343840569534,0.12028699267519281,0.24478440088502976,0.17793828618458526,0.11888263221323467,0.1259017686717951,0.0015852286468204897,0.3375351019575879,0.48615109806732953,0.07296441324070653,1.428550288101741,0.1815056482332648,0.6761369224787976,5.650630985733632,8,279,2.2138826396758575,271.30923456637856,313.82170211575203,40.34984714742564,769.7293356181374,120.24575635285562,373.9086245847202,7.739717539639515
6.792279972911556,997.0220754777479,715.0809240736065,46.46794670067041,1945.5944305069122,100.37250994893208,458.48363156130205,27.910200905015813,9.866666793823242,0.0008578633812026322,0.11610541809671732,0.06079290374382827,0.0,0.11610541809671732,0.11981505458915714,0.22316499905597664,0.16951870547887296,0.11899312129267156,0.10417187776330508,0.0008578633812026322,0.19369504113670824,0.4545063055735805,0.05213960410552493,1.4612200002144646,0.1263017146678193,0.5144441545910043,4.356301490708542,9,297,3.879113792282357,163.60115393005165,273.10491662268356,32.132159165228884,893.2844568345802,78.46111195018128,317.03732751386326,5.994431382187507
