joint_idx,joint_name,a,b,rmse,corr,obs_std,note
0,shoulder_pan,0.9873363409652962,0.022223984369967448,0.4894241920031402,0.9986972054169788,9.591222319805372,fit
1,shoulder_lift,0.9900960422504625,-1.3012132854822234,1.3090638935645231,0.9976843579328621,19.2469400928793,fit
2,elbow_flex,0.9069639982750345,3.5708559336388435,2.169594945263619,0.9925370870013032,17.79185637964407,fit
3,wrist_flex,0.0,100.0,0.0,,0.0,obs_constant
4,wrist_roll,0.9689405613156203,-0.42923913174129347,0.3920205395182619,0.9985060696854658,7.174488044943864,fit
5,gripper,0.5945198961130443,17.93993484122852,2.123768767094364,0.9854992158979977,12.516319088242106,fit
