auto_region_id,auto_region_idx,num_episodes,episode_ids,center_cx,center_cy,cx_mean,cy_mean,cx_std,cy_std,eef_z_max_mean,eef_z_max_std,eef_z_max_min,eef_z_max_max,eef_z_max_range,eef_z_max_iqr,prelift_wrist_mean,prelift_wrist_std,prelift_wrist_iqr,prelift_wrist_range,prelift_elbow_mean,prelift_elbow_std,prelift_elbow_iqr,prelift_elbow_range,prelift_gripper_mean,prelift_gripper_std,num_high,num_low,num_mid,num_unknown_label,matched_pairs,high_low_balance_ratio,high_low_imbalance,missing_high_low_pair_flag,high_eef_z_max_mean,low_eef_z_max_mean,high_eef_z_max_std,low_eef_z_max_std,high_minus_low_eef_gap,high_episode_ids,low_episode_ids
region_00,0,20,"40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59",344.78232640576476,226.26314872820257,344.78232640576476,226.26314872820257,22.47470749708672,11.94823068048387,0.13023832840435068,0.05961868802714894,0.06371217606315799,0.2031012528224713,0.1393890767593133,0.11629614681812458,-91.05517487959429,7.659669544320819,12.376888448541806,26.448944091796875,-53.90614028410478,11.12767658761273,10.035829717462711,42.65842351046474,3.672120411829515,0.1337152878930346,10,10,0,0,10,1.0,0.0,0,0.1895152220172315,0.07096143479146987,0.007929379845096122,0.00428959516080773,0.11855378722576164,"40,41,42,43,44,45,46,47,48,49","50,51,52,53,54,55,56,57,58,59"
region_01,1,20,"60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79",345.8944471126909,303.70479968402435,345.89444711269095,303.70479968402435,21.13295716891389,12.057941989017188,0.12585689566504799,0.05917442572674704,0.06133045690753924,0.2071150662334177,0.14578460932587844,0.11749257994249424,-81.3953061537309,10.768702959478063,15.703144073486328,38.41394389759411,-31.019390259683128,18.968173429695813,35.75944913517345,56.05592266808857,5.19232843355699,6.786686730604788,10,10,0,0,10,1.0,0.0,0,0.1844443432452538,0.06726944808484213,0.011203417441663142,0.0035680148376521998,0.11717489516041167,"60,61,62,63,64,65,66,67,68,69","70,71,72,73,74,75,76,77,78,79"
region_02,2,20,"80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",413.52837532352714,272.1005263417114,413.52837532352714,272.1005263417114,19.69696360412004,17.06531131674616,0.1240168575025425,0.057053789829804705,0.059646858781259936,0.19594456087427908,0.13629770209301914,0.11652334511585327,-85.82360028353604,11.775780838368844,19.538314125754624,34.47442904385653,-42.44414785341783,14.398516128507252,9.66875102303245,56.06294809688222,6.898905549266121,8.077279796188792,10,10,0,0,10,1.0,0.0,0,0.18041933449386013,0.06761438051122488,0.011436277209228206,0.0041234221186427795,0.11280495398263525,"80,81,82,83,84,85,86,87,88,89","90,91,92,93,94,95,96,97,98,99"
region_03,3,20,"20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39",492.3529097452807,227.85319996428876,492.3529097452807,227.8531999642887,18.453666684101375,11.05929764403307,0.1356223325421464,0.05967296370910058,0.06974462673005738,0.2123663352825157,0.14262170855245832,0.11877920493420203,-87.84388403459029,8.793739757272464,12.935233376242905,26.32446150346236,-51.61058047034523,12.48673523400954,14.681396397677332,39.904454144564546,3.8086465727199212,0.44186026648501775,10,10,0,0,10,1.0,0.0,0,0.19483509855578238,0.07640956652851039,0.008794550612142363,0.0056637229111707425,0.11842553202727199,"20,21,22,23,24,25,26,27,28,29","30,31,32,33,34,35,36,37,38,39"
region_04,4,20,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",495.8978845282013,308.02278047408987,495.8978845282013,308.02278047408987,16.804706993702215,10.21039217030322,0.12671240988525836,0.05493826671090064,0.06674028879619817,0.2078567643728234,0.14111647557662524,0.10603986565909998,-80.91568104137073,12.218734582364368,22.525902661410242,33.361402338201344,-33.335323890772735,18.86558120530124,39.2317689332095,52.23408751054244,8.522591724179009,8.805344858122465,10,10,0,0,10,1.0,0.0,0,0.18102071752931295,0.07240410224120376,0.011315302656261057,0.0030993008680612376,0.10861661528810919,"0,1,2,3,4,5,6,7,8,9","10,11,12,13,14,15,16,17,18,19"
