episode_idx,auto_region_id,flag,metric,value,robust_z,eef_z_max,prelift_wrist,prelift_elbow,peak_episode_step
54,region_00,ELBOW_OUTLIER,action.elbow_flex.pos.mean,-25.62877620350231,4.635545194465168,0.06495968091320953,-76.41416098854758,-25.62877620350231,169
58,region_00,ELBOW_OUTLIER,action.elbow_flex.pos.mean,-21.455669576471504,5.285955925158914,0.07144767496318548,-73.44853973388672,-21.455669576471504,157
77,region_01,PEAK_TIMING_OUTLIER,peak_episode_step,123.0,-2.903282608695652,0.0657347306928105,-60.897740450772375,-6.231558236208829,123
95,region_02,ELBOW_OUTLIER,action.elbow_flex.pos.mean,-13.081354488026012,4.5012161722170205,0.07355476749517445,-69.09896295720881,-13.081354488026012,136
96,region_02,ELBOW_OUTLIER,action.elbow_flex.pos.mean,-7.545314051888206,5.2430248807979165,0.06846070206216345,-65.52557095614347,-7.545314051888206,123
96,region_02,PEAK_TIMING_OUTLIER,peak_episode_step,123.0,-3.0871346153846155,0.06846070206216345,-65.52557095614347,-7.545314051888206,123
98,region_02,ELBOW_OUTLIER,action.elbow_flex.pos.mean,-17.85162284157493,3.862018058014093,0.06508238234545036,-68.2129398692738,-17.85162284157493,130
98,region_02,PEAK_TIMING_OUTLIER,peak_episode_step,130.0,-2.7239423076923077,0.06508238234545036,-68.2129398692738,-17.85162284157493,130
30,region_03,ELBOW_OUTLIER,action.elbow_flex.pos.mean,-28.28438984264027,2.826337204217804,0.0801806904519097,-74.89107860218395,-28.28438984264027,193
37,region_03,ELBOW_OUTLIER,action.elbow_flex.pos.mean,-28.256287834861062,2.8292539899451636,0.08760733201736504,-77.05854311856356,-28.256287834861062,158
