episode_idx,predicted_eef_z_cm,actual_eef_z_cm,error_cm
0,13.95159784041975,13.60536014065512,0.3462376997646288
1,14.11308672117562,13.71818237875255,0.3949043424230698
2,13.94192288871996,13.664707428035461,0.27721546068449854
3,14.017230731469521,13.87952791209047,0.13770281937905082
4,13.425523685397,13.00316770782796,0.4223559775690404
5,12.99636807947172,12.91471987113923,0.08164820833249031
6,13.7227918875754,13.539959103470538,0.18283278410486226
7,12.62381000748572,13.113065995642458,-0.48925598815673865
8,13.43768782576665,13.08183312408795,0.3558547016786999
9,13.88162319194807,13.480515426178249,0.40110776576982055
