episode_idx,candidate_online_chunk,num_compared_steps,raw_action_rmse,mapped_action_rmse,pred_mapped_fk_z_max,sent_mapped_fk_z_max,pred_minus_sent_mapped_fk_z_max,abs_pred_minus_sent_mapped_fk_z_max
0,0,50,18.385477626122054,14.30669435052187,0.15451466638107403,0.04606294482116402,0.10845172155991001,0.10845172155991001
0,1,50,19.753774024708015,14.041658417358281,0.15451466638107403,0.12418261115546247,0.030332055225611554,0.030332055225611554
0,2,50,18.189412205849447,11.533522619809286,0.15451466638107403,0.13951597840419752,0.014998687976876507,0.014998687976876507
0,3,50,15.307423205875965,12.742494236464927,0.15451466638107403,0.07905667535437372,0.07545799102670031,0.07545799102670031
0,4,39,24.57901700454037,21.142372088490895,0.15451466638107403,0.07272462156142391,0.08179004481965012,0.08179004481965012
1,0,50,21.877189809534705,18.487369653744345,0.15557323900240722,0.04928654291679013,0.10628669608561708,0.10628669608561708
1,1,50,21.906855183097278,17.646532319286628,0.15557323900240722,0.11714613566041385,0.03842710334199337,0.03842710334199337
1,2,50,19.774465935976746,15.824864789333768,0.15557323900240722,0.14113086721175622,0.014442371790650999,0.014442371790650999
1,3,50,21.127618812229937,18.999819867057152,0.15557323900240722,0.07967050553237533,0.07590273347003189,0.07590273347003189
1,4,38,21.007113723147317,17.389140584907963,0.15557323900240722,0.0704500210719547,0.08512321793045252,0.08512321793045252
2,0,50,21.635404286018126,18.196271321475347,0.15567030622739741,0.048536244406453585,0.10713406182094383,0.10713406182094383
2,1,50,21.77232548330464,18.05052834582481,0.15567030622739741,0.12580453332335614,0.02986577290404127,0.02986577290404127
2,2,50,19.962567289776263,16.29175054566752,0.15567030622739741,0.1394192288871996,0.016251077340197817,0.016251077340197817
2,3,50,21.94703039202293,19.855813295246673,0.15567030622739741,0.07737166223460179,0.07829864399279562,0.07829864399279562
2,4,39,18.53460098576586,14.69628499837316,0.15567030622739741,0.07213919482307013,0.08353111140432729,0.08353111140432729
3,0,50,25.109730958071545,22.07923633748472,0.14162260695247578,0.04778330525704654,0.09383930169542923,0.09383930169542923
3,1,50,24.72595500785802,21.21966975079704,0.14162260695247578,0.1214458512580417,0.02017675569443407,0.02017675569443407
3,2,50,24.224335255486086,20.741330305966738,0.14162260695247578,0.14017230731469524,0.0014502996377805388,0.0014502996377805388
3,3,50,27.57878314754963,25.515770386606892,0.14162260695247578,0.08282858806480525,0.058794018887670524,0.058794018887670524
3,4,50,14.573141850159184,10.135728414743085,0.14162260695247578,0.0817167671725306,0.05990583977994518,0.05990583977994518
3,5,1,33.51230442827619,29.302392188379947,0.14162260695247578,0.017127619660704765,0.12449498729177101,0.12449498729177101
4,0,50,21.495155154079708,18.164035099154273,0.1336306050380921,0.05246206747735233,0.08116853756073977,0.08116853756073977
4,1,50,21.237106384330946,17.08817022849833,0.1336306050380921,0.11340461417050043,0.020225990867591664,0.020225990867591664
4,2,50,19.721854331386773,15.850958317609969,0.1336306050380921,0.13425523685397,-0.0006246318158779074,0.0006246318158779074
4,3,50,22.363572048328418,20.343194627519637,0.1336306050380921,0.07932011226117183,0.054310492776920266,0.054310492776920266
4,4,39,17.22727936447694,13.32065229648458,0.1336306050380921,0.07547719233911754,0.05815341269897456,0.05815341269897456
5,0,50,19.75069500270043,15.155985891180393,0.17322173676240954,0.04878926699184207,0.12443246977056746,0.12443246977056746
5,1,50,20.986229123858685,15.560905392483642,0.17322173676240954,0.12728885229183037,0.045932884470579166,0.045932884470579166
5,2,50,19.108521206105234,13.542025233074597,0.17322173676240954,0.12996368079471726,0.04325805596769228,0.04325805596769228
5,3,50,18.049033205696666,15.700893349577985,0.17322173676240954,0.07285901865104502,0.10036271811136452,0.10036271811136452
5,4,35,26.43381028128927,22.704267018394724,0.17322173676240954,0.05540919367294659,0.11781254308946296,0.11781254308946296
6,0,50,19.85784093201144,16.06716599107549,0.13780250733033764,0.051637683141893216,0.08616482418844443,0.08616482418844443
6,1,50,20.301251324880564,15.30970109207673,0.13780250733033764,0.1200908626997165,0.017711644630621137,0.017711644630621137
6,2,50,19.47115932593074,15.505421330482182,0.13780250733033764,0.13722791887575406,0.00057458845458358,0.00057458845458358
6,3,50,21.20536842681214,19.12489684546886,0.13780250733033764,0.07992135814312695,0.057881149187210684,0.057881149187210684
6,4,35,19.402724110771164,15.641117977092895,0.13780250733033764,0.06860047281133888,0.06920203451899876,0.06920203451899876
7,0,50,19.657734849351044,15.020413732920366,0.17278251078020104,0.0488862406032688,0.12389627017693225,0.12389627017693225
7,1,50,21.68001691261909,15.935415862076471,0.17278251078020104,0.1262381000748572,0.04654441070534385,0.04654441070534385
7,2,50,16.73920779104934,12.597679315937725,0.17278251078020104,0.12061785091149763,0.05216465986870342,0.05216465986870342
7,3,50,16.17651164125075,13.918550825090756,0.17278251078020104,0.07673923064165403,0.09604328013854702,0.09604328013854702
7,4,31,31.563599197315213,27.68632157509241,0.17278251078020104,0.04864251877307705,0.124139992007124,0.124139992007124
8,0,50,24.791904961903008,21.70778877365545,0.1433262173180413,0.04927594035647138,0.09405027696156992,0.09405027696156992
8,1,50,23.558742562892146,19.97622480837267,0.1433262173180413,0.12178277108776749,0.021543446230273808,0.021543446230273808
8,2,50,23.27881133760852,20.76601883741013,0.1433262173180413,0.13437687825766656,0.008949339060374734,0.008949339060374734
8,3,50,24.57864844467898,22.079998037795676,0.1433262173180413,0.0762516162167821,0.06707460110125919,0.06707460110125919
8,4,32,21.797796889285085,17.907107877586782,0.1433262173180413,0.05338583646235545,0.08994038085568584,0.08994038085568584
9,0,50,19.417859248758084,15.860064108434626,0.1334138224509278,0.051371734874004066,0.08204208757692374,0.08204208757692374
9,1,50,19.495247736315346,14.601061392931841,0.1334138224509278,0.11729035784389102,0.016123464607036786,0.016123464607036786
9,2,50,18.62551248470026,14.658779177141735,0.1334138224509278,0.1388162319194807,-0.005402409468552888,0.005402409468552888
9,3,50,18.760994834868413,16.511224977246066,0.1334138224509278,0.0769121012744263,0.05650172117650151,0.05650172117650151
9,4,34,21.36672064402511,17.78235146766161,0.1334138224509278,0.06542822943112787,0.06798559301979994,0.06798559301979994
