action_key,mean,std,min,max,range,max_abs_deviation_from_mean
action_values.0,-14.75788688659668,0.0,-14.75788688659668,-14.75788688659668,0.0,0.0
action_values.1,82.18299865722656,0.0,82.18299865722656,82.18299865722656,0.0,0.0
action_values.2,-3.356821060180664,0.0,-3.356821060180664,-3.356821060180664,0.0,0.0
action_values.3,-90.30905151367188,0.0,-90.30905151367188,-90.30905151367188,0.0,0.0
action_values.4,-6.926100730895996,0.0,-6.926100730895996,-6.926100730895996,0.0,0.0
action_values.5,65.01207733154297,0.0,65.01207733154297,65.01207733154297,0.0,0.0
