trial,is_decision_step,episode_idx,seq_pos,chunk_idx,source_path,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,task,lift_eef_z,predicted_action_eef_z,mapped_obs_values.0,mapped_obs_values.1,mapped_obs_values.2,mapped_obs_values.3,mapped_obs_values.4,mapped_obs_values.5
0,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,Put the red cube in the box.,0.09097638895443269,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
1,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,Put the red cube in the box.,0.09097638895443269,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
2,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,Put the red cube in the box.,0.09097638895443269,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
3,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,Put the red cube in the box.,0.09097638895443269,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
4,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,Put the red cube in the box.,0.09097638895443269,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
5,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,Put the red cube in the box.,0.09097638895443269,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
6,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,Put the red cube in the box.,0.09097638895443269,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
7,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,Put the red cube in the box.,0.09097638895443269,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
8,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,Put the red cube in the box.,0.09097638895443269,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
9,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,Put the red cube in the box.,0.09097638895443269,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
0,True,1,2,2,debug_runs/20260529_112158_high/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-14.476903915405273,82.98143768310547,2.1396102905273438,-92.06217956542969,-6.928495407104492,61.77995300292969,Put the red cube in the box.,0.10474202537730397,0.023223526873589265,-14.278484597683637,80.75204217002118,5.622309161693611,100.0,-7.033791325218809,53.96411803026912
1,True,1,2,2,debug_runs/20260529_112158_high/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-14.476903915405273,82.98143768310547,2.1396102905273438,-92.06217956542969,-6.928495407104492,61.77995300292969,Put the red cube in the box.,0.10474202537730397,0.023223526873589265,-14.278484597683637,80.75204217002118,5.622309161693611,100.0,-7.033791325218809,53.96411803026912
2,True,1,2,2,debug_runs/20260529_112158_high/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-14.476903915405273,82.98143768310547,2.1396102905273438,-92.06217956542969,-6.928495407104492,61.77995300292969,Put the red cube in the box.,0.10474202537730397,0.023223526873589265,-14.278484597683637,80.75204217002118,5.622309161693611,100.0,-7.033791325218809,53.96411803026912
3,True,1,2,2,debug_runs/20260529_112158_high/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-14.476903915405273,82.98143768310547,2.1396102905273438,-92.06217956542969,-6.928495407104492,61.77995300292969,Put the red cube in the box.,0.10474202537730397,0.023223526873589265,-14.278484597683637,80.75204217002118,5.622309161693611,100.0,-7.033791325218809,53.96411803026912
4,True,1,2,2,debug_runs/20260529_112158_high/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-14.476903915405273,82.98143768310547,2.1396102905273438,-92.06217956542969,-6.928495407104492,61.77995300292969,Put the red cube in the box.,0.10474202537730397,0.023223526873589265,-14.278484597683637,80.75204217002118,5.622309161693611,100.0,-7.033791325218809,53.96411803026912
5,True,1,2,2,debug_runs/20260529_112158_high/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-14.476903915405273,82.98143768310547,2.1396102905273438,-92.06217956542969,-6.928495407104492,61.77995300292969,Put the red cube in the box.,0.10474202537730397,0.023223526873589265,-14.278484597683637,80.75204217002118,5.622309161693611,100.0,-7.033791325218809,53.96411803026912
6,True,1,2,2,debug_runs/20260529_112158_high/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-14.476903915405273,82.98143768310547,2.1396102905273438,-92.06217956542969,-6.928495407104492,61.77995300292969,Put the red cube in the box.,0.10474202537730397,0.023223526873589265,-14.278484597683637,80.75204217002118,5.622309161693611,100.0,-7.033791325218809,53.96411803026912
7,True,1,2,2,debug_runs/20260529_112158_high/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-14.476903915405273,82.98143768310547,2.1396102905273438,-92.06217956542969,-6.928495407104492,61.77995300292969,Put the red cube in the box.,0.10474202537730397,0.023223526873589265,-14.278484597683637,80.75204217002118,5.622309161693611,100.0,-7.033791325218809,53.96411803026912
8,True,1,2,2,debug_runs/20260529_112158_high/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-14.476903915405273,82.98143768310547,2.1396102905273438,-92.06217956542969,-6.928495407104492,61.77995300292969,Put the red cube in the box.,0.10474202537730397,0.023223526873589265,-14.278484597683637,80.75204217002118,5.622309161693611,100.0,-7.033791325218809,53.96411803026912
9,True,1,2,2,debug_runs/20260529_112158_high/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-14.476903915405273,82.98143768310547,2.1396102905273438,-92.06217956542969,-6.928495407104492,61.77995300292969,Put the red cube in the box.,0.10474202537730397,0.023223526873589265,-14.278484597683637,80.75204217002118,5.622309161693611,100.0,-7.033791325218809,53.96411803026912
0,True,2,2,2,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_2_002_observation_frame.pt,-14.813578605651855,82.63246154785156,1.8133296966552734,-91.82571411132812,-7.0660858154296875,66.30165100097656,Put the red cube in the box.,0.10457579273633269,0.02344193156333066,-14.610893249948264,80.40802770652573,5.323302347576053,100.0,-7.165601411680417,56.590431813295936
