trial,is_decision_step,episode_idx,seq_pos,chunk_idx,source_path,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,predicted_action_eef_z,mapped_obs_values.0,mapped_obs_values.1,mapped_obs_values.2,mapped_obs_values.3,mapped_obs_values.4,mapped_obs_values.5
0,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
1,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
2,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
3,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
4,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
5,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
6,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
7,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
8,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
9,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
10,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
11,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
12,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
13,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
14,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
15,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
16,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
17,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
18,True,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
