trial,chunk_action_step,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,predicted_action_eef_z,mapped_obs_values.0,mapped_obs_values.1,mapped_obs_values.2,mapped_obs_values.3,mapped_obs_values.4,mapped_obs_values.5
0,0,-7.055764198303223,74.62063598632812,-4.568291664123535,-91.7779312133789,-3.9392623901367188,63.44166946411133,0.026451607027757076,-6.951378868937993,72.51011265235935,-0.52487957874219,100.0,-4.170139220275773,54.92928395850426
0,1,-6.661430358886719,70.61180114746094,-6.634749412536621,-92.9500961303711,-4.026302814483643,65.19182586669922,0.025905641256468534,-6.562041672231069,68.5582746123989,-2.418602219518679,100.0,-4.253522982257983,55.94581798721529
0,2,-7.184022903442383,68.05940246582031,-9.910857200622559,-92.29324340820312,-4.332644462585449,69.11323547363281,0.028859732555354525,-7.07801239545966,66.04216541641551,-5.4208603090861285,100.0,-4.546994886401585,58.223469458859796
0,3,-7.197305679321289,65.42121887207031,-13.84951400756836,-91.72234344482422,-4.2176923751831055,68.75934600830078,0.03299801746157369,-7.091126863984177,63.441490980766545,-9.030284975663292,100.0,-4.436872060516557,58.017921724165674
0,4,-7.307555198669434,60.70742416381836,-18.737621307373047,-91.78427124023438,-4.1693620681762695,70.3049545288086,0.03658878304112684,-7.1999794008722295,58.794716047554715,-13.509795612303972,100.0,-4.39057216197835,58.91564929516372
0,5,-6.30288028717041,57.42564392089844,-26.64875602722168,-91.15345764160156,-3.5148401260375977,74.22933959960938,0.04826558506901147,-6.2080348235983065,55.55959548907684,-20.759638946732274,100.0,-3.7635473945220834,61.19502898965031
0,6,-6.121374130249023,57.17129135131836,-29.028095245361328,-91.2972183227539,-3.9151318073272705,79.7191162109375,0.05300855898106565,-6.028828548972253,55.30885925263157,-22.940089309648556,100.0,-4.147022389348396,64.38362672136459
0,7,-5.432503700256348,55.56272888183594,-30.17526626586914,-92.66204071044922,-3.9908852577209473,79.0341796875,0.05325612253046641,-5.3486868636821905,53.72316699738524,-23.991368357597448,100.0,-4.219593355360474,63.985798685794904
0,8,-4.589650630950928,55.18778991699219,-30.310091018676758,-93.16921997070312,-4.002068519592285,78.11146545410156,0.05302251373595733,-4.516513668186797,53.35355883853387,-24.114923115552187,100.0,-4.230306796305427,63.449863488438496
0,9,-4.259617328643799,53.77410888671875,-32.28349304199219,-93.80087280273438,-3.9297142028808594,77.55686950683594,0.05533707399766374,-4.1906622501844275,51.95997723780529,-25.923368554989025,100.0,-4.160992162693301,63.127740476033935
0,10,-4.188694000244141,52.50868606567383,-33.307899475097656,-94.53819274902344,-3.850771427154541,77.67937469482422,0.0557761727355184,-4.120637598226821,50.712545941221244,-26.862144901719883,100.0,-4.085365858355195,63.19889451238154
0,11,-3.995896816253662,51.19713592529297,-34.06028366088867,-95.00068664550781,-3.777876853942871,77.3952407836914,0.05553385455791719,-3.930283366241777,49.41964315415178,-27.551637328210965,100.0,-4.015533665002711,63.033862524983064
0,12,-3.4260549545288086,49.83900451660156,-34.16600036621094,-94.97018432617188,-3.7445337772369385,77.11921691894531,0.053780742272621564,-3.367662026570557,48.08082138177654,-27.648517179023695,100.0,-3.9835913670111425,62.87354105266445
