episode_idx,candidate_online_chunk,num_compared_steps,raw_action_rmse,mapped_action_rmse,pred_mapped_fk_z_max,sent_mapped_fk_z_max,pred_minus_sent_mapped_fk_z_max,abs_pred_minus_sent_mapped_fk_z_max
0,0,50,10.403972135645203,6.07696678669097,0.04250115913657381,0.04606294482116402,-0.0035617856845902088,0.0035617856845902088
0,1,50,27.884487709499552,16.970029090728065,0.04250115913657381,0.12418261115546247,-0.08168145201888866,0.08168145201888866
0,2,50,31.28271440092472,20.606279455576495,0.04250115913657381,0.13951597840419752,-0.0970148192676237,0.0970148192676237
0,3,50,23.54323512534627,17.54796815101198,0.04250115913657381,0.07905667535437372,-0.036555516217799906,0.036555516217799906
0,4,39,22.35708413428259,20.248388149760125,0.04250115913657381,0.07272462156142391,-0.0302234624248501,0.0302234624248501
1,0,50,10.440424272512757,6.501276370369677,0.042928281583234126,0.04928654291679013,-0.006358261333556006,0.006358261333556006
1,1,50,26.997295467446186,16.45570637531213,0.042928281583234126,0.11714613566041385,-0.07421785407717972,0.07421785407717972
1,2,50,31.263563780322162,21.079638344665128,0.042928281583234126,0.14113086721175622,-0.09820258562852209,0.09820258562852209
1,3,50,25.05658403785851,19.322120391265607,0.042928281583234126,0.07967050553237533,-0.0367422239491412,0.0367422239491412
1,4,38,21.79975912747698,19.680323486387852,0.042928281583234126,0.0704500210719547,-0.027521739488720567,0.027521739488720567
2,0,50,11.603471295742171,7.021927038497066,0.05055376364299372,0.048536244406453585,0.002017519236540137,0.002017519236540137
2,1,50,29.25491118714923,17.981487755398476,0.05055376364299372,0.12580453332335614,-0.07525076968036243,0.07525076968036243
2,2,50,31.98816019990302,21.1364901342038,0.05055376364299372,0.1394192288871996,-0.08886546524420588,0.08886546524420588
2,3,50,25.139633179282335,18.982290768955455,0.05055376364299372,0.07737166223460179,-0.026817898591608068,0.026817898591608068
2,4,39,23.25135224256897,20.655733429900238,0.05055376364299372,0.07213919482307013,-0.021585431180076407,0.021585431180076407
3,0,50,12.594579717343152,7.221323741657359,0.05004289057378578,0.04778330525704654,0.0022595853167392405,0.0022595853167392405
3,1,50,30.416016500547425,18.39082106489141,0.05004289057378578,0.1214458512580417,-0.07140296068425592,0.07140296068425592
3,2,50,32.90402867746937,21.4064106523864,0.05004289057378578,0.14017230731469524,-0.09012941674090946,0.09012941674090946
3,3,50,27.174056940297167,19.66119392983421,0.05004289057378578,0.08282858806480525,-0.03278569749101947,0.03278569749101947
3,4,50,24.862367867038834,22.240364083268215,0.05004289057378578,0.0817167671725306,-0.031673876598744814,0.031673876598744814
3,5,1,10.19199355109959,8.435237446576144,0.02907258221494216,0.017127619660704765,0.011944962554237396,0.011944962554237396
4,0,50,11.51753541723187,7.150340435497756,0.04503043269954425,0.05246206747735233,-0.007431634777808081,0.007431634777808081
4,1,50,28.367983811223777,17.02845673574786,0.04503043269954425,0.11340461417050043,-0.06837418147095618,0.06837418147095618
