episode_idx,step_idx,obs_shoulder_pan,act_shoulder_pan,obs_shoulder_lift,act_shoulder_lift,obs_elbow_flex,act_elbow_flex,obs_wrist_flex,act_wrist_flex,obs_wrist_roll,act_wrist_roll,obs_gripper,act_gripper
0,0,-7.985347747802734,-7.338309288024902,91.796875,90.10453033447266,16.711997985839844,-0.830841064453125,100.0,-87.11898803710938,-6.471306324005127,-5.475939750671387,46.2365608215332,48.512699127197266
0,1,-7.985347747802734,-7.481383323669434,91.796875,88.4638900756836,16.711997985839844,-3.58174991607666,100.0,-88.54012298583984,-6.471306324005127,-5.436768531799316,46.2365608215332,48.21036148071289
0,2,-7.545787334442139,-7.517580032348633,90.88541412353516,86.55482482910156,14.95920181274414,-5.903078079223633,100.0,-89.85655975341797,-6.422466278076172,-5.5091962814331055,46.2365608215332,48.149070739746094
0,3,-7.594627380371094,-7.569968223571777,88.671875,84.2643051147461,12.118464469909668,-7.615038871765137,100.0,-90.66455841064453,-6.275946140289307,-5.564838409423828,46.2365608215332,48.12987518310547
0,4,-7.594627380371094,-7.5038957595825195,86.84896087646484,80.83175659179688,8.915080070495605,-9.837345123291016,100.0,-90.91181182861328,-6.129426002502441,-5.741704940795898,46.2365608215332,47.62264633178711
0,5,-7.594627380371094,-7.537571907043457,84.765625,77.9838638305664,5.590813159942627,-11.810529708862305,100.0,-91.07902526855469,-6.031745910644531,-5.653526782989502,46.2365608215332,47.84538269042969
0,6,-7.545787334442139,-7.414116859436035,82.29166412353516,74.92772674560547,1.9038984775543213,-13.702949523925781,100.0,-91.35111236572266,-5.982905864715576,-5.532138824462891,46.2365608215332,47.60307693481445
0,7,-7.301587104797363,-7.313553810119629,79.55728912353516,72.0113754272461,-1.4203686714172363,-15.550752639770508,100.0,-91.73119354248047,-5.982905864715576,-5.4214959144592285,46.2365608215332,47.591548919677734
0,8,-7.350427150726318,-7.276546478271484,76.43228912353516,69.81851959228516,-3.958899974822998,-17.702465057373047,100.0,-92.06253814697266,-6.031745910644531,-5.437732696533203,46.2365608215332,47.37264633178711
0,9,-7.350427150726318,-7.285984992980957,73.17708587646484,67.069091796875,-5.953460216522217,-19.541824340820312,100.0,-92.47474670410156,-5.982905864715576,-5.458438396453857,46.2365608215332,47.593971252441406
0,10,-7.350427150726318,-7.143610000610352,70.18228912353516,64.24285125732422,-7.8271379470825195,-21.12196922302246,100.0,-92.55703735351562,-5.982905864715576,-5.523399353027344,46.2365608215332,47.60467529296875
0,11,-7.350427150726318,-6.975763320922852,67.31771087646484,62.23841094970703,-9.39861011505127,-22.314453125,100.0,-92.72134399414062,-5.982905864715576,-5.397961616516113,46.2365608215332,47.3255500793457
0,12,-7.301587104797363,-7.017938613891602,64.84375,59.73467254638672,-10.849199295043945,-23.866350173950195,100.0,-92.77381134033203,-5.982905864715576,-5.383493423461914,46.2365608215332,47.430484771728516
0,13,-7.203907012939453,-7.051051139831543,62.76041793823242,57.269195556640625,-12.118464469909668,-25.52900505065918,100.0,-92.98316955566406,-5.982905864715576,-5.485356330871582,46.2365608215332,47.27763366699219
0,14,-7.155066967010498,-7.073511123657227,60.41666793823242,54.73863983154297,-13.508612632751465,-26.53231430053711,100.0,-92.8946762084961,-5.934065818786621,-5.5131120681762695,46.2365608215332,47.43125915527344
0,15,-7.155066967010498,-6.949863433837891,58.07291793823242,51.88472366333008,-14.838319778442383,-27.83301544189453,100.0,-92.79364013671875,-5.934065818786621,-5.446247100830078,46.2365608215332,47.15845489501953
0,16,-7.106226921081543,-7.086492538452148,55.46875,49.7119140625,-16.22846794128418,-29.02768325805664,100.0,-93.05608367919922,-5.885225772857666,-5.636566638946533,46.2365608215332,47.355098724365234
0,17,-7.106226921081543,-7.130727767944336,52.86458206176758,47.78080368041992,-17.55817413330078,-29.686779022216797,100.0,-92.85932159423828,-5.885225772857666,-5.833601951599121,46.2365608215332,47.2562370300293
0,18,-7.106226921081543,-7.126871109008789,50.13020706176758,46.149757385253906,-18.82744026184082,-30.75506591796875,100.0,-93.02174377441406,-5.885225772857666,-5.872164249420166,46.2365608215332,47.06947708129883
0,19,-7.106226921081543,-7.205135345458984,47.65625,44.44945526123047,-20.217588424682617,-31.639406204223633,100.0,-93.13367462158203,-5.885225772857666,-5.957772731781006,46.2365608215332,46.955345153808594
0,20,-7.106226921081543,-7.256566047668457,45.96354293823242,42.95148468017578,-21.12420654296875,-32.03480529785156,100.0,-93.20303344726562,-5.885225772857666,-5.918285846710205,46.2365608215332,46.92518615722656
0,21,-7.106226921081543,-7.095339775085449,44.40104293823242,41.94685363769531,-21.909942626953125,-32.5003776550293,100.0,-93.34214782714844,-5.885225772857666,-5.8520941734313965,46.2365608215332,46.7989616394043
0,22,-7.155066967010498,-6.997505187988281,42.83854293823242,39.562904357910156,-22.635236740112305,-33.341033935546875,100.0,-93.04631042480469,-5.885225772857666,-5.842567443847656,46.2365608215332,46.98675537109375
0,23,-7.155066967010498,-7.03266716003418,41.27604293823242,37.907676696777344,-23.42097282409668,-33.703338623046875,100.0,-92.7889404296875,-5.885225772857666,-5.888882637023926,46.2365608215332,46.87165451049805
0,24,-7.155066967010498,-7.135770797729492,39.58333206176758,37.445091247558594,-24.206708908081055,-33.555824279785156,100.0,-92.74446868896484,-5.885225772857666,-5.866249084472656,46.2365608215332,46.62348937988281
0,25,-7.106226921081543,-7.247165679931641,37.890625,37.29503631591797,-24.811120986938477,-33.55213165283203,100.0,-92.72894287109375,-5.885225772857666,-6.063493251800537,46.2365608215332,46.648162841796875
0,26,-7.106226921081543,-7.339576721191406,36.84895706176758,37.00520324707031,-25.234209060668945,-33.633148193359375,100.0,-92.82872009277344,-5.885225772857666,-6.173364639282227,46.2365608215332,46.39593505859375
0,27,-7.106226921081543,-7.383611679077148,36.328125,36.6989631652832,-25.29465103149414,-33.919193267822266,100.0,-92.9651107788086,-5.885225772857666,-6.169390678405762,46.2365608215332,46.473052978515625
0,28,-7.155066967010498,-7.477861404418945,35.9375,36.6862678527832,-25.29465103149414,-33.47022247314453,100.0,-93.2987289428711,-5.885225772857666,-6.308636665344238,46.2365608215332,46.468833923339844
0,29,-7.203907012939453,-7.723106384277344,35.80729293823242,36.868568420410156,-25.355093002319336,-32.97880172729492,100.0,-93.21939849853516,-5.934065818786621,-6.506307601928711,46.2365608215332,46.505882263183594
0,30,-7.301587104797363,-7.692835807800293,35.80729293823242,37.026302337646484,-25.355093002319336,-33.01708221435547,100.0,-93.4405517578125,-5.934065818786621,-6.576338768005371,46.2365608215332,46.579227447509766
0,31,-7.399267196655273,-7.759589195251465,35.80729293823242,36.606590270996094,-25.355093002319336,-32.49467086791992,100.0,-93.10627746582031,-5.934065818786621,-6.585538864135742,46.2365608215332,46.60341262817383
0,32,-7.4481072425842285,-7.679174423217773,35.80729293823242,36.543609619140625,-25.355093002319336,-31.941680908203125,100.0,-92.77397155761719,-5.934065818786621,-6.572659492492676,46.2365608215332,46.659332275390625
0,33,-7.4481072425842285,-7.824457168579102,35.80729293823242,36.52489471435547,-25.355093002319336,-31.154029846191406,100.0,-92.2724609375,-5.934065818786621,-6.645319938659668,46.2365608215332,46.67483901977539
