trial,seq_pos,is_decision_step,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,predicted_action_eef_z
0,0,False,-8.93032169342041,82.00752258300781,1.504129409790039,-88.29450225830078,-6.615015029907227,55.54059600830078,0.249679604181304
0,1,True,-9.281309127807617,79.14640045166016,-0.6815452575683594,-89.59037780761719,-6.687497138977051,56.541866302490234,0.25090440112429596
1,0,False,-8.93032169342041,82.00752258300781,1.504129409790039,-88.29450225830078,-6.615015029907227,55.54059600830078,0.249679604181304
1,1,True,-9.281309127807617,79.14640045166016,-0.6815452575683594,-89.59037780761719,-6.687497138977051,56.541866302490234,0.25090440112429596
2,0,False,-8.93032169342041,82.00752258300781,1.504129409790039,-88.29450225830078,-6.615015029907227,55.54059600830078,0.249679604181304
2,1,True,-9.281309127807617,79.14640045166016,-0.6815452575683594,-89.59037780761719,-6.687497138977051,56.541866302490234,0.25090440112429596
3,0,False,-8.93032169342041,82.00752258300781,1.504129409790039,-88.29450225830078,-6.615015029907227,55.54059600830078,0.249679604181304
3,1,True,-9.281309127807617,79.14640045166016,-0.6815452575683594,-89.59037780761719,-6.687497138977051,56.541866302490234,0.25090440112429596
4,0,False,-8.93032169342041,82.00752258300781,1.504129409790039,-88.29450225830078,-6.615015029907227,55.54059600830078,0.249679604181304
4,1,True,-9.281309127807617,79.14640045166016,-0.6815452575683594,-89.59037780761719,-6.687497138977051,56.541866302490234,0.25090440112429596
5,0,False,-8.93032169342041,82.00752258300781,1.504129409790039,-88.29450225830078,-6.615015029907227,55.54059600830078,0.249679604181304
5,1,True,-9.281309127807617,79.14640045166016,-0.6815452575683594,-89.59037780761719,-6.687497138977051,56.541866302490234,0.25090440112429596
6,0,False,-8.93032169342041,82.00752258300781,1.504129409790039,-88.29450225830078,-6.615015029907227,55.54059600830078,0.249679604181304
6,1,True,-9.281309127807617,79.14640045166016,-0.6815452575683594,-89.59037780761719,-6.687497138977051,56.541866302490234,0.25090440112429596
7,0,False,-8.93032169342041,82.00752258300781,1.504129409790039,-88.29450225830078,-6.615015029907227,55.54059600830078,0.249679604181304
7,1,True,-9.281309127807617,79.14640045166016,-0.6815452575683594,-89.59037780761719,-6.687497138977051,56.541866302490234,0.25090440112429596
8,0,False,-8.93032169342041,82.00752258300781,1.504129409790039,-88.29450225830078,-6.615015029907227,55.54059600830078,0.249679604181304
8,1,True,-9.281309127807617,79.14640045166016,-0.6815452575683594,-89.59037780761719,-6.687497138977051,56.541866302490234,0.25090440112429596
9,0,False,-8.93032169342041,82.00752258300781,1.504129409790039,-88.29450225830078,-6.615015029907227,55.54059600830078,0.249679604181304
9,1,True,-9.281309127807617,79.14640045166016,-0.6815452575683594,-89.59037780761719,-6.687497138977051,56.541866302490234,0.25090440112429596
