trial,is_decision_step,episode_idx,seq_pos,chunk_idx,source_path,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,task,lift_eef_z,predicted_action_eef_z
2,True,2,1,1,debug_runs/20260605_115612_Stable/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt,-11.041413307189941,85.36451721191406,0.9868793487548828,-89.10820007324219,-5.346100330352783,58.16431427001953,Put the red cube in the box.,0.1093560872809122,0.25341085042803646
3,True,2,1,1,debug_runs/20260605_115612_Stable/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt,-11.041413307189941,85.36451721191406,0.9868793487548828,-89.10820007324219,-5.346100330352783,58.16431427001953,Put the red cube in the box.,0.1093560872809122,0.25341085042803646
4,True,2,1,1,debug_runs/20260605_115612_Stable/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt,-11.041413307189941,85.36451721191406,0.9868793487548828,-89.10820007324219,-5.346100330352783,58.16431427001953,Put the red cube in the box.,0.1093560872809122,0.25341085042803646
5,True,2,1,1,debug_runs/20260605_115612_Stable/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt,-11.041413307189941,85.36451721191406,0.9868793487548828,-89.10820007324219,-5.346100330352783,58.16431427001953,Put the red cube in the box.,0.1093560872809122,0.25341085042803646
6,True,2,1,1,debug_runs/20260605_115612_Stable/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt,-11.041413307189941,85.36451721191406,0.9868793487548828,-89.10820007324219,-5.346100330352783,58.16431427001953,Put the red cube in the box.,0.1093560872809122,0.25341085042803646
7,True,2,1,1,debug_runs/20260605_115612_Stable/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt,-11.041413307189941,85.36451721191406,0.9868793487548828,-89.10820007324219,-5.346100330352783,58.16431427001953,Put the red cube in the box.,0.1093560872809122,0.25341085042803646
8,True,2,1,1,debug_runs/20260605_115612_Stable/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt,-11.041413307189941,85.36451721191406,0.9868793487548828,-89.10820007324219,-5.346100330352783,58.16431427001953,Put the red cube in the box.,0.1093560872809122,0.25341085042803646
9,True,2,1,1,debug_runs/20260605_115612_Stable/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt,-11.041413307189941,85.36451721191406,0.9868793487548828,-89.10820007324219,-5.346100330352783,58.16431427001953,Put the red cube in the box.,0.1093560872809122,0.25341085042803646
0,True,3,1,1,debug_runs/20260605_115612_Stable/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,-10.986625671386719,81.72318267822266,-2.7643985748291016,-89.70284271240234,-4.9205780029296875,60.31853485107422,Put the red cube in the box.,0.11142633677057442,0.2567156263709951
1,True,3,1,1,debug_runs/20260605_115612_Stable/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,-10.986625671386719,81.72318267822266,-2.7643985748291016,-89.70284271240234,-4.9205780029296875,60.31853485107422,Put the red cube in the box.,0.11142633677057442,0.2567156263709951
2,True,3,1,1,debug_runs/20260605_115612_Stable/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,-10.986625671386719,81.72318267822266,-2.7643985748291016,-89.70284271240234,-4.9205780029296875,60.31853485107422,Put the red cube in the box.,0.11142633677057442,0.2567156263709951
3,True,3,1,1,debug_runs/20260605_115612_Stable/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,-10.986625671386719,81.72318267822266,-2.7643985748291016,-89.70284271240234,-4.9205780029296875,60.31853485107422,Put the red cube in the box.,0.11142633677057442,0.2567156263709951
4,True,3,1,1,debug_runs/20260605_115612_Stable/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,-10.986625671386719,81.72318267822266,-2.7643985748291016,-89.70284271240234,-4.9205780029296875,60.31853485107422,Put the red cube in the box.,0.11142633677057442,0.2567156263709951
5,True,3,1,1,debug_runs/20260605_115612_Stable/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,-10.986625671386719,81.72318267822266,-2.7643985748291016,-89.70284271240234,-4.9205780029296875,60.31853485107422,Put the red cube in the box.,0.11142633677057442,0.2567156263709951
6,True,3,1,1,debug_runs/20260605_115612_Stable/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,-10.986625671386719,81.72318267822266,-2.7643985748291016,-89.70284271240234,-4.9205780029296875,60.31853485107422,Put the red cube in the box.,0.11142633677057442,0.2567156263709951
7,True,3,1,1,debug_runs/20260605_115612_Stable/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,-10.986625671386719,81.72318267822266,-2.7643985748291016,-89.70284271240234,-4.9205780029296875,60.31853485107422,Put the red cube in the box.,0.11142633677057442,0.2567156263709951
8,True,3,1,1,debug_runs/20260605_115612_Stable/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,-10.986625671386719,81.72318267822266,-2.7643985748291016,-89.70284271240234,-4.9205780029296875,60.31853485107422,Put the red cube in the box.,0.11142633677057442,0.2567156263709951
9,True,3,1,1,debug_runs/20260605_115612_Stable/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,-10.986625671386719,81.72318267822266,-2.7643985748291016,-89.70284271240234,-4.9205780029296875,60.31853485107422,Put the red cube in the box.,0.11142633677057442,0.2567156263709951
0,True,4,1,1,debug_runs/20260605_115612_Stable/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,-10.558552742004395,82.60005950927734,-1.0470943450927734,-89.33456420898438,-4.788325309753418,60.81201934814453,Put the red cube in the box.,0.10410949212856181,0.25455466683217004
1,True,4,1,1,debug_runs/20260605_115612_Stable/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,-10.558552742004395,82.60005950927734,-1.0470943450927734,-89.33456420898438,-4.788325309753418,60.81201934814453,Put the red cube in the box.,0.10410949212856181,0.25455466683217004
2,True,4,1,1,debug_runs/20260605_115612_Stable/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,-10.558552742004395,82.60005950927734,-1.0470943450927734,-89.33456420898438,-4.788325309753418,60.81201934814453,Put the red cube in the box.,0.10410949212856181,0.25455466683217004
3,True,4,1,1,debug_runs/20260605_115612_Stable/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,-10.558552742004395,82.60005950927734,-1.0470943450927734,-89.33456420898438,-4.788325309753418,60.81201934814453,Put the red cube in the box.,0.10410949212856181,0.25455466683217004
