episode_idx,step_idx,chunk_index,sent_shoulder_pan,obs_shoulder_pan,sent_minus_obs_shoulder_pan,sent_shoulder_lift,obs_shoulder_lift,sent_minus_obs_shoulder_lift,sent_elbow_flex,obs_elbow_flex,sent_minus_obs_elbow_flex,sent_wrist_flex,obs_wrist_flex,sent_minus_obs_wrist_flex,sent_wrist_roll,obs_wrist_roll,sent_minus_obs_wrist_roll,sent_gripper,obs_gripper,sent_minus_obs_gripper
0,0,0,-9.455779075622559,-10.720390319824219,1.2646112442016602,87.10713958740234,91.92708587646484,-4.8199462890625,-3.2628231048583984,15.926261901855469,-19.189085006713867,-87.943359375,100.0,-187.943359375,-6.090627670288086,-6.715506553649902,0.6248788833618164,48.52448654174805,48.3870964050293,0.13739013671875
0,1,0,-9.529167175292969,-10.720390319824219,1.19122314453125,85.20592498779297,91.92708587646484,-6.721160888671875,-5.929622650146484,15.986702919006348,-21.916325569152832,-88.78191375732422,100.0,-188.78191375732422,-6.057656288146973,-6.715506553649902,0.6578502655029297,48.282684326171875,48.3870964050293,-0.10441207885742188
0,2,0,-9.510190963745117,-10.525030136108398,1.0148391723632812,83.0945053100586,90.88541412353516,-7.7909088134765625,-8.119318008422852,14.777878761291504,-22.897196769714355,-89.70939636230469,100.0,-189.7093963623047,-6.150128364562988,-6.666666507720947,0.516538143157959,48.241539001464844,48.3870964050293,-0.14555740356445312
0,3,0,-9.542689323425293,-9.938949584960938,0.39626026153564453,80.72180938720703,87.36978912353516,-6.647979736328125,-9.865840911865234,11.514052391052246,-21.37989330291748,-90.40302276611328,100.0,-190.40302276611328,-6.243906021118164,-6.666666507720947,0.4227604866027832,48.28987121582031,48.3870964050293,-0.09722518920898438
0,4,0,-9.43541431427002,-9.841269493103027,0.4058551788330078,77.19032287597656,84.375,-7.1846771240234375,-11.954465866088867,7.585373401641846,-19.539839267730713,-90.50440979003906,100.0,-190.50440979003906,-6.425149917602539,-6.568986415863037,0.14383649826049805,47.7216682434082,48.3870964050293,-0.6654281616210938
0,5,0,-9.46273136138916,-9.645909309387207,0.18317794799804688,74.44896697998047,81.640625,-7.191658020019531,-13.981216430664062,4.019340991973877,-18.00055742263794,-90.60431671142578,100.0,-190.60431671142578,-6.370115280151367,-6.617826461791992,0.247711181640625,47.98916244506836,48.3870964050293,-0.3979339599609375
0,6,0,-9.266289710998535,-9.4993896484375,0.23309993743896484,71.29356384277344,78.90625,-7.6126861572265625,-15.777409553527832,0.15110304951667786,-15.92851260304451,-90.7430191040039,100.0,-190.7430191040039,-6.271973609924316,-6.617826461791992,0.3458528518676758,47.80170440673828,48.3870964050293,-0.5853919982910156
0,7,0,-9.109469413757324,-9.450549125671387,0.3410797119140625,68.02774810791016,75.91146087646484,-7.8837127685546875,-17.710426330566406,-3.23360538482666,-14.476820945739746,-90.88115692138672,100.0,-190.88115692138672,-6.130468368530273,-6.520146369934082,0.3896780014038086,47.78116226196289,48.3870964050293,-0.6059341430664062
0,8,0,-9.053451538085938,-9.40170955657959,0.34825801849365234,65.80162048339844,72.52603912353516,-6.724418640136719,-19.766653060913086,-6.255666255950928,-13.510986804962158,-90.95134735107422,100.0,-190.95134735107422,-6.134527206420898,-6.471306324005127,0.3367791175842285,47.47449493408203,48.3870964050293,-0.9126014709472656
0,9,0,-8.960478782653809,-9.352869033813477,0.39239025115966797,63.084781646728516,69.140625,-6.055843353271484,-21.544708251953125,-8.552433013916016,-12.99227523803711,-91.29125213623047,100.0,-191.29125213623047,-6.103571891784668,-6.422466278076172,0.3188943862915039,47.65509033203125,48.3870964050293,-0.7320060729980469
