save_idx,action_dim,action_key,baseline_mean,high_mean,low_mean,baseline_std,high_std,low_std,high_low_delta,abs_high_low_delta,high_low_effect_z,all_pooled_std,high_baseline_delta,low_baseline_delta
0,2,action_values.2,9.680163764953614,-1.8423479080200196,13.892197418212891,2.8265777597490915,0.8467230970630063,1.1181023857547028,-15.734545326232912,15.734545326232912,15.865609285241844,1.8217788724246529,-11.522511672973634,4.212033653259278
3,4,action_values.4,12.479057693481446,8.083005809783936,15.451220893859864,2.9811319890387007,0.8216915527639104,0.6147924586532002,-7.368215084075928,7.368215084075928,10.153899053825533,1.820283376397775,-4.39605188369751,2.972163200378418
0,1,action_values.1,100.75964050292968,92.2891830444336,99.49423828125,1.0921767831234843,0.47878980835208634,1.378859270058795,-7.205055236816406,7.205055236816406,6.980914208024911,1.0525117090089566,-8.470457458496085,-1.265402221679679
3,0,action_values.0,13.166261672973633,10.206748104095459,13.615733432769776,1.6342037413436359,0.5689530675346546,0.43078975821561943,-3.4089853286743175,3.4089853286743175,6.755518076012267,1.0295483276761226,-2.959513568878174,0.4494717597961433
2,2,action_values.2,-45.77245025634765,-53.74194564819336,-42.35552406311035,6.512880269017681,2.1799187286688935,1.8234978409980993,-11.386421585083006,11.386421585083006,5.665941770762511,4.102633277879219,-7.9694953918457045,3.416926193237302
2,5,action_values.5,3.3922300338745117,4.126431655883789,2.8188066482543945,0.1444558849706733,0.32363174555481583,0.11384538399190991,1.3076250076293947,1.3076250076293947,5.390302779357404,0.21491531734599006,0.7342016220092775,-0.5734233856201172
3,1,action_values.1,25.77431411743164,35.486320877075194,21.15770378112793,12.012659658559716,4.24180214338838,1.1252337564804202,14.328617095947266,14.328617095947266,4.61744783399395,7.38383433596135,9.712006759643554,-4.616610336303712
0,3,action_values.3,-87.41278533935547,-89.10893173217774,-85.84567260742188,1.2721233041114077,0.7289488199704734,0.7687930617320278,-3.263259124755862,3.263259124755862,4.356030971256935,0.9558080097953732,-1.6961463928222713,1.567112731933591
2,4,action_values.4,-5.329922389984131,-2.5066890597343443,-6.021396827697754,1.9518651229700803,1.3848090166816647,0.6073117667674655,3.51470776796341,3.51470776796341,3.287126181274279,1.425517573024393,2.8232333302497867,-0.691474437713623
1,3,action_values.3,-78.81836395263672,-71.18852310180664,-81.92666931152344,7.152271870763337,0.4906372573197015,5.297080872021278,10.738146209716803,10.738146209716803,2.854648888145804,5.14635092715594,7.629840850830078,-3.1083053588867244
1,0,action_values.0,-10.39682741165161,-8.919814014434815,-10.558839130401612,0.6568044767246212,0.5122785803127339,0.734660126937458,1.6390251159667972,1.6390251159667972,2.5880430769418377,0.6412349976424387,1.4770133972167958,-0.16201171875000142
4,5,action_values.5,47.56888122558594,47.7071533203125,49.018503189086914,2.157517466692795,0.7771637655160276,0.2389020142243698,-1.311349868774414,1.311349868774414,2.2809401707265535,1.3311573047435088,0.13827209472655966,1.4496219635009737
4,3,action_values.3,-88.77526092529297,-93.2530534532335,-85.75002975463867,3.7757148062607993,4.5844803434473835,0.9474281378605859,-7.503023698594831,7.503023698594831,2.266625575819456,3.472324024534694,-4.477792527940537,3.025231170654294
